filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,6.044481835947934,4.437600147317701,10.08638429480098,15.391475767026812,4.505511286292704,168.7832460730964,786432000.0,dual_color,0.0051567840024671,0.3,-0.4,0.0314788144264939,50.0,6.044481835947934,4.842825551812477e-05,0.0039891049795171,0.26,-0.3,0.0063800496288273,0.0,121500,1.38859,0.0533066,0.0,1.2197,0.025781,0.0,0.97614,0.0258141,0.0,0.0
1,6.452412914950209,5.467403947537657,7.956057210299866,1.8323389875509948,0.0630519607854932,32.83320360062397,786432000.0,misc,0.0493233793166532,2.6,0.4,8.544747068095953,0.0,6.452412914950209,4.842825551812477e-05,0.0493233793166532,2.6,0.4,8.544747068095953,0.0,750,2.22008,0.0493234,0.0,2.57164,0.0504304,0.0,1.9675,0.0493234,0.0,0.0
2,7.660378955294558,5.632186589428584,14.974158357187674,33.80698373697948,5.273472903623482,271.68942406995666,786432000.0,dual_color,0.0052390858691337,0.3,-0.7,0.0960468200571188,0.0,7.660378955294558,4.842825551812477e-05,0.004902440456993,0.3,-0.69,0.0931465838034728,0.0,81000,1.36571,0.0626147,0.0,1.1954,0.03557,0.0,0.941925,0.0361572,0.0,0.0
3,5.169098474599209,3.7247410501508416,8.692647089866352,20.882900963480203,5.46414123252147,151.49476476388747,786432000.0,single_edge,0.0051066394423021,0.3,-0.7,0.0648108238436706,0.0,5.169098474599209,4.842825551812477e-05,0.0039893124009489,0.34,-0.8,0.221046204024541,0.0,121500,1.1089,0.0635981,0.0,0.966204,0.0367037,0.0,0.762883,0.037876,0.0,0.0
4,9.3944405038666,6.854962888414233,15.806177265076778,16.935222511113746,5.518240581244547,167.35992032908143,786432000.0,dual_color,0.0089615553633158,0.3,-0.7,0.117788707566294,0.0,9.3944405038666,4.842825551812477e-05,0.0076283411080263,0.3,-0.71,0.1214929963685475,0.0,30375,1.46766,0.0660536,0.0,1.27977,0.0394448,0.0,1.00515,0.0402107,0.0,0.0
5,5.845535202170304,4.442459595400997,9.75898566256566,15.424893503167516,3.983282317725942,160.97051121846602,786432000.0,dual_color,0.0058101934532245,0.4,-0.8,0.6484438315018571,0.0,5.845535202170304,4.842825551812477e-05,0.0048812086797571,0.4,-0.78,0.614819369320986,0.0,81000,1.31463,0.0596551,0.0,1.14566,0.0327342,0.0,0.905429,0.0341409,0.0,0.0
6,3.2781540703784176,2.480009471023211,5.095247563488515,13.374749884015468,3.84222746555166,121.00499690589206,786432000.0,single_edge,0.0030683305946548,0.5,-0.8,0.9756410923745292,0.0,3.2781540703784176,4.842825551812477e-05,0.0022870187910133,0.5,-0.78,0.9329901156587026,0.0,364500,1.09116,0.0505875,0.0,0.948693,0.0233423,0.0,0.760963,0.0265022,0.0,0.0
7,4.111379284072712,3.556121825902921,5.157620136295465,2.271472184810256,0.3626270541028226,35.16891376989171,786432000.0,inside_out,0.0204713158122544,7.9,-0.2,7.51282830258017,0.0,4.111379284072712,4.842825551812477e-05,0.0204713158122544,7.9,-0.2,7.51282830258017,0.0,4500,1.75404,0.0232332,0.0,1.72811,0.026899,0.0,1.37448,0.0261895,0.0,0.0
8,0.3571606305192861,0.2594268211882077,0.798571002230359,36.931485896695634,3.689632637911716,305.5775682871155,786432000.0,misc,0.0151147759245725,0.1,5.8,3.749297774624399e-20,200.0,0.2798258090889773,4.842825551812477e-05,0.0149290855913693,0.1,6.2,2.1777686184463222e-20,275.0,8541,0.400599,0.0368796,0.0,0.361953,0.01887,0.0,0.292385,0.0148479,0.0,0.0
9,2.7739587532502297,1.8813036587569445,6.206317670681495,48.46162848891897,6.667942465818287,336.86603106053747,786432000.0,multi_edge,0.0041255429129281,0.2,-0.2,5.907320003809769e-05,50.0,2.7739587532502297,4.842825551812477e-05,0.0021198845872159,0.18,-0.2,1.110163193338587e-05,0.0,432000,0.778928,0.0583648,0.0,0.68515,0.0314655,0.0,0.538214,0.0311377,0.0,0.0
