filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
0,5.921243943349426,4.398236472144693,9.276792022486736,12.86712531769018,4.1483905591837145,117.27890345609818,786432000.0,dual_color,0.0062844611114785676,0.3,-0.4,0.03299614258193161,0.0,5.921243943349426,4.8428255518124764e-05
1,6.54566467194417,5.57883912152359,7.766224149895429,1.4967764421410168,0.0386467854224658,28.392689374876547,786432000.0,misc,0.023989732289624588,0.3,7.1,7.766059892083298e-05,50.0,6.385392284091671,4.8428255518124764e-05
2,7.245826107471721,5.373190567751938,11.175089567833124,17.52815668791822,5.290754634282569,139.6970306849484,786432000.0,dual_color,0.005047904203218434,0.4,-0.8,0.7141489879063597,100.0,6.4378483464515215,4.8428255518124764e-05
3,5.094901244887581,3.699696945197784,8.555593502437395,20.361235090199543,5.205688547252343,155.76831094697476,786432000.0,single_edge,0.006668025170038172,0.4,-0.9,0.752539777623692,0.0,5.0949012448875814,4.8428255518124764e-05
4,9.413251379764262,6.89730967351429,13.694017987566356,12.372360705118126,5.592856829481699,95.55953691484106,786432000.0,dual_color,0.008407490849198507,0.3,-0.7,0.11802456075619543,0.0,9.413251379764262,4.8428255518124764e-05
5,5.973732024897065,4.572061936768455,8.356222783931578,10.333351519307955,3.951511729366328,83.4924487985001,786432000.0,dual_color,0.00586563976120591,0.4,-0.8,0.6626646745966762,0.0,5.973732024897065,4.8428255518124764e-05
6,3.27860038907789,2.484977937927192,5.190125130002743,13.94883030568746,3.69865319298981,131.89823606118554,786432000.0,single_edge,0.0035560920624106984,0.5,-0.8,0.9757739253208008,0.0,3.27860038907789,4.8428255518124764e-05
7,3.97402390657081,3.4434928311328363,5.025917330876656,2.354356977306228,0.2858574598014978,37.74424718739204,786432000.0,inside_out,0.0048493299726958886,3.9,0.2,5.895094661906116,100.0,3.8010296333938487,4.8428255518124764e-05
8,0.3564795582525897,0.2595694139839283,0.7100348675293888,26.355419751323154,3.699825369604248,244.02740367198936,786432000.0,misc,0.018926854510276203,0.1,5.9,3.3058415007882874e-20,200.0,0.291788366402591,4.8428255518124764e-05
9,2.7446345695651204,1.8691923224497624,5.773104745137454,40.41210093095437,6.500347454306261,314.6040796596022,786432000.0,multi_edge,0.004515702086436063,0.2,-0.3,9.076172518403163e-05,0.0,2.7446345695651204,4.8428255518124764e-05
10,4.007260447632658,3.042592197374325,6.193152012767286,13.32872178197687,3.966876161526297,140.0082280991994,786432000.0,single_edge,0.006119818235925334,0.5,-0.9,1.5179016847093398,0.0,4.007260447632658,4.8428255518124764e-05
11,2.953220615709476,2.1087310751191097,4.884155696410106,19.376286709973776,4.936356736707754,160.93802578680467,786432000.0,single_edge,0.003972344591995733,0.3,-0.6,0.027597471900908742,0.0,2.953220615709476,4.8428255518124764e-05
12,2.946583536931624,2.087393192693451,5.195581427780852,25.29212532471931,5.122858534679377,215.62704169741937,786432000.0,single_edge,0.0041686094318817285,0.3,-0.6,0.027535449241950744,0.0,2.946583536931624,4.8428255518124764e-05
13,4.518117004316443,3.4333456775009297,7.697007081098767,18.43528067202643,4.552245430975868,183.4565451145649,786432000.0,single_edge,0.00464601720016071,0.5,-0.9,1.5852309351858782,50.0,4.185009668890719,4.8428255518124764e-05
14,4.944108647191598,3.678367376523628,7.557196261912174,14.819905402844572,5.136931553031947,115.6542624110565,786432000.0,single_edge,0.008000860526937437,0.5,-0.9,1.567444196330547,200.0,4.138052678312644,4.8428255518124764e-05
15,5.807331897705407,5.078163484968822,6.962567500915948,1.5890490953769714,0.0591131484942824,28.125440831588357,786432000.0,inside_out,0.05236202166902426,6.9,1.1,8.055872881448693,0.0,5.8073318977054065,4.8428255518124764e-05
16,3.6812894318573792,2.667182386418007,7.658081728250213,35.86553452256256,4.825967246859831,296.78072173419974,786432000.0,multi_edge,0.004314755571950379,0.4,-0.7,0.27328034458181066,100.0,3.178722744295985,4.8428255518124764e-05
17,5.36323503942217,4.001265084194845,7.235797362110436,11.103629036753704,5.685886445723232,64.04419803363025,786432000.0,dual_color,0.010196974701885464,0.4,-1.0,1.0990871043808883,0.0,5.36323503942217,4.8428255518124764e-05
18,2.6850921170460365,1.866894514266058,5.320071748811783,31.640433804440107,5.691188948915795,252.5178463318915,786432000.0,multi_edge,0.00449830641822499,0.3,-0.6,0.025091845105424844,0.0,2.6850921170460365,4.8428255518124764e-05
19,9.558426074774358,8.365358991363507,11.04937853870656,1.2636101351994409,0.1891248537818691,12.288100322315962,786432000.0,inside_out,0.04811428258707656,0.3,3.2,0.0007678455553622036,50.0,9.340072876239812,4.8428255518124764e-05
20,6.272533022061715,4.615411406691109,10.352952803433814,16.54069331020974,5.576359850308439,141.07329008684715,786432000.0,dual_color,0.0049406139399386095,0.2,-0.1,0.00011314092752636552,0.0,6.272533022061715,4.8428255518124764e-05
21,19.011257302196103,16.364802354357504,23.165599369443743,1.6335171893948148,0.3260834682447365,21.368965997628734,786432000.0,eye,0.020110413606541977,4.6,-0.7,44.594187800235694,0.0,19.011257302196103,4.8428255518124764e-05
22,4.5664560025367,3.3106287701301795,7.667943159828623,19.155513832857768,4.893637902796477,174.81856877156918,786432000.0,multi_edge,0.0071682912200872195,0.6,-1.0,3.5726224874510177,50.0,4.207375916316294,4.8428255518124764e-05
23,3.7276345169028655,2.876616589908329,6.928297704228687,19.68934343842278,4.92715486025984,219.60358424658315,786432000.0,single_edge,0.0073270586241008795,0.4,-0.8,0.382797292791046,50.0,3.450807828833735,4.8428255518124764e-05
