filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,best_augmented_var,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,6.044481835947934,6.044481835947934,5.648955443924086,5.438595472192301,5.115910270776727,0.0054388206035559,0.0051567840024671,0.007110250585584,0.0069217187860775,0.005669275010146579,0.0054222366974108205,0.005320869884845203,0.004995151747615334,6.044481835947934,0.00489311781033086,0.0045230700012848235,0.0039891049795171,,
1,6.452412914950209,6.452412914950209,6.289855437362975,6.203079501934852,6.064978685684103,0.0493233793166532,0.0493233784288436,0.0493233865365171,0.0493233805010518,0.049323631278036184,0.0493233832951156,0.049323699092494566,0.049323394118849506,,0.04932337931665326,,,,
2,7.660378955294558,7.660378955294558,7.0417690824666765,6.75273279845852,6.312290097296205,0.0052390858691337,0.0095799170819932,0.0084098256703306,0.0086344662257811,0.006320976178574411,0.005936161262965423,0.0055990182546652445,0.005835343686050154,7.660378955294558,0.004902440456993062,,,,
3,5.169098474599209,5.169098474599209,4.736265399857103,4.5190037860729175,4.203775719034265,0.0051066394423021,0.0082542516490959,0.0092289453382128,0.0079883079382807,0.005400716773680703,0.004943500076459939,0.004900740980767648,0.004583923540939228,5.169098474599209,0.003989312400948908,,,,
4,9.3944405038666,9.3944405038666,8.789984368956056,8.471266687143723,7.965681425989152,0.0089615553633158,0.0090179849880485,0.0108398931031494,0.0121088114157719,0.008186742787300194,0.008256438715549486,0.008420527577869943,0.007880790896405365,9.3944405038666,0.007628341108026349,,,,
5,5.845535202170304,5.845535202170304,5.497437352974268,5.31815132929641,5.035554102336665,0.0058101934532245,0.0077541425296918,0.0082707403264771,0.0093335799890786,0.006395423053762478,0.005865894561777996,0.006266035649644119,0.0056611640369254035,5.8455352021703035,0.004881208679757165,,,,
6,3.2781540703784176,3.2781540703784176,3.0595958138330586,2.9478073194025165,2.782403211172667,0.0030683305946548,0.0038804057489116,0.0043249058744528,0.0044500754398254,0.0031706501298761625,0.002725763050011945,0.002340069364983044,0.002372705769814798,3.2781540703784176,0.0022870187910133954,,,,
7,4.111379284072712,4.111379284072712,3.998228436746452,3.935029604333789,3.834940938403175,0.0204713158122544,0.02047131586972,0.0204713278526246,0.0204713220791166,0.020471436736928306,0.02047139361781375,0.02047144260336109,0.020471337602283812,,0.02047131581225442,,,,
8,0.3571606305192861,0.3571606305192861,0.324323212282033,0.3105540378714324,0.2910587413891106,0.0175931496187375,0.0158368363660134,0.0152787506473822,0.0151147759245725,0.015002898530396602,0.014929085591369351,0.01497921099724947,0.015048525495742482,0.27982580908897736,0.015114775924572554,0.015096733386593897,0.01506964802876365,0.015152950506682888,0.015169672031889903
9,2.7739587532502297,2.7739587532502297,2.441726112262227,2.298232376772135,2.100567469336448,0.0045474174517231,0.0041255429129281,0.0067215100261468,0.005267492746077,0.004893823231331695,0.0041418859923633145,0.003964222805200701,0.003625627619245564,2.7739587532502297,0.003270908612474366,0.0032023119769322914,0.0021198845872159033,,
10,3.988670734916549,3.988670734916549,3.72111627928996,3.5847577546718234,3.380941409359127,0.0052048412391108,0.0080255451352165,0.0068391273772871,0.0071246666394237,0.005368039794162671,0.004845691236643801,0.004660292826984269,0.004221110284195473,3.9886707349165484,0.0039185905773314045,,,,
11,2.975833968065624,2.975833968065624,2.740064217837035,2.6218917761995395,2.449387868315238,0.0041428626643503,0.0072010064912371,0.0077537403489716,0.0077939551765838,0.005575915009284116,0.005050706703808083,0.0049476226563212045,0.004914836649098142,,0.004142862664350377,,,,
12,2.842237811438537,2.842237811438537,2.5921314012992043,2.4782960167137382,2.3152381451727804,0.0063437166237171,0.0070576410541869,0.0058782467805901,0.0071993322183314,0.006551342044120424,0.006088760367231161,0.006125610357677058,0.005872110734186364,2.842237811438537,0.005875299623240252,0.005052541881543748,0.005081424583281868,0.004865555283034853,0.004412728264143684
13,4.621276882746188,4.621276882746188,4.27718185830833,4.104607152178848,3.850033116804882,0.006824042369473,0.006150562294231,0.0060875426911435,0.0076925042713512,0.006609853209280758,0.006129302697273853,0.006342156717145386,0.006073410430583848,4.621276882746188,0.005626130925054484,0.005120702996789461,0.004870197542355903,0.0050205214772386375,0.004198883943735798
14,5.038523974740246,5.038523974740246,4.677668597182666,4.48831373397054,4.206529051474787,0.0069268131560705,0.0085601686519196,0.0073022107524742,0.0078930096284579,0.005683702307823668,0.005455574988251166,0.005299192617774243,0.00478826337888294,5.038523974740246,0.004507103554997227,,,,
15,5.8452428650543,5.8452428650543,5.6991480638098295,5.619481700904639,5.49280608122486,0.0482038698550766,0.0482038343858839,0.0482038412862612,0.0482038405593219,0.048203841286261206,0.04820384690117985,0.048203841173266704,0.0482038794697458,5.6991480638098295,0.04820385949602912,,,,
16,3.577760309759888,3.577760309759888,3.215903628164629,3.0711264644041862,2.864895657582808,0.0054538170981573,0.0055208664576946,0.004569925710261,0.0056269360739677,0.005554676731843712,0.00521299197078514,0.004902144078197335,0.005005951478942713,3.5777603097598876,0.004441821976433551,0.0041712389087018575,0.004074072433725817,0.00377498628479922,0.0024959575576475324
17,5.480632620410247,5.480632620410247,5.157453343662314,4.971228484660437,4.679035530024283,0.009918075968596,0.0125489205656761,0.0141849397800121,0.0133000779104324,0.010165104062081376,0.009745415307468752,0.009549291836557505,0.009459420188658973,5.480632620410247,0.009098183273343885,,,,
18,2.565071150787592,2.565071150787592,2.315538749057361,2.204803142837992,2.0482400297839605,0.0038483318241797,0.0059460641589245,0.0063118967130917,0.00684092415499,0.005808552857242501,0.0051359759141709205,0.004413480827093599,0.003498330790702636,2.565071150787592,0.003231677095131391,,,,
19,10.08577452810952,10.08577452810952,9.858976929887085,9.721329620322798,9.496366803760026,0.0555224958819785,0.0555110209182453,0.0555109645450711,0.0554954358467484,0.05548764751710167,0.055492819519726566,0.05549138022271766,0.05548462047924385,9.44600513961527,0.05549543584674843,0.05548866001977998,0.05548600448730856,0.055503376016066364,0.05551018699546301
20,6.706544231653312,6.706544231653312,6.229764607691534,5.968478971256598,5.573119747093363,0.0074329856715124,0.0078467681280555,0.0082046224430555,0.0085429852449639,0.006358451853559134,0.006424686174063728,0.006438641353997354,0.005826156584118482,6.706544231653312,0.0051164828587162425,,,,
21,19.716087784631046,19.716087784631046,19.25080019299098,18.967681544297747,18.515803862734355,0.026908097027277,0.0290478096751076,0.0297001986746333,0.0299307844541238,0.030380302120534664,0.0297469907509732,0.029047809675107672,0.028241911809906095,,0.026908097027277034,,,,
22,4.661218358033673,4.661218358033673,4.276735046569612,4.086222451988773,3.810787435111657,0.0073730398275412,0.0074450172851754,0.006850460387033,0.0073778534046427,0.005901753078131344,0.006319833829383281,0.006074802103783972,0.0054922519826377525,4.661218358033673,0.005170008832219519,0.0049804342228138565,0.004788172689931147,0.004415111944033198,0.003795491372098045
23,3.663649777425361,3.663649777425361,3.369311557252869,3.233076593487642,3.0314962776220886,0.008752834487959,0.0069484273682358,0.0074212310791419,0.0077966474900049,0.0065393386386679575,0.006021071956726964,0.005934741508584029,0.006254768468698102,3.663649777425361,0.005675197403499005,0.0050034074391906574,0.004948888654115358,,
24,3.864650801558807,3.864650801558807,3.4811396466472218,3.304573423695426,3.051202215705405,0.0072863007916205,0.0070077943464665,0.0080456961049628,0.0079764762571558,0.00679483767416722,0.005972719131172477,0.005784539889749696,0.005798444156648153,3.8646508015588066,0.00539066177121017,0.004955155059439442,0.004432453784650181,,
25,4.713576514041216,4.713576514041216,4.202345158823297,3.984067380803348,3.676232647773277,0.0069895958895853,0.0052708776441748,0.0076988708634748,0.0088641567772047,0.005869146189705465,0.005560725154832052,0.005573859723612851,0.004854980800342967,4.713576514041216,0.004956525666558909,0.004276832860642621,0.0034627317153349546,,
26,3.8855279983847097,3.8855279983847097,3.6677042245540665,3.553309421901261,3.3791612046861323,0.008755392018077,0.0088619841640535,0.0083607148178962,0.0096320807188527,0.007723295592683352,0.0077422762644137055,0.007526215410099069,0.007625115882423067,3.8855279983847097,0.007045552454411783,0.007005128119779935,0.006907596622816203,0.00697966216705681,0.006800518327218841
27,3.0624719657037827,3.0624719657037827,2.699742907780256,2.541656055628623,2.324245962867618,0.0041744534311599,0.0050726554113055,0.0053832231581312,0.006848342628147,0.004379913366915282,0.004019344301154137,0.004213846593761894,0.003923087474637876,3.0624719657037827,0.0026464771609192583,,,,
