filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,5.921243943349426,4.398236472144693,9.276792022486736,12.86712531769018,4.1483905591837145,117.27890345609818,786432000.0,dual_color,0.0062844611114785,0.3,-0.4,0.0329961425819316,0.0,5.682207858722132,4.8428255518124764e-05,0.005886177592871411,0.31,-0.4,0.04207724525421106,25.0,54000
1,6.54566467194417,5.57883912152359,7.766224149895429,1.4967764421410168,0.0386467854224658,28.392689374876547,786432000.0,misc,0.0239897322896245,0.3,7.1,7.766059892083298e-05,50.0,6.385392284091671,4.8428255518124764e-05,0.023986447515054188,0.29,7.4,4.1660336584827566e-05,50.0,3375
2,7.245826107471721,5.373190567751938,11.175089567833124,17.52815668791822,5.290754634282569,139.6970306849484,786432000.0,dual_color,0.0050479042032184,0.4,-0.8,0.7141489879063597,100.0,7.245826107471721,4.8428255518124764e-05,0.003461082477391797,0.32,-0.7,0.1502226468435013,0.0,162000
3,5.094901244887581,3.699696945197784,8.555593502437395,20.361235090199543,5.205688547252343,155.76831094697476,786432000.0,single_edge,0.0066680251700381,0.4,-0.9,0.752539777623692,0.0,4.82106587381173,4.8428255518124764e-05,0.005144207093683267,0.4,-0.87,0.6510044642130122,25.0,72000
4,9.413251379764262,6.89730967351429,13.694017987566356,12.372360705118126,5.592856829481699,95.55953691484106,786432000.0,dual_color,0.0084074908491985,0.3,-0.7,0.1180245607561954,0.0,9.413251379764262,4.8428255518124764e-05,0.0066445714672078715,0.3,-0.72,0.1256035385109003,0.0,40500
5,5.973732024897065,4.572061936768455,8.356222783931578,10.333351519307955,3.951511729366328,83.4924487985001,786432000.0,dual_color,0.0058656397612059,0.4,-0.8,0.6626646745966762,0.0,5.973732024897065,4.8428255518124764e-05,0.005127537198651222,0.41,-0.8,0.7516620725686545,0.0,72000
6,3.27860038907789,2.484977937927192,5.190125130002743,13.94883030568746,3.69865319298981,131.89823606118554,786432000.0,single_edge,0.0035560920624106,0.5,-0.8,0.9757739253208008,0.0,3.27860038907789,4.8428255518124764e-05,0.0024122721478214704,0.5,-0.77,0.9128523190438496,0.0,324000
7,3.97402390657081,3.4434928311328363,5.025917330876656,2.354356977306228,0.2858574598014978,37.74424718739204,786432000.0,inside_out,0.0048493299726958,3.9,0.2,5.895094661906116,100.0,3.8010296333938487,4.8428255518124764e-05,0.0048493299726958,3.9,0.2,5.895094661906116,100.0,81000
8,0.3564795582525897,0.2595694139839283,0.7100348675293888,26.355419751323154,3.699825369604248,244.02740367198936,786432000.0,misc,0.0189268545102762,0.1,5.9,3.3058415007882874e-20,200.0,0.29607035625995576,4.8428255518124764e-05,0.018909318295308453,0.1,5.8,3.8138553151155614e-20,175.0,5062
9,2.7446345695651204,1.8691923224497624,5.773104745137454,40.41210093095437,6.500347454306261,314.6040796596022,786432000.0,multi_edge,0.004515702086436,0.2,-0.3,9.076172518403163e-05,0.0,2.7446345695651204,4.8428255518124764e-05,0.0018207267316914522,0.2,-0.33,0.00010008959538451775,0.0,576000
