layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_minus50,best_augmented_var,kstest_stat_minus40,kstest_stat_minus30,kstest_stat_minus20,kstest_stat_minus10,kstest_stat_0,kstest_stat_plus10,kstest_stat_plus20,kstest_stat_plus30,kstest_stat_plus40,kstest_stat_plus50
2,1830.9346,1830.9346,1452.4291,1276.1702,1145.6741,1040.547,878.6867,749.59924,645.6589,561.0355,489.7595,327.87213,0.01691478125489221,1830.9346,0.01691478125489221,0.01691478125489221,0.01691478125489221,0.01691478125489221,0.01691478125489221,0.022389638018027513,0.028661000446124296,0.03492345966531851,0.04023679936675417,0.04504573251184496
3,587.78186,587.78186,541.5756,515.1323,493.12314,474.21182,442.0202,414.84943,391.35858,370.6499,351.75348,305.33328,0.004729178991736083,587.78186,0.004729178991736083,0.004729178991736083,0.004729178991736083,0.004729178991736083,0.004729178991736083,0.006987568980212466,0.00915544505469379,0.011042785181570092,0.012695765071773946,0.014216171907273756
4,164.60674,164.60674,159.67645,156.37877,153.57108,151.04408,146.5184,142.4962,138.86227,135.5482,132.4804,124.381584,0.0050591171599793094,158.26398,0.0050591171599793094,0.0050591171599793094,0.004974546618192965,0.004887896053961782,0.004814815340893008,0.004792543938240801,0.0051711923512639535,0.005552132632865914,0.005905789607941525,0.00630768047129715
5,37.86353,37.86353,37.04351,36.452328,35.93823,35.4775,34.66066,33.947586,33.302437,32.70942,32.16337,30.706472,0.0018737797315714344,37.86353,0.0018737797315714344,0.0018737797315714344,0.0018737797315714344,0.0018737797315714344,0.0018737797315714344,0.00222687502210428,0.0025342649774872106,0.0028186335455868683,0.003079155508729614,0.0033295561081116976
6,7.493805,7.493805,7.288052,7.1478653,7.0289774,6.923156,6.736482,6.573743,6.4276547,6.294827,6.1721125,5.8499665,0.0031755285121236043,7.288052,0.0031755285121236043,0.0031755285121236043,0.0031107857887197055,0.0030728582444565777,0.0030569802151586556,0.003251483298724378,0.0035054793501675396,0.0037681977068522166,0.004049133029373375,0.004345601470258087
7,1.3869972,1.3869972,1.341698,1.3113118,1.2856779,1.2629622,1.2234186,1.1890159,1.1583558,1.1305045,1.104886,1.037957,0.005200276661975811,1.3287642,0.005200276661975811,0.005200276661975811,0.00513611480759435,0.005059273536820341,0.005021672506769992,0.0050162124131594155,0.00522293588827627,0.005437061496134987,0.005688398848444964,0.0059196655875098925
8,0.21588294,0.21588294,0.20694143,0.20154075,0.19706982,0.19315535,0.18639039,0.18057492,0.17541991,0.1707596,0.16649014,0.15544103,0.005844547195398286,0.21588294,0.005844547195398286,0.005844547195398286,0.005844547195398286,0.005844547195398286,0.005844547195398286,0.006104586210477936,0.006413758425771965,0.006720093603371224,0.0069831978989746135,0.007216871379590373
