layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,3083.5781,2826.3713,3351.5994,0.6854546,0.3843482,1.0239546,2446.0,0.0077361484075435,2.4,-0.2,4929.4458085496935,0.0,3083.5781,0.0273910583178281,0.0077361484075435,2.4,-0.2,4929.4458085496935,0.0,31338,51.525,0.0205409,0.249926,44.7021,0.016824,0.487742,36.1938,0.0228161,0.154241,0.99835995
3,847.51666,802.79834,894.0482,2.2758288,1.9484652,2.6241002,9784.0,0.0075641977800075,1.2,-0.7,1294.9702653188629,0.0,847.5166625976562,0.0137129253320676,0.0070582174258204,1.24,-0.7,1334.0417115928262,0.0,37147,22.5998,0.0366391,7.56809e-12,19.7346,0.0102245,0.256293,16.4331,0.0169233,0.00728016,0.71151204
4,197.1647,184.73486,210.1571,4.206626,3.5507047,5.0205836,39136.0,0.005830972239253,1.4,-1.0,466.4093787317103,75.0,197.16470336914065,0.0068607666144144,0.0049240432860324,0.9,-0.95,316.1940316696272,0.0,74296,9.10697,0.0534865,9.473659999999994e-98,7.86675,0.0270167,3.0039200000000005e-25,6.34018,0.0306777,1.9679100000000003e-32,0.29781767
5,44.2201,40.871475,47.855286,7.4233656,5.4946823,13.409365,156544.0,0.0075505266588686,0.6,-1.0,37.54875443476372,0.0,42.942012786865234,0.003431453638664,0.0061511945433224,0.7,-1.05,58.174834615808,25.0,49531,3.55557,0.0659859,0.0,3.08151,0.0395696,2.0726199999999994e-213,2.43951,0.0417565,1.3035999999999998e-237,1.4269189e-05
6,9.388031,8.569294,10.318589,10.869469,7.736299,24.630526,626176.0,0.0102870096421386,0.7,-1.1,11.885406638309796,300.0,7.722263813018799,0.0017159936940756,0.0102395572267321,0.69,-1.1,11.726358031304391,275.0,18573,1.36513,0.0735469,0.0,1.17932,0.0480043,0.0,0.919399,0.0490515,0.0,1.8652383999999998e-57
7,1.9477209,1.7386336,2.2729497,23.800837,10.407249,106.72521,2504704.0,0.0135572959218217,0.9,-1.2,4.997971942040025,150.0,1.7563706636428833,0.0008580634771374,0.0135004730587176,0.85,-1.2,4.995014198816372,75.0,9784,0.552465,0.075034,0.0,0.478645,0.0493544,0.0,0.369277,0.0506249,0.0,0.0
8,0.44855222,0.39211762,0.5611296,45.00341,12.935134,228.21909,10018816.0,0.0053747157504674,0.5,-1.1,0.2446083351969719,200.0,0.384215235710144,0.0004290483850146,0.0038743017295205,0.46,-1.1,0.2019098996102754,100.0,117408,0.248185,0.0744111,0.0,0.214709,0.0490837,0.0,0.165951,0.0498547,0.0,4.759150999999998e-131
9,0.12297406,0.10661821,0.16388807,67.74977,13.526072,366.5709,40075264.0,0.0136239010228838,0.3,-1.0,0.0046255939270673,0.0,0.1039190888404846,0.0002145283527339,0.0124332626535914,0.3,-0.97,0.003433834442636,100.0,12382,0.116463,0.083895,0.0,0.0991017,0.0596245,0.0,0.076953,0.0611637,0.0,0.0
