band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,best_augmented_var,kstest_stat_minus75,kstest_stat_minus100
2,356830582924206.06,356830582924206.06,235980572781386.8,200888947326534.1,177622658302326.25,160142937914240.1,133901257849386.8,113842633516589.14,97740689768571.05,84658978161028.75,73387546068114.34,47940699953767.66,0.0107653998940775,0.0139694227940831,0.0239078589732688,0.0357654909469322,0.0456419440963632,0.0618905502251467,0.0780817044334929,0.0941785442155321,0.1088968083180887,0.1227113511668559,0.165318391842169,0.05896609333674882,0.04840726808118989,0.03568993923393837,0.020980221375734187,0.01076539989407753,,,,,
5,795992728809031.6,795992728809031.6,582772494707326.0,481342376688111.7,411129066804030.2,360186455601334.8,291468233414597.8,241671898452316.8,206325283974051.2,179948561929257.2,160159059995823.2,122779231253977.02,0.0248602812872953,0.017853427764001,0.0138481339563435,0.014691695168705,0.0177162237071587,0.0222993800938513,0.0265352045582974,0.0323583158730892,0.0395764605432004,0.0450847676921675,0.0591079738607647,0.0222023239892233,0.020037285617352074,0.017632759678253396,0.014603001438298752,0.013848133956343545,0.018057428729634395,0.018267008197860424,,,
8,167064852743775.0,167064852743775.0,137287052848250.86,122212782996497.48,111975987899021.2,103865903838453.23,91333335003205.98,81805507700849.98,74289045043882.06,68296460982148.38,63537692085566.09,53535087418926.55,0.0190217193754627,0.0190217193754627,0.0183709876830607,0.0160258421748618,0.0140153083621533,0.0104808755968284,0.0113595344567751,0.013123960050168,0.0153787279591507,0.017301485482301,0.0226905750955967,0.013114014827023457,0.01218614267881692,0.011351619007495664,0.010448052934567409,0.01048087559682842,0.012090684155705356,0.013855261264518082,86299174393050.08,0.015905657082255664,0.017672273203807598
11,13554683977432.162,13554683977432.162,10447595970780.838,10034292890542.748,9745271233190.477,9529115807229.111,9174293185666.123,8880373929122.365,8635733703318.271,8425131936392.254,8239708387249.719,7798977483861.778,0.009153892604616,0.0088348311520503,0.0069342638651407,0.0058983681031121,0.0049756961638934,0.0037177683139263,0.0042789112664314,0.0049054485126097,0.0053309906595032,0.0058340277054254,0.0087957627061763,0.0064010232466404915,0.005139868133656522,0.004290647154179705,0.004004721951538471,0.003717768313926384,0.004117212623288347,0.004906454427508741,,0.005765052937406201,0.00680831558941386
14,210318286008348.0,210318286008348.0,198133243717448.9,191058407060181.8,185392155636950.28,180472291002535.9,171979957125061.44,164751453645298.97,158460277805975.03,152784090973635.9,147628449674382.22,134232759503767.1,0.0266342197117565,0.0252098032717813,0.02304156653047,0.0225580624064449,0.0233594861087036,0.024773377336189,0.0240487484138394,0.0249867536441172,0.0260608154588416,0.0263899324236858,0.0279709953540081,0.02362696873027223,0.023083015829752876,0.023157696591513538,0.022707358618246354,0.022315843406632965,0.02199617454677283,0.02203563297573985,191058407060181.8,0.022545558401740273,
17,397776025378705.06,397776025378705.06,387874658171040.94,381993314524020.9,377066641594050.1,372717504078447.0,365127897085837.44,358517246174879.06,352524717905521.7,347048397608568.5,341955790253280.56,328457855536086.3,0.0085276669017774,0.0091792203362343,0.0096303948379832,0.0099431065557305,0.0101981794691959,0.0106949003942984,0.0113052484575364,0.0117354697981293,0.0123232974890816,0.0127496403700191,0.0141687423733982,0.010144910670912027,0.009815697355463837,0.009369584856493862,0.008985767555076296,0.00852766690177742,,,,,
20,100725452199901.78,100725452199901.78,97431468452931.23,95524633937207.05,93977683832949.12,92639927803421.56,90340752562082.84,88382675348153.4,86638583256639.88,85055817699833.88,83605100628999.23,79804441732364.95,0.0022119421525096,0.0016373960163424,0.0019307481852477,0.0024736037310227,0.0029950472526458,0.0039353024926244,0.0047761743118662,0.005566699129334,0.0063231278512519,0.0070878648057126,0.0091728763718065,0.0034286543795328008,0.002957497135508462,0.0024413578197609274,0.0019307481852477125,0.001637396016342496,0.0022119421525096383,,,,
23,10918595942785.086,10918595942785.086,10633826200550.42,10475103446917.492,10344444076083.115,10230757547391.355,10034422189281.293,9864653994359.93,9713206053894.52,9575713674330.02,9448962261162.674,9114081214766.049,0.0025251587508574,0.0012173807995357,0.0010442276474422,0.0013351947860434,0.0017095203902064,0.0025968220223102,0.0034766189656317,0.0043175671885904,0.0051109396637937,0.0058727805562497,0.0079781776060969,0.003003310827227851,0.002131563094988395,0.0017095203902064045,0.0013351947860434053,0.0010333701465027115,0.0012827166205088836,0.002270898619670003,10475103446917.492,,
26,1912488864502.493,1912488864502.4932,1866543658469.5544,1839839194460.132,1817657390149.0083,1798095506864.8752,1763858941793.4893,1733940088332.4158,1706992765988.0706,1682298983170.1855,1659412628590.7517,1598793432897.2532,0.000395926494534,0.0011036676040178,0.0017742857726966,0.0023501514318365,0.0028756325487673,0.0038337914891281,0.0047098304848248,0.0055289925476831,0.0063059224688157,0.0070515346204535,0.0091268390274751,0.0037524780158006144,0.002829279699690268,0.0019520627912620186,0.0011036676040178106,0.0002982136477612807,,,1912488864502.4934,,
30,24313879883.08858,24313879883.08858,23524639188.07361,23036875161.568687,22633315031.80073,22278450339.06449,21660636024.96852,21127852741.368156,20654363309.337635,20225386220.59513,19831213817.65268,18804436903.831,0.0024752282012783,0.0020987323830673,0.0027386937138645,0.0027597817254391,0.0032840763787502,0.0042529027899363,0.0051390714538916,0.0059704687854084,0.0067643832318395,0.0075281446448769,0.0096618050752365,0.004185328286000774,0.003747525902266423,0.0032328932279034744,0.002663502881932081,0.0020987323830673477,0.00230284345030779,,,,
