layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,best_augmented_var
2,2017.3547,2017.3547,1488.9058,1215.7407,1020.62,870.33734,646.0812,478.69238,350.93387,256.3201,180.87057,57.59091,0.0276497714297767,0.0343212569393505,0.0441829084406896,0.0587868106273783,0.072972751351909,0.1023406705589741,0.1344485331932227,0.1605865519243241,0.1874313282846115,0.2125082340004657,0.2992011123643731,0.08280546096877262,0.06694891239869027,0.049205200338191646,0.03426477652298343,0.027649771429776704,,
3,414.75912,414.75912,358.91785,326.74734,301.00507,280.1698,246.53691,218.7879,195.29115,174.85727,157.54117,117.008415,0.0255974347304302,0.0253401530039426,0.0253799666232724,0.0274280210183387,0.0306819930551025,0.0359960297473339,0.0422623537036607,0.0499119421659697,0.0578344305721877,0.0658630378024442,0.0859064699750095,0.035216209765471906,0.030681993055102552,0.028890116585760017,0.02628254905597771,0.0253401530039426,0.025243774473291125,414.75912
4,77.24338,77.24338,72.49479,69.271164,66.53689,64.1062,60.05257,56.618507,53.591774,50.90455,48.47431,42.33588,0.0318344763092268,0.032303108329993,0.0322777438847963,0.0322574963894558,0.0322384231771074,0.0322040838895409,0.0321721621726227,0.0321415283757379,0.0321120803454065,0.0320867503841809,0.0320566714538286,0.031834476309226756,0.031834476309226756,0.031834476309226756,0.031834476309226756,0.031834476309226756,,64.1062
5,13.126125,13.126125,12.743208,12.477359,12.250789,12.0493965,11.688129,11.366981,11.075114,10.809267,10.562558,9.90949,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.0725999999999997,0.07259999999999972,0.07259999999999972,0.07259999999999972,0.07259999999999972,0.07259999999999972,,
6,2.2253528,2.2253528,2.140051,2.0834646,2.03484,1.9914452,1.9150013,1.8483663,1.7886331,1.7341866,1.6840367,1.552703,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.1214899999999997,0.12148999999999976,0.12148999999999976,0.12148999999999976,0.12148999999999976,0.12148999999999976,,
7,0.40781444,0.40781444,0.3874126,0.37443075,0.3636044,0.35406247,0.33757737,0.32351583,0.31113732,0.30001318,0.28987563,0.2640901,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,0.1666099999999998,,
8,0.11654588,0.11654588,0.109927826,0.10610071,0.10300317,0.10034018,0.095856994,0.09211539,0.08887457,0.086006515,0.08342946,0.076986685,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,0.2045499999999998,,
9,0.057244092,0.057244092,0.054570187,0.053101383,0.05193922,0.050959,0.049338277,0.04801322,0.046885375,0.04589882,0.04501956,0.042812776,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.2393199999999997,0.23931999999999976,0.23931999999999976,0.23931999999999976,0.23931999999999976,0.23931999999999976,,
