band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25
12,176811198952438.0,176811198952438.0,142986236467916.12,127453243140097.44,116435703689278.56,107770146235093.95,94615975316339.12,84629250502934.11,76758905224191.03,70412529702757.4,65039706619289.33,52767974204251.99,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.0225969017580267,0.022159022912798337,107770146235093.95,0.022159022912798337,0.022159022912798337,0.022159022912798337,0.022159022912798337,
13,421770425045456.06,421770425045456.06,404811321340453.94,394762499948305.4,386691607470284.5,379789627624508.7,367984584802014.3,357700953311365.06,348553137911886.6,340333167700016.0,332769995527144.06,313160955941401.0,0.0173137891114094,0.0160107292677073,0.0174978246103505,0.0187931694453435,0.0182437956674319,0.0188114232999275,0.0204386194221575,0.0196399203984342,0.0209891171079084,0.0222899020832764,0.0237735114802384,0.01792646883722393,421770425045456.06,0.017497032970114845,0.016982504116044933,0.016387226232754792,0.015723762598044227,0.01484740361290142
15,569209223566638.1,569209223566638.1,556015370231894.06,547276116183111.8,539939945531628.8,533392865153185.1,521858480415373.94,511783576095322.8,502635650993020.4,494169174244793.7,486271310905351.3,465590458738520.5,0.0061606489823175,0.0067097888241112,0.0071895046587676,0.0076763260398272,0.007948635525575,0.0086266701170374,0.0095010470648375,0.0101189524907787,0.0107951470602019,0.0114843490197487,0.0132899521958415,0.007458241482788015,569209223566638.1,0.007221350018694908,0.00658681605643574,0.006186942753244246,0.005571549945376231,
16,441036063640997.4,441036063640997.4,429880714568204.4,423395227577525.8,418016686325510.9,413252608636725.3,404930270341460.06,397668853024067.9,391118722033922.4,385108056565161.2,379534738057917.6,364806502535999.25,0.0017416111407735,0.0025096845893176,0.0029633145520602,0.0032645472341401,0.0036383395930688,0.0045183696472006,0.0052669178412858,0.0060912940101131,0.0068207727238072,0.007533293754092,0.0095435806637554,0.0034731930156152724,,0.0029436573229936203,0.002706164507560449,0.002217803666568763,0.0017416111407735357,
