band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0
2,0.042634167,0.042634167,0.03420008,0.02945041,0.025865186,0.022910293,0.018261084,0.014559661,0.011531777,0.009102888,0.006993798,0.002580382,0.0146309028414917,0.0319829208464986,0.0495339525046183,0.0651156011392524,0.0797683033696464,0.1070262818141276,0.1334649944781584,0.1601986567060398,0.1851299888603474,0.2093138297545675,0.2920846587655333,0.08402952329671265,0.06976165160336834,0.05452019733089286,0.03749427662433791,0.01463090284149171
5,0.04408071,0.04408071,0.041498367,0.03969425,0.038158074,0.036790743,0.034446977,0.032453187,0.030671174,0.02904216,0.027551226,0.023609122,0.0096451393555622,0.0165429001462555,0.0216733081191232,0.0262633317646771,0.0305338372264913,0.0382963392266345,0.0453846088915335,0.0521400746680824,0.0586985415310186,0.065052540317718,0.0837074897527707,0.03053383722649139,0.0262633317646771,0.02167330811912327,0.01654290014625559,0.009645139355562216
8,0.043879498,0.043879498,0.04131055,0.039368644,0.037704337,0.0362342,0.033653013,0.031456996,0.029513616,0.027732696,0.026097327,0.02190675,0.0128526118025358,0.0146981311645867,0.0203778806630069,0.0254299441964873,0.0300399223837748,0.0384819102973462,0.0460322516036398,0.053236287686386,0.0601395526029083,0.0669669737896761,0.0874130313618963,0.03319034000802697,0.028694279525252248,0.023870264370467326,0.01843784928944138,0.01285261180253583
11,0.04252561,0.04252561,0.039259672,0.037018362,0.03504672,0.0333438,0.03039686,0.027951844,0.02576927,0.023831496,0.022088585,0.01763247,0.0078526690535986,0.0168723102430539,0.0239329320617709,0.0305304657486586,0.0365468026436709,0.0477283094787556,0.0578327779748695,0.0675655971640628,0.0768285665860352,0.0857041246297357,0.1110693251046442,0.03697684766442497,0.030970541728532003,0.02438282122187002,0.017331305708296774,0.007852669053598604
14,0.042739898,0.042739898,0.040809333,0.03942587,0.0382396,0.037173804,0.035327803,0.03371115,0.032236896,0.030882493,0.02963876,0.02639736,0.0051925959131219,0.0101235700165704,0.014053623483587,0.0175576495090917,0.0208180456288149,0.026741963966431,0.0322436407096911,0.0375332257391795,0.0426546535871561,0.0475822673292897,0.0615455189357335,0.020942495042462983,0.01768250374099037,0.014178821629958649,0.01024903468266175,0.0051925959131219335
17,0.043005385,0.043005385,0.041135103,0.039755117,0.03856603,0.03753116,0.035729665,0.034135483,0.032679904,0.03134816,0.03012079,0.026880147,0.0057548367019309,0.0097202414674688,0.0135129999409634,0.017182680813615,0.0204704022847301,0.0264135907814528,0.0319201598960827,0.0371643622472814,0.042154123960874,0.0469236817683577,0.0603641763844026,0.020470402284730183,0.01718268081361507,0.013512999940963444,0.00972024146746886,0.005754836701930999
20,0.041771967,0.041771967,0.0402885,0.039167453,0.038196184,0.03731796,0.03575605,0.034381755,0.033135664,0.031970706,0.030888477,0.028038122,0.0137499779725578,0.0173117917826978,0.0201207600926752,0.0226415944861705,0.0249945778886173,0.0293638486645646,0.0334189463010418,0.0372814893013637,0.0411075459647891,0.0451608777111794,0.0568271305388399,0.024994577888617364,0.022641594486170535,0.02012076009267527,0.017311791782697872,0.013749977972557892
23,0.04119349,0.04119349,0.040093247,0.03923851,0.038515277,0.03786319,0.03668381,0.035611518,0.034627985,0.033715725,0.032861907,0.030591821,0.0059731888257371,0.0091008958663689,0.0116014403594559,0.013767685591414,0.0157619129753201,0.0194719091286526,0.0229660642536265,0.0262780177055201,0.029446262804729,0.032499580652776,0.0410627483867744,0.015761912975320147,0.013767685591414058,0.0116014403594559,0.009100895866368947,0.0059731888257371635
26,0.04167278,0.04167278,0.040820062,0.04016566,0.03958246,0.03905931,0.038100656,0.037226237,0.036414526,0.03565444,0.03494302,0.033044256,0.0092310817413255,0.0116833238131881,0.0136045238619102,0.0153463017311796,0.0169331214642713,0.0199026423100705,0.0226834155806104,0.0253289423942316,0.0278643802037612,0.0302902845057219,0.0370285934554247,0.016933121464271395,0.015346301731179679,0.013604523861910245,0.011683323813188151,0.009231081741325586
29,0.042843882,0.042843882,0.04187616,0.041141592,0.04051574,0.039937317,0.038889457,0.037939474,0.037057146,0.036234245,0.035462167,0.033364195,0.0041210836042657,0.0068070878242204,0.0088938552106399,0.0107055277526613,0.0124083077949039,0.0155648944398629,0.0185098119745091,0.0213190521863481,0.0240060835881051,0.0265882984615527,0.0339222020102701,0.012408307794903983,0.010705527752661315,0.0088938552106399,0.006807087824220459,0.004121083604265774
