layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,,,,,,,0.0
3,849815.4,721763.1,990271.7,0.1242764,-0.5174342,0.8918267,564.0
4,750042.1,714239.06,786284.7,1.4790092,1.2737849,1.6996118,22538.0
5,85743.8,80027.125,91943.87,5.269511,3.853476,9.3257,296776.0
6,16039.296,14407.928,17795.816,14.923674,12.412079,17.592876,2880648.0
7,1211.8221,1088.2695,1347.1865,15.256117,11.788039,20.571249,25362406.0
8,53.106144,42.226974,79.72598,187.27847,10.22251,635.5071,213093688.0
