band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0
2,0.048663124,0.048663124,0.040856425,0.035755485,0.031566408,0.027973864,0.022204937,0.0175493,0.013759856,0.010686349,0.0080510285,0.0029411216,0.0151455889179072,0.0329768746403358,0.0490903145365696,0.0640777611240815,0.0784196674307509,0.1048568971401197,0.1302243929079073,0.1563099803334214,0.1793808296356295,0.2032448769111476,0.2873441377358379,0.08018339686211114,0.06611129087971387,0.05136812147494285,0.035475680252981645,0.015145588917907293
5,0.04506823,0.04506823,0.041215304,0.03881925,0.036785256,0.03504072,0.032084987,0.029544272,0.027296046,0.025243865,0.023355307,0.018610697,0.0070757935482986,0.017568498384013,0.0246356895919753,0.0309180566400415,0.0365238546317901,0.0465011722316107,0.055834826927762,0.0650821380645521,0.0740467276253296,0.0827624175989232,0.1077523036287298,0.03652385463179017,0.030918056640041505,0.02463568959197536,0.01756849838401303,0.007075793548298681
8,0.04444801,0.04444801,0.042250715,0.04055157,0.039119225,0.037862893,0.03563832,0.03369801,0.031955995,0.03035577,0.028877353,0.025075829,0.00761976172934,0.0115882372727874,0.0165487098124348,0.020895007280091,0.0248382094496665,0.0321400060499725,0.038865883094772,0.0452092473572666,0.0513069426907832,0.0571843352257625,0.0736461841748196,0.02483820944966658,0.020895007280091,0.016548709812434892,0.011588237272787488,0.007619761729340091
11,0.04475648,0.04475648,0.042550057,0.041062485,0.03980376,0.038678937,0.036664724,0.034898072,0.033319402,0.031874727,0.030535595,0.027013501,0.0060524614356822,0.0109618988630811,0.0145202530725148,0.017666376351847,0.0205901289598535,0.0267051788850518,0.0323850659853654,0.0376396485757775,0.0429452367839788,0.0481119446872295,0.0629132451119744,0.020590128959853515,0.017666376351847035,0.014520253072514866,0.010961898863081188,0.0060524614356822215
14,0.041438494,0.041438494,0.039226808,0.037693143,0.03638133,0.03522167,0.033175893,0.031344585,0.029695198,0.028163614,0.026767049,0.023167321,0.0090626414885121,0.0115137186341837,0.016104566492036,0.020220910391113,0.0240068387152337,0.0310497571237377,0.0377858302362247,0.0442388747736196,0.050591640496524,0.0567154847533782,0.0741622255897048,0.024800572092359835,0.02101874802263548,0.016906054084522365,0.01232109329108566,0.009062641488512102
17,0.042882796,0.042882796,0.041427888,0.040356778,0.039426643,0.038588677,0.03712448,0.035840716,0.034675524,0.033597436,0.03258918,0.029886747,0.0045724676473271,0.0080086123961369,0.010679476239329,0.0130749590842932,0.0155401297613665,0.0200318983215262,0.0242016256359928,0.0281338312061448,0.0319047625700843,0.0355534622788846,0.0459659534955579,0.015579564885489172,0.013110681900758592,0.01071871402818636,0.008052375698709091,0.004572467647327105
20,0.042901278,0.042901278,0.041580115,0.040584672,0.03972022,0.03893607,0.03753883,0.036283843,0.035148587,0.034105625,0.033139624,0.03052617,0.0065281891611965,0.0085603502267999,0.0101553546210061,0.0117462877055668,0.0132361208423952,0.017073104105453,0.0211542726116995,0.0249573020697212,0.0285478762469404,0.0319589927063338,0.0416212306053475,0.013236120842395227,0.011746287705566849,0.010155354621006196,0.008560350226799962,0.006528189161196574
23,0.04209369,0.04209369,0.041087214,0.040310092,0.039643798,0.03903996,0.03795331,0.036971904,0.03606162,0.035215523,0.034426093,0.032293446,0.0051897368632279,0.0078955438574893,0.0100409893250006,0.0119210689201645,0.0136584101180431,0.0168683372511592,0.019863933698654,0.0227287287665921,0.0254696670139711,0.0280990606751944,0.0355717343576156,0.013658410118043168,0.011921068920164535,0.010040989325000665,0.007895543857489307,0.0051897368632279894
26,0.042336956,0.042336956,0.041399553,0.04068764,0.04006728,0.039499562,0.03845025,0.037493322,0.03660691,0.035782587,0.035014357,0.032955106,0.0073139381997447,0.0089853854960625,0.0110281986663016,0.0128418473233646,0.0145297762384343,0.0177228721755922,0.0207210853026028,0.0235751318179504,0.0263225571415989,0.0289378990500963,0.0362210491178296,0.015380140183222424,0.013695180957060793,0.011884584842007162,0.009845037138154877,0.007313938199744796
29,0.042686947,0.042686947,0.04166467,0.040927943,0.040282123,0.039689828,0.038621698,0.037644934,0.03673537,0.035888758,0.03509599,0.03294079,0.0047167604380012,0.0075657774808889,0.0096691172784142,0.011548690533866,0.0133027389079913,0.0165416769828622,0.0195923141401513,0.0225128651285342,0.0253034751651876,0.0279823115821026,0.0356076902829414,0.013302738907991385,0.01154869053386609,0.009669117278414241,0.0075657774808889355,0.004716760438001288
