band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1544.0,9.5,2.9,0.0151455889179072,0.0,9.5,2.9,0.0594045746672273,0.0151455889179072,0.0,7816
5,4632.0,20.0,20.0,0.0070757935482986,0.0,20.0,20.0,0.0460337590167121,0.0070757935482986,0.0,35173
8,7720.0,20.0,20.0,0.00761976172934,0.0,20.0,20.0,0.0454002517521164,0.00761976172934,0.0,32974
11,9264.0,20.0,20.0,0.0060524614356822,0.0,20.0,20.0,0.0457153292379418,0.0060524614356822,0.0,52761
14,7720.0,5.4,12.0,0.0090626414885121,0.0,5.4,12.0,0.0360832071307177,0.0090626414885121,0.0,21982
17,13896.0,20.0,18.0,0.0045724676473271,0.0,20.0,18.0,0.0441390128881589,0.0045724676473271,0.0,89032
20,15440.0,20.0,18.0,0.0065281891611965,0.0,20.0,18.0,0.0441580354439756,0.0065281891611965,0.0,43966
23,20844.0,20.0,20.0,0.0051897368632279,0.0,20.0,20.0,0.0429954933500535,0.0051897368632279,0.0,70348
26,23160.0,9.4,7.8,0.0073139381997447,0.0,9.4,7.8,0.0446989829424315,0.0073139381997447,0.0,34740
29,21616.0,20.0,20.0,0.0047167604380012,0.0,20.0,20.0,0.0436014593021233,0.0047167604380012,0.0,82072
32,14668.0,13.0,4.0,0.0042330002657322,0.0,13.0,4.0,0.0498603604294724,0.0042330002657322,0.0,105726
35,9264.0,20.0,20.0,0.009813210978359,0.0,20.0,20.0,0.042303048894284,0.009813210978359,0.0,19783
