band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,0.048663124,0.044442955,0.0529551,-0.21023083,-0.40759704,0.003732603,1544.0
5,0.04506823,0.042644836,0.047564857,0.11426473,-0.13012938,0.3955313,4632.0
8,0.04444801,0.042669978,0.046266906,-0.08075571,-0.19182909,0.036069427,7720.0
11,0.04475648,0.04306037,0.04646781,0.03885269,-0.093973875,0.18151146,9264.0
14,0.041438494,0.039725844,0.043164864,-0.020201683,-0.15057223,0.11921304,7720.0
17,0.042882796,0.041329104,0.044451393,-0.009786606,-0.13455763,0.12583286,13896.0
20,0.042901278,0.041341837,0.044491228,0.020528078,-0.1038239,0.16092563,15440.0
23,0.04209369,0.040583797,0.04363692,-0.037024736,-0.15293172,0.08629408,20844.0
26,0.042336956,0.040796418,0.04390046,0.027353764,-0.0925575,0.15778479,23160.0
29,0.042686947,0.04114088,0.04425178,-0.0050234795,-0.12604791,0.12985344,21616.0
32,0.042188533,0.04064477,0.043724943,0.012436867,-0.11423005,0.1473153,14668.0
35,0.04141577,0.039893474,0.04295029,-0.09138894,-0.20056638,0.02557223,9264.0
