band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,best_augmented_var,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,391564280511945.6,391564280511945.6,307558771979257.4,270850004705797.2,247903485970406.9,230837287107961.2,205792007390359.9,186547142794307.75,170866562609203.06,157270721993025.1,144899176417039.3,115425187090846.28,0.0131661417184115,0.0137827729730325,0.013726335186691,0.0197803409440865,0.0244109182547962,0.0324333450475379,0.0420468848424396,0.0513420527621468,0.060357372567288,0.0694946069616215,0.0952297567043315,0.03240065508771153,0.02549085728918904,0.016415277391993888,0.011191897467705436,307558771979257.4,0.013166141718411517,,,,
5,977784425740355.0,977784425740355.0,795096491785292.0,681927462028995.4,597417657405015.6,532424541893435.4,436917231700093.75,372695786532998.4,325028090748009.9,290225028478517.7,261696172313069.47,200201892014789.2,0.0313067781942558,0.0267405497615723,0.0233213390906993,0.0208976626603089,0.0185321649946368,0.0141956323347789,0.0168657842406873,0.019667580940287,0.0220857224733526,0.0246908088519401,0.0325912376923038,0.019621975316368334,0.018290668431336976,0.016841413162582114,0.015577701337603011,,0.014195632334778996,0.01571270104493752,0.017796164329060893,0.020030885481356564,0.02059787465591144
8,199321010423472.53,199321010423472.53,174318982596974.34,158884231740583.25,146958055091648.66,139020148991011.62,126871080422084.92,116602817518249.69,107702693631042.22,99979601913425.66,93371223405054.62,78201216668577.47,0.0204855409310942,0.0204855409310942,0.0204855409310942,0.0204855409310942,0.0204855409310942,0.01967245562271,0.0169922374986353,0.014905575183642,0.0133053297697129,0.0114625369011875,0.0133528248070234,0.012648617763404783,0.012241971555913,0.011817963782141616,0.011363258729185421,90336314381440.86,0.011462536901187509,0.01202375219334928,0.013111554090667887,0.014169037850377486,0.014918673521664969
11,14208504878605.545,14208504878605.545,12052798917948.049,11277359886693.443,10836172626652.42,10543028635644.217,10111691991720.0,9800779260277.271,9557431774869.443,9348394172911.658,9163263905562.316,8718088467267.647,0.0079600649387986,0.0079600649387986,0.0079600649387986,0.0079600649387986,0.0072550461520877,0.0053735885884464,0.0041275077482693,0.0038888406719377,0.0041851144802301,0.0046794677792829,0.0057001001220722,0.005172217871607598,0.00436392224528698,0.004177819559506782,0.004041805555228437,9672814114957.04,0.003888840671937752,0.003722359850328259,0.004076691693599255,0.004626468430670494,0.005255736554611756
14,409455897766606.4,409455897766606.4,394065822869311.6,384331264303223.75,376289024700492.3,369363401458793.5,357658548409277.75,347456620916614.06,338488924280249.8,330450222581216.25,323108146446526.2,303853082952377.7,0.0190656589833781,0.0193858891859963,0.0209282390441631,0.0203465931873855,0.0214860413059619,0.0217808631755239,0.0221219715543361,0.0235445696472544,0.023708620867488,0.0239093702785175,0.0257838788257596,0.020079807459917692,0.020101544365231372,0.019704375618729203,0.019134855868039424,,0.01906565898337817,,,,
17,388086546717526.2,388086546717526.2,379510599532805.7,374274656124740.5,369891438977217.94,366034630398393.94,359272748490335.2,353300979256231.06,347883356926073.3,342931533424250.9,338336557366166.9,326110122668085.2,0.0023504213816977,0.0030020570212224,0.0035095030126022,0.0038858130807047,0.0039035468122819,0.0046798751407215,0.0054780121556075,0.0063953786017156,0.0073310558700353,0.0084981715064236,0.0118520543198113,0.003687945727369857,0.0035093690668942523,0.0031485615312288745,0.0025829690868129918,,0.0023504213816977204,,,,
20,73406969959580.75,73406969959580.75,69904565774047.305,68257867904087.58,66954261096365.81,65844037607807.23,63974345087876.13,62412860586336.74,61055238473254.15,59836806583981.14,58726110570102.42,55884589172470.96,0.0056081432616583,0.0041048418662061,0.0034335799750525,0.0027807689193489,0.0023418660092426,0.0030039113535857,0.0037258434550222,0.0044384706537879,0.005253964365581,0.0060295299450637,0.0081379521078166,0.003720969163345189,0.0033737558476893345,0.003003911353585723,0.0026757980779106294,,0.002341866009242688,0.002780768919348947,0.003282477698181685,0.003990589705040459,0.005346182508037756
23,11113408986167.06,11113408986167.06,10816889934505.662,10651946195077.238,10516290817117.293,10396887037965.947,10189845305682.41,10011148558672.596,9851672672343.05,9707023109338.56,9573546669253.3,9221646552184.082,0.0016571441923517,0.000792367814035,0.0012090265056584,0.001632754345868,0.0020807581935989,0.0029075261919171,0.0037973172182814,0.0046250965049074,0.0054022369649445,0.0061507562281895,0.008270082912529,0.0026382204070960966,0.002121580038507792,0.001664310790514087,0.0020014564384283062,,0.0007923678140350776,0.002829355363649033,,,
26,3116566154511.891,3116566154511.891,3007392742689.5464,2946472727009.9497,2897415460464.817,2854922313567.141,2782386776155.265,2720701944071.4995,2666396361645.1924,2617532544769.739,2572841156164.062,2456793831136.5347,0.0006845544169044,0.0010092966824582,0.0017246284605044,0.0023927739759531,0.0029769128510424,0.0040015913693104,0.0049534703097919,0.0057995639046095,0.0065320729069854,0.0069937276711873,0.0091891032883174,0.00286910364859895,0.0022364700386838313,0.0016481912210673938,0.0008788097933019046,,0.0006845544169044038,,,,
30,35587817847.04666,35587817847.04666,34214660978.123688,33430849290.443714,32787709851.56436,32228416127.338867,31268089328.653603,30446164485.944813,29719611413.327946,29062567833.7416,28460820709.657658,26897317248.775303,0.0022495114754566,0.0033168275129646,0.0031688690845959,0.003712171899268,0.004191767940642,0.0052807732586678,0.006235224270204,0.0069389063490996,0.0077597331114168,0.0085424926341455,0.0106112954716972,0.005071130366558381,0.004488337621476615,0.004018626943812685,0.003205265304666728,,0.0022495114754566004,,,,
