layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_minus50,kstest_stat_minus40,kstest_stat_minus30,kstest_stat_minus20,kstest_stat_minus10,best_augmented_var,kstest_stat_plus10,kstest_stat_plus20,kstest_stat_plus30,kstest_stat_plus40,kstest_stat_plus50
2,188570.73,188570.73,53255.48,45081.785,40213.918,36420.285,30676.793,26366.973,23064.148,20511.725,18413.592,13823.26,0.013406348767533216,0.013681078230516,0.0147558077929329,0.0161199653008191,,,,,,,,0.10300313443516321,0.10300313443516321,0.10300313443516321,0.04844498493361346,0.019542474811923033,53255.48,0.014446751625826648,0.015836036936907383,0.017096331505381146,0.018720300476272156,0.020482672345441544
3,42568.312,42568.312,17821.275,14721.262,13259.316,12236.73,10732.189,9663.358,8833.768,8160.32,7600.5903,6365.4575,0.012899912832746607,0.016520211735103,0.0145784858534384,0.0142103182299931,0.0136471109350171,0.0130728627289947,0.012922924743,0.0137134616518155,0.0144583253202866,,,0.013042128244724283,0.01296880706878012,0.012929171869449307,0.012899912832746607,0.012929171869449307,9853.148,0.012870387712165976,0.01333531854513026,0.013735202945558411,0.014111583838038455,0.014489739923300715
4,10773.336,10773.336,5597.328,4464.238,3925.428,3574.9995,3107.3118,2816.8599,2605.4773,2443.7117,2310.4902,2000.5931,0.00749109809117901,0.0184200571635918,0.0156438327303025,0.0135196096927744,0.0128898131670394,0.0111024297016101,0.0101081904029165,0.0088929512311674,0.0079498849013755,0.0076404199386469,0.0088952899564983,0.00749109809117901,0.008077890264967996,0.007931285666011756,0.007796414206190594,0.007644513554369903,2361.1492,0.007368175235516999,0.007157205556198587,0.007559028297121517,0.007693645949008121,0.007852370727432278
5,1800.4349,1800.4349,967.1967,795.38226,702.7309,642.70654,566.3092,515.4727,477.0844,446.1992,420.5678,363.675,0.005887595034780424,0.0179002174723836,0.0146910475302052,0.0129973814192825,0.0109795280690439,0.0092895165036205,0.007486586538149,0.0065958785649002,0.0058970468402392,0.006428706232798,0.00819466684834,0.006532760761339462,0.006294531371925038,0.006081565985245452,0.005887595034780424,0.006081565985245452,451.9272,0.005734559061916222,0.006049705131939365,0.006203832521720853,0.006357626977683828,0.006513154889277506
6,390.8875,390.8875,192.20319,158.68784,141.02669,129.36212,114.1288,104.11362,96.79618,91.054344,86.33645,75.97758,0.003956363003360219,0.0170441585282192,0.0130043791585508,0.0106095843649401,0.0093936525506661,0.0063857945268753,0.0043369224260864,0.004093537406921,0.0047068249302658,0.005317859572445,,0.005032170484313134,0.004765250574991678,0.004463783833411214,0.004171923466138094,0.003956363003360219,98.109856,0.004085255015373601,0.004214388472984498,0.0043451148658121275,0.0044824888502909,0.004618945785974771
7,98.47922,98.47922,42.509384,35.69884,32.237232,29.994589,27.104929,25.205553,23.804392,22.69704,21.784376,19.74415,0.003786609244875727,0.0129665091183908,0.0089974789191924,0.0067500040491667,0.0052897416112648,0.0039509836716147,0.0038122530809918,0.0038594083067428,0.0043318505727237,,,0.004768537522061966,0.0043415941299331795,0.004027407807158101,0.003786609244875727,0.004027407807158101,25.535982,0.003785535757677705,0.003808922886979038,0.003809146012837883,0.003815862089422417,0.003832963067972872
8,33.173733,33.173733,16.510288,13.967173,12.692533,11.896943,10.898866,10.253603,9.773006,9.387711,9.064301,8.316109,0.0033499999999960783,0.0086316046808458,0.0044311609195225,0.0033499999999998,0.0033499999999965,0.0033499999999968,0.0033499999999965,,,,,0.007521382940268384,0.0049323761539449285,0.003999817783010062,0.0033499999999982988,0.0033499999999960783,11.236934,0.0033499999999956342,0.0033499999999956342,0.0033499999999955232,0.0033499999999955232,0.0033499999999955232
9,11.252635,11.252635,4.5747337,3.8481076,3.4964397,3.2806263,3.0072985,2.8249547,2.686348,2.5736582,2.4782884,2.2561734,0.005949999999982247,0.0091369942472888,0.00595,0.005949999999996,0.0059499999999826,0.0059499999999824,0.005949999999984,0.0059499999999851,,,,0.00594999999998258,0.005949999999982469,0.005949999999982469,0.005949999999982469,0.005949999999982469,3.0072985,0.005949999999982358,0.005949999999982247,0.005949999999982247,0.005949999999982247,0.005949999999982247
10,1.8759142,1.8759142,0.6416747,0.5432802,0.4942845,0.4631687,0.42269677,0.39541236,0.3746135,0.35778508,0.34346884,0.3103359,0.02609999999996976,0.0260999999999865,0.0260999999999844,0.0260999999999831,0.0260999999999815,0.0260999999999799,0.0260999999999801,0.0260999999999786,0.0260999999999778,0.0260999999999776,0.0260999999999769,0.026099999999969814,0.026349460355212018,0.02610478031782071,0.02609999999996998,0.02609999999996976,0.3180759,0.026099999999969814,0.02609999999996948,0.026099999999969592,0.02609999999996998,0.02609999999997009
