filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0,102.85510963770844,34.84975808105872,997.6971976827996,1502.6157545437134,7.32061076108253,862.9643416982854,786432000.0,dual_color,0.0035318399181399,0.1,3.2,3.00026074997305e-16,200.0,41.30241107666642,4.842825551812477e-05,0.0028533448945929,0.09,3.4,8.0555067462464465e-19,150.0,216000,4.08676,0.0399138,0.0,3.60553,0.0141067,0.0,2.89476,0.011404,0.0,0.0
2,139.0864226108086,48.05775874109772,1221.0822774059466,1361.0386210298534,5.617097629812603,888.3347736161325,786432000.0,dual_color,0.0024957968588637,0.1,2.9,8.541341821747807e-16,100.0,64.24367979395448,4.842825551812477e-05,0.0021042618467665,0.09,3.1,2.382352447251473e-18,75.0,432000,4.9383,0.0394626,0.0,4.35507,0.0125213,0.0,3.48834,0.0130132,0.0,0.0
3,59.22539565741237,17.890087952096398,677.7855348074926,4588.658273484921,14.044661702994546,919.8219067057933,786432000.0,single_edge,0.0063722052568508,0.1,1.8,3.801138286437238e-15,200.0,18.323851387222746,4.842825551812477e-05,0.004367232029049,0.11,1.7,2.846841620743059e-13,275.0,96000,2.4766,0.043847,0.0,2.20268,0.0187831,0.0,1.73687,0.0144773,0.0,0.0
4,147.18261314105916,50.44328792274504,1229.274554945812,1431.7217258972096,6.789152595825888,824.9326655463007,786432000.0,dual_color,0.0025426889299347,0.1,1.8,1.3680077312579324e-14,50.0,67.31136219535883,4.842825551812477e-05,0.0013422641445708,0.12,1.4,6.359972618132349e-11,75.0,1037968,4.67112,0.0457415,0.0,4.10791,0.0183528,0.0,3.28592,0.0188778,0.0,0.0
5,61.70378578565901,18.847785380610667,682.0777174173709,2256.6442424120423,8.93013420331537,918.159627050822,786432000.0,dual_color,0.00466531675448,0.1,2.4,1.053687452402898e-15,100.0,22.780789190500013,4.842825551812477e-05,0.0045782146628513,0.11,2.3,8.79089422841064e-14,150.0,91125,2.96034,0.0420777,0.0,2.60844,0.0149373,0.0,2.0859,0.0158557,0.0,0.0
6,53.87000896032544,16.817910867913437,754.6194948636753,3445.8764411262,7.00628514817896,909.0488892503844,786432000.0,single_edge,0.003903568240633,0.1,2.9,2.7243371526116773e-16,200.0,20.437651059565347,4.842825551812477e-05,0.0033967903276924,0.09,3.2,6.092241745888421e-19,150.0,162000,2.83437,0.0414837,0.0,2.50731,0.0152774,0.0,1.99018,0.0135073,0.0,0.0
7,73.31182903561383,24.30144296918652,517.9539782575268,864.9390422710061,6.691776116874249,794.7404885315348,786432000.0,inside_out,0.0186660899156582,0.2,2.1,8.498882833319292e-06,200.0,25.498732887908638,4.842825551812477e-05,0.0186604789370603,0.23,1.8,0.0001493360568274,250.0,5062,3.66791,0.0330661,0.0,3.50264,0.0206046,0.0,2.73998,0.0186603,0.0,0.0
8,2.3747436709899032,0.5442006625600964,65.25788600232056,9343.251561955756,9.472070044551089,970.7603205067762,786432000.0,misc,0.0174016003495955,0.1,2.4,2.5508976885307568e-17,200.0,0.5488267256107914,4.842825551812477e-05,0.0166407578557182,0.1,2.7,1.1836386224845668e-17,300.0,6750,0.436999,0.0486916,0.0,0.388594,0.0229116,0.0,0.305048,0.019614,0.0,0.0
9,21.8700662114683,3.65709899012778,637.0203720003237,13315.085018150128,13.594812422624376,969.3581894233288,786432000.0,multi_edge,0.0143949798060651,0.1,0.5,5.970165358876236e-14,200.0,3.962028591237564,4.842825551812477e-05,0.0104990060167546,0.09,0.9,8.725516897746663e-17,275.0,17085,0.824328,0.0614728,0.0,0.74223,0.0377793,0.0,0.577973,0.0314669,0.0,0.0
10,53.7346487626277,18.36867885463945,865.9740663092422,2942.502729307399,8.846041086286892,903.1953764073032,786432000.0,single_edge,0.0048159065141648,0.1,2.5,6.765845569739889e-16,200.0,21.464758058295818,4.842825551812477e-05,0.0045495339698091,0.1,2.3,1.1423398312967834e-15,150.0,91125,2.72338,0.043585,0.0,2.41549,0.0175279,0.0,1.9083,0.0158505,0.0,0.0
