band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,12760.0,0.4,-0.4,0.0120780515281044,0.0,0.4,-0.39,99960.6462345828,0.011457492442801642,0.0,14355
5,25080.0,0.4,-0.5,0.0055966693632492,0.0,0.4,-0.5,48048.302118653686,0.0055966693632492,0.0,56430
8,51040.0,0.5,-0.7,0.0054671216441897,50.0,0.5,-0.69,60546.606263547255,0.004635749843896142,50.0,86130
11,95480.0,0.4,-0.6,0.0035328833848938,75.0,0.4,-0.59,5264.946808056179,0.0026248575323002676,75.0,271893
14,183920.0,0.4,-0.6,0.0038129971797942,200.0,0.4,-0.62,1460.5856175236856,0.0034730286115862707,150.0,155182
17,355960.0,0.2,0.0,0.0041599199552229,200.0,0.2,-0.08,0.1021206653956329,0.003233901813465445,150.0,177980
20,695640.0,0.1,1.1,0.0047425611731233,250.0,0.1,1.0,3.283271282169978e-12,0.004073918247050071,225.0,110052
23,1337600.0,0.1,0.7,0.0088451815803634,350.0,0.09,1.0,5.39529942685567e-15,0.007086808693579416,375.0,35268
26,2583240.0,0.1,0.5,0.0107251991104292,500.0,0.1,0.5,1.3059503978758985e-12,0.009637888875811847,475.0,20181
29,3731640.0,0.1,0.9,0.0124213356822123,500.0,0.09,1.2,1.1841789106946563e-16,0.011412391458158533,475.0,14576
