filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50
10,3.95118,3.95118,3.7520363,3.6397834,3.4702175,0.0006245448454655,0.0018963088585171,0.0025597173290383,0.0039116773039868,0.00232067993704399,0.0019204969151619677,0.0015030855605189242,0.0011408663824631349,0.0006245448454655633,,,
11,1.4988174,1.4988174,1.4112271,1.3626972,1.2909623,0.0021768800553433,0.0027745291774474,0.0034693368384647,0.0049332176860883,0.0031288846993435745,0.002513930499108863,0.002163527755758461,0.0017695274390289173,0.0017547897473434437,1.4988174,,
12,0.4691078,0.4691078,0.43592706,0.41917357,0.3950388,0.0024792107638592,0.0042783532034696,0.0037086424466115,0.005438570008641,0.0035159796888810865,0.0033050661873507137,0.0026556086815625046,0.002635257703245575,0.0019832556873655566,0.4691078,,
13,0.16340677,0.16340677,0.14862442,0.14186782,0.13247041,0.0032870688869444,0.0041408729858319,0.0040919405651177,0.0063214107574255,0.006634115288119413,0.006083542428202193,0.005306979426214942,0.004430855459496515,0.003287068886944411,,,
14,46.45727,46.45727,44.73093,43.628826,41.90966,0.0007000388522523,0.0016175734944581,0.0022922323719626,0.0037826952419053,0.002522262438887257,0.002042325319765226,0.0015575375226143384,0.0010786387658967937,0.0004948877667447921,46.45727,,
15,18.092983,18.092983,17.329641,16.865017,16.14715,0.0020876408062665,0.0015318849184848,0.0023109984824067,0.0038291555923819,0.002992906790603933,0.002640990128880305,0.002262367003442036,0.001863585101897547,0.0014756729906609811,18.092983,0.0009853515724205439,0.0006325161402984947
16,6.9346805,6.9346805,6.606777,6.418326,6.1314955,0.0021271071480563,0.0029283144245433,0.0030493344151562,0.0038805119159499,0.002610925627845276,0.002042850812142505,0.0016558059733482455,0.001432314064614637,0.0011193348808405112,6.9346805,,
17,2.649552,2.649552,2.509091,2.4296198,2.3094459,0.0027728202651276,0.0035905777622412,0.0043894650329781,0.0047180107716495,0.0032332725177650623,0.002683360961768355,0.0025691747922497177,0.0020249745918232698,0.001953241530342653,2.649552,,
18,0.9603564,0.9603564,0.89904374,0.8663468,0.8179347,0.004340936851558,0.0051430625423892,0.0049321226648676,0.0077480100602501,0.0043700733120379115,0.004512334661630035,0.004041317840536893,0.0035872181422613725,0.003202435378621804,0.9603564,,
19,0.27972898,0.27972898,0.25863242,0.24771175,0.23190494,0.0044851395202288,0.0048724194089256,0.0063865124487345,0.0070902604100427,0.005737508739482089,0.005158013518943738,0.004474448351470803,0.004558614600884539,0.0036829895105787713,0.27972898,,
20,0.08314991,0.08314991,0.07494349,0.071148634,0.06593135,0.0036187715701619,0.00476446930411,0.0055964476278836,0.0066762015770001,0.005792412518378476,0.005300492630390563,0.004699669188602984,0.0039444914568512734,0.003618771570161994,,,
21,54.273457,54.273457,51.96107,50.566654,48.434906,0.0008243928882043,0.0013975173847869,0.0022342337323576,0.0034645673387226,0.0026768138179607964,0.0021689938059322733,0.0016128656922781426,0.0009727182949578125,0.000810570772575292,54.273457,,
22,21.020073,21.020073,20.07784,19.525772,18.684902,0.0006986047227137,0.0015371893212885,0.0023686725342655,0.0038178605079907,0.00301157304586349,0.0024698537945770926,0.0020226080350505132,0.0012935956614265054,0.0005200940027849654,21.020073,,
23,8.227088,8.227088,7.797941,7.55421,7.189192,0.0017610326113098,0.0015998065798381,0.0029767821115274,0.0037877267777882,0.0030532752863170476,0.00273496625401546,0.002352581262620612,0.001912447971287503,0.0014620443103466607,8.227088,0.001113180845617845,0.0006617721215691486
24,3.0656562,3.0656562,2.8949971,2.7973654,2.6511147,0.0022837242398489,0.0029002138400803,0.0034159620883736,0.0044360289575944,0.0033171744395276634,0.003097782899357915,0.002692755919273093,0.001963186666494497,0.0013783378251185363,3.0656562,,
25,1.1325456,1.1325456,1.0517602,1.0109245,0.9508768,0.0039373507529737,0.0053875152065783,0.0045745365912773,0.0069412854140788,0.003911933043805042,0.0036563482618293328,0.003389627366441217,0.0032174959231734412,0.002564865627676771,1.1325456,,
26,0.37004274,0.37004274,0.3410133,0.32604662,0.3044473,0.0044806002602301,0.0047295542868694,0.0060910418896724,0.0060533747256011,0.004936558653818923,0.004366534777181186,0.004485491729231128,0.0038667983432839614,0.0035225668854269587,0.37004274,,
27,0.09274154,0.09274154,0.08228809,0.07787172,0.07175822,0.005985450184146,0.0047138756989391,0.0058957259180819,0.0064289900383416,0.006629001998605499,0.0062794668496585215,0.0054462277723329455,0.005038582940084968,0.004412135810581322,0.08543379,0.004160306958499171,0.005399127280751037
28,45.146366,45.146366,43.381622,42.311176,40.654793,0.0006198272770029,0.0015339148049252,0.0023251244731852,0.0035923317887662,0.0027676140129726523,0.0022759064669383156,0.0017466978208947152,0.0011362160846729585,0.0006198272770029378,,,
29,17.704641,17.704641,16.993423,16.556002,15.886549,0.0007448116470998,0.0012719941304958,0.0020906867313729,0.0034069732260488,0.0027963135519363247,0.0022630510734550427,0.0016673393534571493,0.0010502796893134825,0.0005290147924651989,17.704641,,
30,6.537875,6.537875,6.2349024,6.0613394,5.7992587,0.0016796822057512,0.0015763934804814,0.0021260982781994,0.0036171968438497,0.002808930369925959,0.00243708346800664,0.0020396156983450986,0.0016432610117392416,0.0012188191056910908,6.537875,0.0007232759709742131,0.0005257799529259088
31,2.5577078,2.5577078,2.421948,2.3467531,2.2331042,0.0027848973138634,0.0021030543927819,0.0035797995069306,0.0040513052494089,0.0031331390957261007,0.002885407308831911,0.0024621256683370896,0.0020321584273829685,0.0017683537533900173,2.5577078,0.0013487100182693057,0.0009454138082749808
32,0.9168425,0.9168425,0.85761076,0.82666326,0.7810692,0.0025720045226148,0.0050407040327645,0.0035849797748778,0.0051498099682483,0.0035849797748778167,0.002932931373723871,0.002891306022202833,0.0026290139933190515,0.0020089270718760543,0.9168425,,
33,0.27176946,0.27176946,0.25113305,0.24045603,0.22504683,0.0035151829753287,0.0037090377500894,0.0058958570773941,0.0061334413937684,0.004983631478765238,0.004343980854793372,0.003777304841536655,0.003390252669618926,0.0034021109726463106,0.25831226,,
34,0.06385216,0.06385216,0.057398044,0.054498088,0.050485197,0.0053531888920151,0.0039893934149158,0.0050140918694238,0.0056512808456197,0.005914976170262043,0.005422404009240878,0.004913787524367441,0.004338934551302048,0.003654713553666325,0.057398044,0.0036656726348474056,0.004788106150151128
35,46.211063,46.211063,44.631226,43.608917,42.01952,0.0005522014921355,0.0014301951937245,0.0022753281047039,0.0036347489039941,0.0029358715995958656,0.0024684537460065645,0.0019058129356516115,0.0012697122588697374,0.00040269778246495094,46.211063,,
36,19.41968,19.41968,18.479912,17.984009,17.235811,0.0011666976138324,0.0013464451240088,0.0019228945888597,0.0033326462162057,0.0024984932109662975,0.001933129244061041,0.001405459961268847,0.0006443308133729682,0.0005905104437199382,19.41968,,
37,6.9876323,6.9876323,6.648099,6.4556513,6.1636786,0.0007854825293215,0.001467537554309,0.0022495111958756,0.0036649380388548,0.0022959163117390047,0.0017886062588425844,0.0013575403887921,0.0009858112305013433,0.0005875643869660552,6.9876323,,
38,2.7629268,2.7629268,2.610469,2.5268114,2.4021068,0.0022346010015402,0.0017894539526857,0.0031586651329523,0.0042584855165429,0.003115541024718914,0.0027991792625129026,0.002372488873100379,0.0019927899538387042,0.0017894539526857947,2.7629268,0.0014774133760687702,0.0008046074899161759
39,1.0155822,1.0155822,0.9478491,0.9118015,0.85897976,0.002086245467231,0.0035866865870045,0.0038434019161407,0.0046012544676429,0.003283446347331298,0.0030481143398115584,0.002429788942203276,0.0026379878860224304,0.001668364024045188,1.0155822,,
40,0.31723952,0.31723952,0.29175293,0.2787669,0.26018897,0.0042237551631357,0.0042606299175914,0.0043342931670887,0.006161370174162,0.006895275129765399,0.006494064494122154,0.006018303599066077,0.005451323657249096,0.0038002575291278262,0.31723952,,
41,0.070666336,0.070666336,0.062201377,0.058769044,0.054008402,0.0062273734892952,0.0039564620194409,0.004097945301513,0.0052918208258228,0.005055413071882547,0.004432543059886333,0.004040067626079745,0.0037189279320141155,0.003956462019440998,0.060338076,0.004434228466921264,0.006108165011844746
