filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50
0,47.675446,47.675446,45.873783,44.759796,43.033253,0.000870049109169,0.0015429908808294,0.0023572009923053,0.0036232236122978,0.002517408456113701,0.002046221207308574,0.0016027470971261629,0.0010888479103281674,0.0007924909847081274,47.675446,,
1,19.243467,19.243467,18.46713,17.99062,17.258463,0.0010116333665693,0.0015137723326139,0.0023473053638581,0.0036328757624691,0.002226805130405452,0.0018278497193805476,0.0014071811310737321,0.0009422310791786792,0.0002847082999148931,19.243467,,
2,7.278729,7.278729,6.958169,6.767331,6.475588,0.0011318020645267,0.0023257550278543,0.0021342404602453,0.0035984859513251,0.002108318491352401,0.0017040147849169962,0.0012823880044326996,0.0008016693481802672,0.0004589476251227742,7.278729,,
3,2.8101535,2.8101535,2.6661003,2.5850413,2.4633477,0.0020123718173457,0.0032904311075793,0.0029616827682601,0.0040459098607328,0.002617456713956759,0.0021371215357302784,0.001899724284543991,0.0017111907984490582,0.0013479992980446331,2.8101535,,
4,0.9830495,0.9830495,0.92369074,0.8921564,0.845824,0.0028156275797428,0.0046382186187463,0.0042450834257946,0.0049606275641931,0.0034343719814267093,0.003321820740051294,0.0027578011743081277,0.0026520978463936418,0.0020823784625015884,0.9830495,,
5,0.2809072,0.2809072,0.26002014,0.24969248,0.23491958,0.0037618465588736,0.0042989241374331,0.0051284968774663,0.00596493024951,0.004103216867476778,0.004062177017272177,0.0034956945181751076,0.0032408473928806636,0.002774332453887529,0.2809072,,
6,0.15354717,0.15354717,0.14086069,0.13506578,0.12693638,0.0042330481355684,0.0043521508137661,0.0052224973793777,0.0060895389653772,0.005985209064346186,0.0059519738759976,0.00502855633984646,0.004424463020421321,0.0033248642776816384,0.15354717,,
7,63.05527,63.05527,60.684605,59.210728,56.91801,0.000443502629537,0.0015319545527274,0.0023133689466516,0.0035475649045666,0.002713466582455859,0.002229789369527415,0.0017096808531191776,0.001175416682745456,0.00044350262953701813,,,
8,26.44106,26.44106,25.418959,24.778076,23.77704,0.0004718985216291,0.001566864873313,0.0023634365408601,0.0037782306324514,0.0027118544263204335,0.0022387879117522665,0.0017265465312170866,0.0011692539037826757,0.00047189852162910634,,,
9,9.860673,9.860673,9.389365,9.1226225,8.720791,0.0009004701411412,0.0013320921384502,0.0021811918979494,0.0036696679384622,0.0028691197361514695,0.002319896193112826,0.0017088688907998043,0.0009917256409374478,0.0002559687808232902,9.860673,,
