filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
31,"(4.0, 0.5, 0.141)",2.5577078,1.9696234,3.5628884,8.02776,2.764472,57.901413,16384000.0,"(4.0, 0.5, 0.141)",0.0021030543927819,0.5,-0.4,0.3440266983075575,50.0,2.5577077865600586,0.0003355120903509,0.0009454138082749,0.42,-0.3,0.1302525057396268,0.0,2048000,1.11232,0.0390006,0.0,0.974617,0.0111302,0.0,0.792168,0.014013,0.0,3.8108281e-13
32,"(4.0, 0.5, 0.208)",0.9168425,0.7003878,1.2508023,10.943072,3.5818598,74.67679,16384000.0,"(4.0, 0.5, 0.208)",0.0025720045226148,0.4,-0.5,0.0507831579896229,0.0,0.916842520236969,0.0003355120903509,0.002008927071876,0.36,-0.4,0.0213333366235774,0.0,461319,0.606862,0.0457886,0.0,0.53164,0.01799,0.0,0.428516,0.0198067,0.0,7.367237099999998e-58
33,"(4.0, 0.5, 0.306)",0.27176946,0.20174989,0.38798448,14.105574,4.522856,84.53386,16384000.0,"(4.0, 0.5, 0.306)",0.0035151829753287,0.2,0.2,2.229774653644531e-06,0.0,0.2583122551441192,0.0003355120903509,0.0033902526696189,0.27,-0.2,0.0003228237214094,25.0,162000,0.305728,0.0490663,0.0,0.268681,0.0215688,0.0,0.215135,0.0214632,0.0,5.395538999999998e-164
34,"(4.0, 0.5, 0.45)",0.06385216,0.045146257,0.10670075,25.444233,5.662357,187.29622,16384000.0,"(4.0, 0.5, 0.45)",0.0039893934149158,0.1,2.2,3.880275359601453e-18,50.0,0.0573980435729026,0.0003355120903509,0.0036547135536663,0.11,1.9,5.471329415561085e-16,50.0,144000,0.142947,0.0459052,0.0,0.126077,0.0195649,0.0,0.100866,0.0165061,0.0,1.6519528999999996e-190
35,"(4.0, 1.0, 0.044)",46.211063,38.407894,55.55766,3.4073658,1.4672375,9.87386,16384000.0,"(4.0, 1.0, 0.044)",0.0005522014921355,0.3,1.8,0.0112627851011681,0.0,46.211063385009766,0.0003355120903509,0.0004026977824649,0.34,1.4,0.0621761499137675,0.0,11664000,5.63498,0.0232473,0.0,4.95764,0.00732525,0.0,3.97106,0.0110236,0.0,0.0098433368
36,"(4.0, 1.0, 0.065)",19.41968,15.864006,26.129408,5.9141436,1.8182783,40.75658,16384000.0,"(4.0, 1.0, 0.065)",0.0011666976138324,0.3,1.1,0.0096736475009283,0.0,19.419679641723633,0.0003355120903509,0.0005905104437199,0.33,0.9,0.0324834382465315,0.0,5184000,3.4813,0.0266443,0.0,3.04549,0.00391479,1.5927399999999998e-218,2.47154,0.00899021,0.0,2.1801478e-05
37,"(4.0, 1.0, 0.096)",6.9876323,5.597677,8.869,6.300704,2.2511315,32.9799,16384000.0,"(4.0, 1.0, 0.096)",0.0007854825293215,0.4,0.1,0.1456336842438392,0.0,6.9876322746276855,0.0003355120903509,0.000587564386966,0.35,0.3,0.0413546239069451,0.0,5184000,1.97856,0.0320059,0.0,1.73158,0.00496784,0.0,1.4251,0.00712748,0.0,2.4427434e-05
38,"(4.0, 1.0, 0.141)",2.7629268,2.1723318,3.589797,8.025561,2.9803088,47.25987,16384000.0,"(4.0, 1.0, 0.141)",0.0017894539526857,0.5,-0.4,0.3708052702925422,50.0,2.7629268169403076,0.0003355120903509,0.0008046074899161,0.4,-0.24,0.0954183422431695,0.0,2916000,1.15751,0.0383623,0.0,1.01501,0.0105536,0.0,0.824363,0.0130182,0.0,1.2239653e-09
39,"(4.0, 1.0, 0.208)",1.0155822,0.7845944,1.4073374,11.613891,3.8261626,74.13678,16384000.0,"(4.0, 1.0, 0.208)",0.002086245467231,0.3,-0.2,0.0036262146685306,0.0,1.0155822038650513,0.0003355120903509,0.0016683640240451,0.3,-0.21,0.0037026423808391,0.0,648000,0.63213,0.0451123,0.0,0.555172,0.0175423,0.0,0.445458,0.0183027,0.0,4.8926071999999995e-40
40,"(4.0, 1.0, 0.306)",0.31723952,0.22677611,0.45258602,15.532459,4.791563,88.61765,16384000.0,"(4.0, 1.0, 0.306)",0.0042237551631357,0.1,2.0,3.5233236968737985e-17,0.0,0.3172395229339599,0.0003355120903509,0.0038002575291278,0.11,1.7,4.928716450204482e-15,0.0,128000,0.32337,0.0488772,0.0,0.284757,0.0216555,0.0,0.227273,0.0208545,0.0,5.983983199999998e-206
41,"(4.0, 1.0, 0.45)",0.070666336,0.049472652,0.14183378,36.726933,6.4249244,256.5121,16384000.0,"(4.0, 1.0, 0.45)",0.0039564620194409,0.1,2.1,5.373048816925581e-18,50.0,0.0603380762040615,0.0003355120903509,0.0037189279320141,0.1,2.2,4.0790301509667724e-18,75.0,128000,0.144995,0.0456021,0.0,0.127989,0.0195682,0.0,0.102322,0.0160109,0.0,3.017914399999999e-197
