layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,27208.0,5.1,-1.0,0.0118578255532734,5.12,-1.0,54577.194033464155,0.011857094609537933,13604
3,108832.0,0.3,-1.32,0.1315299999999997,0.29,-1.314,943.1776948890226,0.13152999999999987,106
4,333298.0,0.69,-1.3,0.0763599999999997,0.682,-1.28,4101.158400464453,0.07635999999999987,325
5,1149538.0,2.1,-1.3,0.0401934016056345,2.0,-1.3,2389.0719325354726,0.04019323236788158,1122
6,4251250.0,1.2,-1.19,0.0109030738521125,1.23,-1.191,337.86963738261323,0.010495071732520567,16606
7,17005000.0,0.6,-1.14,0.0121442079563619,0.62,-1.146,29.794741743019365,0.011885159290424774,12454
8,68020000.0,0.3,-0.91,0.0132552961139476,0.3,-0.912,0.11846910630095359,0.013254939866683468,10507
9,272080000.0,0.5,-1.0,0.0244938393394628,0.509,-1.009,0.463100438383046,0.02449271894501337,3112
