layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,17165.852,16108.495,18292.553,4.0173845,2.7138274,6.006314,27208.0,5.1,-1.0,54579.34219522584,0.0118578255532734,0.0082273201196278,6.0,1.4486849954960312,0.1608870043950642,5.12,-1.0,54577.19403346416,0.0118570946095379,5.12,-1.0,0.0118570946095379,13604,94.1258,0.0449666,3.03362e-48,78.9914,0.0251653,2.1156e-15,65.9799,0.0311002,2.6874700000000003e-23,0.00094406311
3,4524.57,4128.0186,4992.1787,11.562076,6.178833,24.957214,108832.0,0.3,-1.32,1220.3081442990028,0.1315299999999997,0.0041152012481055,6.0,1.4486849954960312,0.277855224540941,0.29,-1.314,943.1776948890226,0.1315299999999998,0.29,-1.314,0.1315299999999998,106,20.9464,0.132334,0.0,14.3612,0.13154,0.0,11.4596,0.13154,0.0,0.0
4,1373.4995,1260.0573,1500.4448,9.261635,6.08578,16.25573,333298.0,0.69,-1.3,4647.74460769541,0.0763599999999997,0.0023519198649528,5.9,1.4477228344183446,0.340982005495514,0.682,-1.28,4101.158400464453,0.0763599999999998,0.682,-1.28,0.0763599999999998,325,15.069,0.102694,0.0,11.7751,0.0883252,0.0,9.47518,0.0914396,0.0,0.0
5,373.9722,342.44122,410.99554,10.3997965,6.17047,30.039886,1149538.0,2.1,-1.3,2401.725294529002,0.0401934016056345,0.0012665428950382,5.9,1.4477228344183446,0.39525929673661,2.0,-1.3,2389.071932535473,0.0401932323678815,2.0,-1.3,0.0401932323678815,1122,8.65016,0.0884473,0.0,6.8804,0.0718593,0.0,5.50559,0.0751618,0.0,0.0
6,90.55869,82.75969,99.77556,11.086198,6.617087,28.133839,4251250.0,1.2,-1.19,332.17703119654936,0.0109030738521125,0.000658638529926,5.8,1.4466846370547115,0.4371530973863228,1.23,-1.191,337.86963738261323,0.0104950717325205,1.23,-1.191,0.0104950717325205,16606,4.65903,0.0753064,0.0,3.7822,0.0559478,0.0,3.05194,0.0600068,0.0,0.0
7,20.864292,18.736567,23.678108,18.333368,9.082987,60.114044,17005000.0,0.6,-1.14,27.160988830036267,0.0121442079563619,0.000329329071013,5.8,1.4466846370547115,0.4630566538000925,0.62,-1.146,29.794741743019365,0.0118851592904247,0.62,-1.146,0.0118851592904247,12454,1.95542,0.0806141,0.0,1.62019,0.0587966,0.0,1.28993,0.0624226,0.0,0.0
8,4.537877,3.9866798,5.3199186,28.597765,12.662612,99.22019,68020000.0,0.3,-0.91,0.1175479690178299,0.0132552961139476,0.0001646669863926,5.8,1.4466846370547115,0.4786010533455987,0.3,-0.912,0.1184691063009535,0.0132549398666834,0.3,-0.912,0.0132549398666834,10507,0.842763,0.0772874,0.0,0.728513,0.0510785,0.0,0.573774,0.0523519,0.0,0.0
9,0.850108,0.7182318,1.1776698,97.79494,14.3780575,442.23227,272080000.0,0.5,-1.0,0.425054,0.0244938393394628,8.233410583957582e-05,0.03,2.497131717608586e-61,0.48021,0.509,-1.009,0.463100438383046,0.0244927189450133,0.509,-1.009,0.0244927189450133,3112,0.428234,0.0579469,0.0,0.376442,0.0308328,0.0,0.298092,0.0302374,0.0,0.0
