layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,1255.2604,1157.806,1356.5619,0.31759596,0.02452329,0.64975023,2446.0,0.0149280115731854,20.0,-0.1,2198.766626573128,0.0,1255.2604,0.0273910583178281,0.0149280115731854,20.0,-0.1,2198.766626573128,0.0,8254,33.8381,0.0228371,0.153518,28.6576,0.0233163,0.137747,24.0192,0.0293852,0.0286939,0.64126247
3,299.36407,284.81714,314.5307,1.6294184,1.3129096,2.0318546,9784.0,0.007189127916317,4.9,-0.8,762.8869666952745,0.0,299.36407,0.0137129253320676,0.007189127916317,4.9,-0.8,762.8869666952745,0.0,37147,14.2164,0.0332545,7.78726e-10,12.417,0.0110739,0.180031,10.364,0.0174748,0.00502049,0.68986371
4,63.056496,59.033012,67.4901,4.7001266,3.0601072,8.698709,39136.0,0.0054584162265257,1.6,-1.0,173.74514115167074,0.0,63.05649566650391,0.0068607666144144,0.0043148412411503,1.9,-1.02,190.20370721442984,0.0,99063,5.48911,0.0490735,2.404069999999999e-82,4.66983,0.0248651,1.8794900000000004e-21,3.84354,0.0306647,2.0947300000000004e-32,0.45860132
5,12.61293,11.690255,13.703243,7.3656073,4.788803,20.21317,156544.0,0.0050513502527818,1.9,-1.1,38.93821386963535,200.0,11.527859687805176,0.003431453638664,0.0044999130635398,1.5,-1.09,36.63081938247029,125.0,88056,2.09253,0.0601108,0.0,1.78918,0.0346551,8.872429999999996e-164,1.44068,0.0387855,4.746179999999999e-205,0.0035187153
6,2.5110965,2.2931771,2.8129623,12.875861,6.6780725,49.045975,626176.0,0.0131718423397192,0.7,-1.1,3.913747341633035,0.0,2.511096477508545,0.0017159936940756,0.0121203194154742,1.1,-1.14,7.541099282771394,0.0,12382,0.807893,0.0674786,0.0,0.692483,0.0418843,0.0,0.549579,0.0446557,0.0,2.491140899999999e-80
7,0.533422,0.4786001,0.6432776,28.625526,8.297595,163.46408,2504704.0,0.0140314904065714,1.0,-1.2,1.5709647536277769,100.0,0.4912588894367218,0.0008580634771374,0.0121932158741241,1.4,-1.22,2.132923544072605,50.0,12382,0.338745,0.0708496,0.0,0.261853,0.0561184,0.0,0.207347,0.0583775,0.0,0.0
8,0.15640183,0.13805403,0.20003435,46.741947,9.917499,261.8357,10018816.0,0.0092490326385212,0.5,-1.1,0.090539807246791,150.0,0.1418535560369491,0.0004290483850146,0.0067577042621111,0.5,-1.12,0.1060508044534608,50.0,39136,0.159188,0.0773108,0.0,0.132954,0.0547271,0.0,0.103258,0.0568806,0.0,0.0
9,0.047781743,0.041497637,0.06130992,54.338512,13.528544,271.64786,40075264.0,0.0202107931485212,0.3,-1.1,0.0029003428482213,0.0,0.0425845868885517,0.0002145283527339,0.0158662779425737,0.3,-1.07,0.002220294026849,50.0,7338,0.0601458,0.0962927,0.0,0.0525021,0.0710958,0.0,0.0403358,0.0699446,0.0,0.0
