band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05
2,1179.3898,1097.9713,1266.5854,5.7695923,4.0881534,8.210641,47614.0,1.2,-0.82,2088.1574997212706,0.006563847228764255,0.0062204080553092435
5,437.0224,401.9452,476.60712,8.911059,5.4116354,14.53011,102030.0,0.9,-0.84,577.9096498018715,0.008376543871493058,0.004250109478285763
8,126.23157,115.50593,139.04625,10.603689,5.844242,28.60345,326496.0,0.7,-0.75,91.49299696612249,0.0071007953163017,0.002376287493954915
11,33.334743,30.622417,36.353336,9.182022,5.6235123,17.436111,904666.0,0.7,-0.75,24.16111548137659,0.006585267947501805,0.0014276807376072355
14,10.371416,9.49919,11.419547,10.649118,5.9477906,27.891129,2727602.0,0.57,-0.7,3.957279255443187,0.005899968228058716,0.0008222587962986603
17,2.5487747,2.287402,3.1454275,34.724674,6.520165,200.0735,8298440.0,0.36,-0.3,0.048763597232190634,0.004547031605853236,0.00047142713729943133
20,0.429869,0.36312225,0.795385,315.7859,6.7074366,1304.6344,25140192.0,0.06,6.6,5.291827652607421e-37,0.0026393357913386956,0.0002708547073073513
23,0.10037543,0.09115234,0.1280392,39.690784,4.401588,247.71967,65734528.0,0.07,8.3,1.1415264328186715e-32,0.0014667221883779558,0.00016750507336682816
