band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,1179.3898,1097.9713,1266.5854,5.7695923,4.0881534,8.210641,47614.0,1.2,-0.82,2088.1574997212706,0.0065638472287642,0.0062204080553092,5.9,0.17093804790163147,0.348951979176448
5,437.0224,401.9452,476.60712,8.911059,5.4116354,14.53011,102030.0,0.9,-0.84,577.9096498018715,0.008376543871493,0.0042501094782857,5.9,0.17093804790163147,0.3933363683468568
8,126.23157,115.50593,139.04625,10.603689,5.844242,28.60345,326496.0,0.7,-0.75,91.49299696612248,0.0071007953163017,0.0023762874939549,5.8,0.17081546405722642,0.43116720532430153
11,33.334743,30.622417,36.353336,9.182022,5.6235123,17.436111,904666.0,0.7,-0.75,24.16111548137659,0.0065852679475018,0.0014276807376072,5.8,0.17081546405722642,0.4573487426804451
14,10.371416,9.49919,11.419547,10.649118,5.9477906,27.891129,2727602.0,0.57,-0.7,3.957279255443187,0.0058999682280587,0.0008222587962986,5.8,0.17081546405722642,0.47233310745765145
17,2.5487747,2.287402,3.1454275,34.724674,6.520165,200.0735,8298440.0,0.36,-0.3,0.0487635972321906,0.0045470316058532,0.0004714271372994,5.8,0.17081546405722642,0.48400794928975727
20,0.429869,0.36312225,0.795385,315.7859,6.7074366,1304.6344,25140192.0,0.06,6.6,5.291827652607421e-37,0.0026393357913386,0.0002708547073073,5.8,0.17081546405722642,0.49228708599002535
23,0.10037543,0.09115234,0.1280392,39.690784,4.401588,247.71967,65734528.0,0.07,8.3,1.1415264328186715e-32,0.0014667221883779,0.0001675050733668,5.8,0.17081546405722642,0.49599066258389957
