band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,47614.0,1.2,-0.82,0.0065638472287642,1.19,-0.824,2084.293751989029,0.0062972253995703525,47614.0
5,102030.0,0.9,-0.84,0.008376543871493,0.92,-0.847,602.4836762134204,0.00826586059518275,27235.0
8,326496.0,0.7,-0.75,0.0071007953163017,0.69,-0.747,88.09069942386911,0.006773035902221336,40812.0
11,904666.0,0.7,-0.75,0.0065852679475018,0.69,-0.748,23.301786172740375,0.006249664326514859,47704.0
14,2727602.0,0.57,-0.7,0.0058999682280587,0.579,-0.71,4.233502640995699,0.0057682091062004615,53937.0
17,8298440.0,0.36,-0.3,0.0045470316058532,0.367,-0.32,0.05788810449429058,0.004458438105924389,97246.0
20,25140192.0,0.06,6.6,0.0026393357913386,0.059,6.69,8.200486389377579e-38,0.0024075554908636887,331435.0
23,65734528.0,0.07,8.3,0.0014667221883779,0.07,8.31,1.125745237291829e-32,0.001408254724449498,974943.0
