layer,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,2446,0.2,7.2,0.0584239104781026,0.0,0.2,7.2,0.1544934130261543,0.0584239104781026,0.0,513
3,9784,0.4,0.8,0.0464302237428199,0.0,0.38,0.9,32622.054277502597,0.04641456716100817,0.0,868
4,39136,0.4,-0.1,0.0319869723680537,50.0,0.46,-0.3,88292.64963738214,0.03143075506673654,25.0,1834
5,156544,0.5,-0.8,0.0250902617630477,100.0,0.5,-0.82,64571.36403290128,0.02503985120148894,25.0,3094
6,626176,0.6,-1.0,0.0268781414266413,25.0,0.7,-1.02,46775.56372534681,0.026797148215403355,125.0,2446
7,2504704,6.2,-1.2,0.0297392930326377,300.0,6.2,-1.2,29874.35303251264,0.0297392930326377,300.0,2062
8,10018816,0.6,-1.1,0.0117486341122509,350.0,0.59,-1.1,1483.4930054316997,0.01140588172275403,325.0,14676
9,40075264,0.5,-1.1,0.0092175061122413,350.0,0.49,-1.1,236.4906654166517,0.009181882273827213,300.0,22014
