band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,45000.0,0.3,0.2,0.0140124033902651,0.295,0.11,100000.0,0.01011025846514102,18984
5,117000.0,0.3,-0.14,0.0093474925322786,0.3,-0.142,100000.0,0.008934702565641162,21937
8,189000.0,0.35,0.0,0.0097541042282226,0.343,-0.04,100000.0,0.007821367453499817,29898
11,495000.0,0.38,0.0,0.0062226552426212,0.375,-0.05,100000.0,0.005919440888576544,52204
14,1134000.0,0.43,0.0,0.0059252574193738,0.42,-0.05,100000.0,0.004869163239898611,79734
17,2574000.0,0.47,-0.1,0.005948929026249,0.461,-0.16,100000.0,0.004940434132296883,76350
20,5967000.0,0.49,-0.4,0.0073638447313814,0.486,-0.42,100000.0,0.006442032906547121,46617
23,13887000.0,0.59,-0.6,0.0100360738467814,0.58,-0.61,100000.0,0.009092859874943127,22882
26,31968000.0,0.9,-0.9,0.0125857291253028,0.891,-0.905,100000.0,0.012096064450977329,13168
29,73701000.0,0.04,1.4,0.0337041081259999,0.039,1.47,1.4775214980114792e-45,0.03307637121977107,1686
32,59634000.0,0.04,2.8,0.0299533816521035,0.04,2.75,6.589828489203513e-49,0.028631857499759716,2301
