layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,141835.42,0.0,209363.5,-1.7733272,,,4.0
3,736888.25,720600.4,753057.44,-1.2733599,-1.3359936,-1.193485,20050.0
4,465364.94,445307.28,485416.3,0.8338175,0.7155408,0.96441025,180942.0
5,108863.67,102563.99,115377.72,3.2375789,2.7148654,3.8083837,922650.0
6,47217.008,43791.793,50738.293,6.1270056,5.5646195,6.7218437,4185552.0
7,9147.37,8511.857,9801.893,5.5213947,5.010843,6.1453524,17688454.0
8,918.856,848.6779,993.5574,7.177231,5.9035907,11.47642,72685058.0
9,78.33318,70.408485,87.402626,15.242443,10.448604,33.768715,295085108.0
