layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,3180.0,0.34,2.4,0.0175690473981455,0.34,2.42,0.016924686081207396,6787
3,12720.0,0.35,1.5,0.0061952439138949,0.353,1.56,0.005071898707147748,72444
4,50880.0,0.36,0.5,0.0063676370823271,0.361,0.53,0.004837235235096049,76320
5,203520.0,0.4,-0.06,0.0018459157835225,0.4,-0.061,0.0018058458020765444,579555
6,814080.0,0.45,-0.6,0.0061401551249912,0.458,-0.57,0.004686824381217092,85860
7,3256320.0,0.7,-0.86,0.0092933494945705,0.72,-0.852,0.008731144662884938,25440
8,13025280.0,2.0,-1.17,0.0335157293239882,1.9,-1.169,0.03349869450555332,1590
