layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,27208.0,5.0,-1.02,0.0138838396471444,4.9,-1.022,56121.86564748772,0.013676345802732026,10203
3,108832.0,0.3,-1.32,0.1319199999999997,0.29,-1.314,925.4025776860207,0.13191999999999987,106
4,333298.0,0.69,-1.3,0.0750499999999997,0.682,-1.28,4105.87764561302,0.0750499999999999,325
5,1149538.0,2.1,-1.3,0.0397575347967097,2.0,-1.3,2448.4088168247627,0.03975726460505008,1122
6,4251250.0,1.8,-1.22,0.0111233236573112,1.87,-1.222,414.687688151661,0.010645981963611106,16606
7,17005000.0,0.6,-1.15,0.0125549859051772,0.63,-1.159,28.407012508160538,0.011841591111714789,13297
8,68020000.0,0.29,-0.9,0.0119548405980149,0.294,-0.91,0.0850853825274786,0.011954355078269474,12454
9,272080000.0,0.5,-1.01,0.0234549389823647,0.5,-1.01,0.37225846732632445,0.02345422753481874,3501
