band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,933618700.0,933618700.0,902092700.0,878417100.0,857695500.0,838937540.0,805610900.0,776292500.0,749886100.0,725729540.0,703361660.0,644422500.0,0.0214987877233712,0.0223961366397417,0.0230876855611859,0.0237098327179492,0.0242853707253479,0.0238380783311962,0.0242302469472986,0.0251309259111445,0.0259831572646422,0.0267926959670809,0.0273069614968204,0.021531264954706635,0.02095644490640757,9.336187e+08,0.020736515468280856,0.020043948799246092,0.019959126966201834,,,,
5,2284851000.0,2284851000.0,2248633900.0,2218805500.0,2191867400.0,2166899700.0,2121223200.0,2079657200.0,2041148800.0,2005108100.0,1971119500.0,1878879400.0,0.0350410468316553,0.0345387500954848,0.035313476220709,0.0360211239729502,0.0366831064367259,0.0379135925663132,0.0382027486679027,0.0375918759254031,0.037351705511004,0.0383440211057713,0.0403575052837674,0.03569964101248484,0.035461660930856384,2.284851e+09,0.03519800745027854,0.03489787301818466,0.03453875009548482,0.0343787593475014,,,
8,1703496400.0,1703496400.0,1678641800.0,1656894700.0,1636973800.0,1618439800.0,1584463900.0,1553570800.0,1525054500.0,1498447100.0,1473436200.0,1405759700.0,0.0238572729823464,0.0248523128370687,0.0247954057272199,0.0244694621246616,0.0243176813507651,0.0257393193285917,0.0260132810993669,0.0257037508820427,0.0268869516968579,0.0272844968243149,0.0284903013596456,0.02431768135076516,0.023767469350273185,1.6568947e+09,0.02322513637082442,0.02327321577562491,0.02327321577562491,,,,
11,1330439200.0,1330439200.0,1315438300.0,1301946800.0,1289282400.0,1277251200.0,1254671600.0,1233622000.0,1213775100.0,1194914200.0,1176893800.0,1126916600.0,0.0263770583836323,0.0270172858110584,0.0275984175577229,0.0281531945364072,0.0286856195783444,0.0290488988012384,0.0284355494371342,0.028994536196208,0.0298763763108945,0.0307343336015855,0.0309916682189302,0.027349112376828744,0.027077813055255584,,0.02682958704539251,0.026667643512662487,0.026377058383632315,,,,
14,353699620.0,353699620.0,345194750.0,338094700.0,331727600.0,325874400.0,315284130.0,305794940.0,297136640.0,289142000.0,281691200.0,261885200.0,0.0204257754548353,0.02172744939824,0.0222170751741076,0.0215571652104457,0.0209509469336121,0.0208415929646925,0.0224645135853996,0.0239922328233689,0.025438074653553,0.024654113391838,0.0261408524186808,0.020018357941530895,0.01966377320268281,3.5369962e+08,0.0192485212822886,0.018186294103385348,0.017985594248498882,,,,
18,69399490.0,69399490.0,66991364.0,65352096.0,63985660.0,62787764.0,60722732.0,58955984.0,57398132.0,55997668.0,54721052.0,51437788.0,0.017086247652883,0.0174034358243139,0.0188085254828569,0.0196310899932143,0.0190937462471811,0.019947477136354,0.0216014105991574,0.0208748870362216,0.0219743561638845,0.0232596592664464,0.0245759993040981,0.01714347423264484,0.01731806254706736,6.939949e+07,0.016138290314413384,0.01642003267183223,0.014432490066044301,,,,
21,29438876.0,29438876.0,28134584.0,27283628.0,26584520.0,25979132.0,24952518.0,24090618.0,23342792.0,22679554.0,22081876.0,20557684.0,0.017896988759447,0.0172556231528375,0.0166244357522275,0.0179187662298923,0.0190762597961565,0.021123055479862,0.0206356147421787,0.0204768666328901,0.0219000863990473,0.0232352763421107,0.0236087832118751,0.016041565725746887,0.01638276750751011,2.8134584e+07,0.015954398955261143,0.014848880425529343,0.015377941917132154,0.014220468902927094,0.014317868308066473,,
24,11343240.0,11343240.0,10410364.0,9809005.0,9333050.0,8934353.0,8286451.5,7769067.0,7338579.0,6970767.5,6650480.0,5885228.0,0.0091773434511908,0.0067243843934656,0.0090167800149769,0.011096574660216,0.0129991891492135,0.0156384365248455,0.012775208947048,0.0139146769812312,0.0159035574490714,0.0178043224575225,0.0178230322354681,0.007971723116487972,0.007089225460057809,1.134324e+07,0.007409750719152411,0.005729635039974257,0.005757756343215403,0.0049463222828546455,,,
27,4075887.0,4075887.0,3570589.8,3264352.0,3032413.8,2844505.2,2550588.2,2325855.8,2145307.5,1995572.9,1868495.8,1577564.4,0.012299746169431,0.012299746169431,0.012299746169431,0.012299746169431,0.012299746169431,0.012299746169431,0.012299746169431,0.012299746169431,0.012299746169431,0.012299746169431,0.0122445958959752,0.012849018033816995,0.012628510618966193,1.7091756e+06,0.012412592781477216,0.012446470538789889,0.012244595895975263,0.0122768798267201,0.011901424383382597,0.011617855737545146,0.011649883228661118
31,134625.73,134625.73,110339.74,98860.016,90554.805,84043.15,74211.23,66955.49,61279.81,56662.805,52800.586,44119.633,0.0342138597898294,0.0341685793468483,0.0338374104651266,0.0335626842310067,0.0333208939723552,0.0350926625351386,0.0358538809650472,0.0356590388126731,0.0354797320954223,0.0353123123883948,0.034860286852228,0.02642526205136253,0.026334898201123336,70340.58,0.026334898201123336,0.026334898201123336,0.026334898201123336,0.026334898201123336,0.026334898201123336,0.026334898201123336,0.026334898201123336
