scale,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
0.3162,0.20629958187610756,0.17063816473274399,0.247663406427726,3.5065919958097327,1.4930484689190253,6.926868188488356,10000.0
0.4549,0.4264099251281159,0.3500805199250296,0.503911786499527,2.6971541320979746,1.3124066733116675,4.876062134868356,10000.0
0.6543,0.8764130825322883,0.7327981765510656,1.0393264322429707,2.856123541008561,1.4796673422268198,4.49428735175807,10000.0
0.7071,0.9531185658166305,0.7956711821299324,1.117628730667529,2.44796071365331,1.1627345327651784,4.621292541210272,10000.0
0.9412,1.75346168517268,1.4413282642523444,2.0909001700865906,3.035933248483624,1.3490178499025207,5.786058961833729,10000.0
1.354,3.568596307207202,2.9611061130454637,4.174864555147587,2.9871124303472056,1.26699622626451,5.182565360442153,10000.0
1.947,7.595639484468013,6.322655707693071,9.05144332393904,3.030883691841101,1.503521103103452,4.980338467151094,10000.0
2.801,15.9090494845599,13.22302961261136,19.088523082301897,3.2642791183044473,1.4037482715469576,5.947488298722057,10000.0
4.03,33.30418433097225,27.620224302877528,39.36274949665882,3.056230666443912,1.413275294489103,8.070180615490509,10000.0
5.796,65.93316659442776,54.951255515885826,77.20160753068512,2.633936924349358,1.2864341894369682,4.725217971794031,10000.0
8.338,140.39174057019108,115.80434188647165,167.07462942325674,2.948190906749325,1.256276462463257,5.5070430417894425,10000.0
11.99,290.9624174737303,240.7670624986664,352.0927615385249,3.4044398689922835,1.3571851876091279,7.242809227504058,10000.0
17.25,592.57761441703,497.5136066776267,695.8536819490429,2.5403425307748586,1.2351986754907596,5.312530199903432,10000.0
24.82,1222.0459689921834,1017.1205575620913,1441.1403533439445,3.108203055325,1.504915794852538,6.34099900276346,10000.0
35.7,2544.34097875033,2156.4300319160197,2956.9325773634405,2.60633477887062,1.2546179736177543,4.606067416595402,10000.0
51.35,5119.750220633221,4209.05561880897,6144.664575140508,3.1501287656306234,1.4390280411005194,6.020737150654784,10000.0
73.86,11075.753766578395,9123.259643452879,13137.366935416989,2.921622422428042,1.625805832036538,4.679421942676891,10000.0
106.2,22214.258953151904,18222.287926540223,26605.76357214752,3.524319718180651,1.4622713539253018,7.334407403945884,10000.0
152.8,47367.83525196237,38335.70968271602,56456.88910228688,2.9326035924325566,1.2493882453770184,6.054737426029431,10000.0
219.8,97620.99323614729,80099.2916410594,117809.8646268149,3.6405344131544277,1.3048913553361807,12.031535282402903,10000.0
316.2,206256.0992405961,169402.91408716055,246487.48874258634,3.44111632467797,1.5423357232743458,6.212676033845738,10000.0
