band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,382866534839862.3,324100396849161.6,450196057219146.4,9.17779681707984,5.344246817444709,12.533964069701758,1344.0,0.014293935012255567,0.2,14.0,77062.66952576552,25.0,244532183791828.9,0.03691880400029039
5,745291254872750.4,649889410872961.9,847346375935032.8,19.15938855561074,15.821494598233595,22.58420888469809,4032.0,0.01589040254127927,0.1,3.4,0.0019157018593766936,75.0,362736050471057.44,0.02134625097266802
8,179532301926889.16,156596775548569.7,204282300542555.72,24.56317531649041,19.76896954002504,29.5396532193005,11424.0,0.012411415597168551,0.1,5.7,1.196787569336038e-05,200.0,81576755167792.06,0.012691706100819312
11,10684743872421.203,9879611783486.793,11678107354116.014,8.575494787709745,3.301797208521548,19.735710273067877,31584.0,0.0032838709103729657,0.2,10.0,12652.675549476653,100.0,9422226469108.125,0.0076365388413218264
14,162517112319553.5,134269282795991.4,196280737753400.75,53.4077158125441,31.659409692602228,84.90391236999169,87360.0,0.025517979673877478,0.1,0.1,6.439438676710909,500.0,76382537059571.88,0.00459297640739148
17,399493607211459.0,372468552766742.4,428998732129312.1,5.507585044526925,3.7784584305721394,8.769745304942074,242592.0,0.012164058952883638,0.1,4.4,0.0003786374062539881,0.0,399493607211459.0,0.002756669490419828
20,126293524500393.58,116828643440755.9,136960797863753.84,7.410565087677751,4.600879255237682,14.709857286836824,673344.0,0.0016389074719095932,0.1,6.0,1.2158824828598683e-05,25.0,121821828320574.44,0.001654808738904552
23,13956289927028.244,13058218225405.338,15012587230488.225,5.128342487537946,2.551656334778364,14.651006930364392,1870176.0,0.0009785004676926001,0.1,12.0,4.857744408016551e-09,25.0,13528692121621.107,0.000993004187502015
26,3497926228281.2046,3253829009768.1045,3773109226089.828,6.25843724644632,3.871573014235912,13.701746641034662,5189856.0,0.0012395730360800772,0.1,7.5,5.993294424873868e-08,25.0,3388254215999.3867,0.0005961152843448953
30,43165466222.89688,39052308188.55264,48001535105.82993,14.015626640568929,8.286225118946293,31.07093744769153,3901632.0,0.0038698582506697804,0.1,3.6,1.3924746792203073e-07,100.0,38096693476.16215,0.0006875134029936237
