,index,nan_prop,wave_number,aspect_ratio,frequency,kernel_size
0,0,0.4449614690180613,2.0,0.5,0.044,"(25, 47)"
1,1,0.3991219559192672,2.0,0.5,0.065,"(17, 33)"
2,2,0.3691563803872796,2.0,0.5,0.096,"(13, 23)"
3,3,0.3460054082635873,2.0,0.5,0.141,"(9, 17)"
4,4,0.33265221929023475,2.0,0.5,0.208,"(7, 11)"
5,5,0.3193958596973094,2.0,0.5,0.306,"(5, 9)"
6,6,0.31468368546865466,2.0,0.5,0.45,"(5, 7)"
7,7,0.48397876221977504,2.0,1.0,0.044,"(47, 47)"
8,8,0.4287629185544016,2.0,1.0,0.065,"(33, 33)"
9,9,0.3894464385422119,2.0,1.0,0.096,"(23, 23)"
10,10,0.3613273719827985,2.0,1.0,0.141,"(17, 17)"
11,11,0.3420378050759332,2.0,1.0,0.208,"(11, 11)"
12,12,0.32637932447536716,2.0,1.0,0.306,"(9, 9)"
13,13,0.3168657631264155,2.0,1.0,0.45,"(7, 7)"
14,14,0.5175809586378692,3.0,0.5,0.044,"(37, 71)"
15,15,0.4460227994180879,3.0,0.5,0.065,"(25, 49)"
16,16,0.39872202326593054,3.0,0.5,0.096,"(17, 33)"
17,17,0.37028131207592957,3.0,0.5,0.141,"(13, 23)"
18,18,0.3475597491386256,3.0,0.5,0.208,"(9, 17)"
19,19,0.3311001149213756,3.0,0.5,0.306,"(7, 11)"
20,20,0.3192226077670293,3.0,0.5,0.45,"(5, 9)"
21,21,0.576407275649366,3.0,1.0,0.044,"(71, 71)"
22,22,0.4879439330781284,3.0,1.0,0.065,"(49, 49)"
23,23,0.429077152825806,3.0,1.0,0.096,"(33, 33)"
24,24,0.3903885126611398,3.0,1.0,0.141,"(23, 23)"
25,25,0.36305603666204606,3.0,1.0,0.208,"(17, 17)"
26,26,0.3408207437617762,3.0,1.0,0.306,"(11, 11)"
27,27,0.3249893925706934,3.0,1.0,0.45,"(9, 9)"
28,28,0.5822634897807539,4.0,0.5,0.044,"(47, 93)"
29,29,0.49499164845305504,4.0,0.5,0.065,"(33, 63)"
30,30,0.4348937591542156,4.0,0.5,0.096,"(23, 43)"
31,31,0.39483733571058477,4.0,0.5,0.141,"(17, 31)"
32,32,0.36097870376142,4.0,0.5,0.208,"(11, 21)"
33,33,0.3424866625902476,4.0,0.5,0.306,"(9, 15)"
34,34,0.32852817404132423,4.0,0.5,0.45,"(7, 11)"
35,35,0.6608233253289085,4.0,1.0,0.044,"(93, 93)"
36,36,0.5488229505028408,4.0,1.0,0.065,"(63, 63)"
37,37,0.4729666283595415,4.0,1.0,0.096,"(43, 43)"
38,38,0.41939459612285057,4.0,1.0,0.141,"(31, 31)"
39,39,0.3800122267834581,4.0,1.0,0.208,"(21, 21)"
40,40,0.35266759944434056,4.0,1.0,0.306,"(15, 15)"
41,41,0.33416184034817104,4.0,1.0,0.45,"(11, 11)"
