,index,nan_prop,wave_number,aspect_ratio,frequency,kernel_size
0,0,0.3799285758717776,2.0,0.5,0.044,"(25, 47)"
1,1,0.33923520257394324,2.0,0.5,0.065,"(17, 33)"
2,2,0.31405792970871443,2.0,0.5,0.096,"(13, 23)"
3,3,0.2953829477618467,2.0,0.5,0.141,"(9, 17)"
4,4,0.2804732564853755,2.0,0.5,0.208,"(7, 11)"
5,5,0.27017458720097154,2.0,0.5,0.306,"(5, 9)"
6,6,0.26606694107014645,2.0,0.5,0.45,"(5, 7)"
7,7,0.4126157909743571,2.0,1.0,0.044,"(47, 47)"
8,8,0.3649874134650838,2.0,1.0,0.065,"(33, 33)"
9,9,0.3316343568470458,2.0,1.0,0.096,"(23, 23)"
10,10,0.30776598952415446,2.0,1.0,0.141,"(17, 17)"
11,11,0.28874430160916575,2.0,1.0,0.208,"(11, 11)"
12,12,0.27521741551586887,2.0,1.0,0.306,"(9, 9)"
13,13,0.2688731881278391,2.0,1.0,0.45,"(7, 7)"
14,14,0.43907568199222224,3.0,0.5,0.044,"(37, 71)"
15,15,0.3802437148510317,3.0,0.5,0.065,"(25, 49)"
16,16,0.3392173212499531,3.0,0.5,0.096,"(17, 33)"
17,17,0.3146366652116799,3.0,0.5,0.141,"(13, 23)"
18,18,0.29534184652476575,3.0,0.5,0.208,"(9, 17)"
19,19,0.2803142269948619,3.0,0.5,0.306,"(7, 11)"
20,20,0.2708297294170033,3.0,0.5,0.45,"(5, 9)"
21,21,0.4884882395748784,3.0,1.0,0.044,"(71, 71)"
22,22,0.414693401730983,3.0,1.0,0.065,"(49, 49)"
23,23,0.3645624794696592,3.0,1.0,0.096,"(33, 33)"
24,24,0.3310032087869991,3.0,1.0,0.141,"(23, 23)"
25,25,0.3070919336602733,3.0,1.0,0.208,"(17, 17)"
26,26,0.2901817240982349,3.0,1.0,0.306,"(11, 11)"
27,27,0.27570729005578065,3.0,1.0,0.45,"(9, 9)"
28,28,0.49541118034464815,4.0,0.5,0.044,"(47, 93)"
29,29,0.4210760241928341,4.0,0.5,0.065,"(33, 63)"
30,30,0.3699461295066799,4.0,0.5,0.096,"(23, 43)"
31,31,0.33493062591948713,4.0,0.5,0.141,"(17, 31)"
32,32,0.30625334012071526,4.0,0.5,0.208,"(11, 21)"
33,33,0.2908157552913455,4.0,0.5,0.306,"(9, 15)"
34,34,0.2779509501051628,4.0,0.5,0.45,"(7, 11)"
35,35,0.5582126244418483,4.0,1.0,0.044,"(93, 93)"
36,36,0.4645333487651002,4.0,1.0,0.065,"(63, 63)"
37,37,0.4017903710670415,4.0,1.0,0.096,"(43, 43)"
38,38,0.3565876523035319,4.0,1.0,0.141,"(31, 31)"
39,39,0.32348418209968716,4.0,1.0,0.208,"(21, 21)"
40,40,0.29946000023772945,4.0,1.0,0.306,"(15, 15)"
41,41,0.28355945502620644,4.0,1.0,0.45,"(11, 11)"
