band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,236431730.0,219699650.0,254385660.0,6.1201754,4.4793596,8.86468,47614.0,0.27,0.5,78400.78512662045,0.0127476089283182,0.0062204080553092,0.36,220.21708261467833,0.26594116224267916
5,98143970.0,89690344.0,107740780.0,10.624524,6.5598454,16.423,102030.0,0.27,0.1,65408.32792551458,0.0125686365274587,0.0042501094782857,0.36,220.21708261467833,0.19216303081251096
8,28320434.0,25856682.0,31116386.0,10.694184,6.562628,22.191256,326496.0,0.3,-0.14,89470.52881016019,0.0108589159093177,0.0023762874939549,0.36,220.21708261467833,0.0883918059214446
11,6876102.5,6301162.5,7505876.5,9.706751,6.305944,16.889555,904666.0,0.3,-0.17,23080.794586735155,0.0099531189370645,0.0014276807376072,0.39,389.4172495968936,0.012518716725564039
14,1975496.8,1803219.6,2183956.0,11.606632,6.6025286,31.44463,2727602.0,0.38,-0.5,80480.61965591343,0.0073976533792084,0.0008222587962986,0.49,1454.7081308620295,0.015516824919913352
17,485698.53,434465.53,606996.75,39.58366,7.2798166,243.68784,8298440.0,0.53,-0.6,100000.0,0.0043839903577213,0.0004714271372994,0.75,6927.655544318703,0.020058582898707433
20,79569.28,68728.46,125103.484,156.66399,7.4384756,791.2451,25140192.0,0.06,5.9,4.060177944949723e-31,0.0022296526834214,0.0002708547073073,6.0,32797.682775530935,0.06654898467931794
23,19246.125,17450.877,24086.408,34.890354,5.1961956,215.3113,65734528.0,0.07,6.9,1.7813634676839115e-26,0.0026666604701747,0.0001675050733668,6.0,32797.682775530935,0.17093328057276533
