band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1536.0,0.1,14.0,0.0114323785355395,0.0,0.11,14.0,6.9493821631050224e-06,0.009329518795562763,0.0,22143
5,15360.0,0.1,8.0,0.0087890859811378,200.0,0.09,8.4,2.8308139722677357e-09,0.008188205521162506,175.0,27678
8,29184.0,0.2,8.8,0.0053509751914758,0.0,0.2,8.8,100000.0,0.0053509751914758,0.0,65664
11,59904.0,0.2,15.0,0.0029839573215836,200.0,0.19,15.0,400.7600186661338,0.0028360919985861988,175.0,227448
14,119808.0,0.1,1.3,0.0240639072868421,0.0,0.11,1.0,41.97362037384239,0.024022691344755223,0.0,3159
17,961536.0,0.1,13.0,0.0035487186473903,0.0,0.1,13.0,8.086443151923943e-08,0.0035487186473903,0.0,152118
20,1923072.0,0.2,7.1,0.0011171383016207,50.0,0.19,7.2,26205.375435576116,0.0007240373315441362,25.0,3650832
23,15384576.0,0.1,13.0,0.0010400587563854,25.0,0.1,13.0,8.763696880107413e-10,0.0010400587563854,25.0,1622592
26,7692288.0,0.2,2.7,0.0007319136938445,25.0,0.2,2.7,70377.4389862119,0.0007319136938445,25.0,3650832
30,15384576.0,0.2,1.2,0.0018903302876536,0.0,0.18,1.5,3843.633241993334,0.0018572436641536294,0.0,540864
