layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,3180.0,49.0,-1.3,0.217374209554274,58.0,-1.29,0.21735448233441287,36
3,12720.0,0.05,4.1,0.0892440850533118,0.049,4.19,0.08890548673046039,222
4,50880.0,0.05,5.5,0.0321025944065179,0.049,5.58,0.03185922607956271,1788
5,203520.0,0.05,5.8,0.0175516177602109,0.049,5.88,0.017411286800220194,6360
6,814080.0,0.05,3.7,0.0189429059015876,0.05,3.71,0.01868808122717025,5365
7,3256320.0,0.04,3.7,0.0215963118606178,0.04,3.7,0.021596311860617612,4023
8,13025280.0,0.05,2.1,0.0411346652500044,0.049,2.18,0.04109617625872042,1129
