layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05
2,1696.1896,1517.7839,1889.8536,3.7966003,2.3539422,5.295139,3180.0,0.12,7.0,4.266123298059831e-13,0.0171994752430511,0.024030335482930112
3,546.2667,515.08716,579.0623,3.2724757,2.5554426,4.0806203,12720.0,0.36,1.1,1.6494703979798873,0.0036381112741665084,0.01202851450611388
4,154.46246,145.01927,164.26118,3.8167362,3.066599,4.7740974,50880.0,0.59,-0.2,32.24123933457679,0.005464509504039788,0.006017563498360196
5,35.853176,33.392532,38.4375,5.54113,4.3826737,6.967747,203520.0,0.5,-0.43,5.335611643550207,0.001711851699649325,0.0030096044936828606
6,7.1025486,6.5403814,7.693819,7.751813,5.9277453,10.394491,814080.0,0.35,-0.4,0.13559164801448712,0.004029999999998202,0.0015050074551751034
7,1.3205026,1.2043132,1.4459689,10.719652,8.014826,15.655435,3256320.0,0.12,1.2,2.095827363120756e-12,0.009589999999996546,0.0007525549699048645
8,0.21676795,0.19527838,0.2418564,15.263584,9.907603,31.19272,13025280.0,0.12,1.4,2.0481508344570986e-13,0.029579999999991613,0.0003762902880576396
