layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,12543.32,532.8452,18220.332,-0.8066838,,,3180.0,49.0,-1.3,76115.64462458041,0.217374209554274,0.0240303354829301,6.0,1.3783488567453053,0.3806107773380183
3,1856.5061,169.96921,3832.956,5.212472,-0.9225917,6.3036957,12720.0,0.05,4.1,3.8634255926208456e-39,0.0892440850533118,0.0120285145061138,5.9,1.3774334102365353,0.43165363865861883
4,303.3833,87.01871,643.6394,16.93509,0.13681026,20.609509,50880.0,0.05,5.5,9.900049498059531e-42,0.0321025944065179,0.0060175634983601,5.8,1.3764456191337848,0.44088550267514737
5,55.929054,22.23566,114.66902,22.755835,1.2524028,27.043594,203520.0,0.05,5.8,8.298678181906435e-43,0.0175516177602109,0.0030096044936828,5.8,1.3764456191337848,0.46556437323679
6,13.478756,3.8269567,28.235926,33.922333,2.0040698,40.66115,814080.0,0.05,3.7,1.0989250591489319e-40,0.0189429059015876,0.0015050074551751,5.8,1.3764456191337848,0.48422506428149814
7,3.250956,0.78559923,8.05673,47.22165,2.0250542,54.171303,3256320.0,0.04,3.7,5.234013007510543e-54,0.0215963118606178,0.0007525549699048,5.8,1.3764456191337848,0.49295835771665697
8,0.8088338,0.10634949,1.5130719,63.02185,2.5644107,69.12422,13025280.0,0.05,2.1,5.0879811488911914e-39,0.0411346652500044,0.0003762902880576,0.03,2.375891694059907e-61,0.48
