layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,pass_all,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,1696.1896,1517.7839,1889.8536,3.7966003,2.3539422,5.295139,3180.0,0.12,7.0,4.2661232980598314e-13,0.0171994752430511,0.0240303354829301,6.0,0.3693983313525268,0.3318172573061324,0.12,6.99,4.3061393229124633e-13,0.0171471400565871,0.12,6.99,0.0171471400565871,True,6034,32.9434,0.0329918,0.00192536,30.5448,0.0227022,0.0742686,25.2847,0.018571,0.220021,0.30367087
3,546.2667,515.08716,579.0623,3.2724757,2.5554426,4.0806203,12720.0,0.36,1.1,1.6494703979798873,0.0036381112741665,0.0120285145061138,5.9,0.3691529911317785,0.384935847828868,0.37,1.01,2.2737198102659515,0.0035211935176886,0.37,1.01,0.0035211935176886,True,144888,19.2783,0.0262664,4.67518e-08,16.6961,0.008254,0.349594,13.6369,0.0118448,0.0559088,0.99733174
4,154.46246,145.01927,164.26118,3.8167362,3.066599,4.7740974,50880.0,0.59,-0.2,32.24123933457679,0.0054645095040397,0.0060175634983601,5.8,0.3688882625158731,0.4256269165287391,0.589,-0.2,32.04584577435299,0.0054519136331474,0.589,-0.2,0.0054519136331474,True,64395,9.58556,0.0328207,4.72971e-48,8.43087,0.00606585,0.0471163,6.90115,0.00943253,0.00023238,0.096785614
5,35.853176,33.392532,38.4375,5.54113,4.3826737,6.967747,203520.0,0.5,-0.43,5.335611643550207,0.0017118516996493,0.0030096044936828,5.8,0.3688882625158731,0.4559653491472896,0.5,-0.427,5.31054626979392,0.0016145390239825,0.5,-0.427,0.0016145390239825,True,686880,4.24675,0.0379288,7.965329999999999e-255,3.7228,0.0105949,2.8453300000000004e-20,3.00442,0.0136212,3.1434600000000006e-33,0.66301253
6,7.1025486,6.5403814,7.693819,7.751813,5.9277453,10.394491,814080.0,0.35,-0.4,0.1355916480144871,0.0040299999999982,0.0015050074551751,5.8,0.3688882625158731,0.475680204901838,0.355,-0.45,0.1665069870018764,0.004029999999998,0.355,-0.45,0.004029999999998,False,114480,1.67152,0.047234,0.0,1.46435,0.0197457,3.784749999999999e-276,1.17261,0.0217986,0.0,6.5443996e-12
7,1.3205026,1.2043132,1.4459689,10.719652,8.014826,15.655435,3256320.0,0.12,1.2,2.095827363120756e-12,0.0095899999999965,0.0007525549699048,5.8,0.3688882625158731,0.4869489125580178,0.118,1.22,1.0833701178243277e-12,0.0095899999999963,0.118,1.22,0.0095899999999963,False,19080,0.635292,0.0544713,0.0,0.557946,0.0271097,0.0,0.443521,0.0272024,0.0,1.4974313999999995e-260
8,0.21676795,0.19527838,0.2418564,15.263584,9.907603,31.19272,13025280.0,0.12,1.4,2.0481508344570986e-13,0.0295799999999916,0.0003762902880576,0.03,6.367404180480504e-62,0.47362,0.118,1.34,1.293591241020074e-13,0.0295799999999913,0.118,1.34,0.0295799999999913,False,2011,0.245468,0.0546546,0.0,0.213079,0.02958,0.0,0.165991,0.0306981,0.0,0.0
