band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50
12,81898759230420.25,81898759230420.25,58115137194310.06,49422512990562.78,43548353764314.7,39076018626957.33,32730108506957.89,28252060512806.2,24873690361112.44,22183260331367.188,19962613222766.41,15231680677543.568,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.0157532581199461,0.013799061859656212,39076018626957.33,0.013799061859656212,0.013799061859656212,0.013799061859656212,0.013799061859656212,,
13,210013533604388.53,210013533604388.53,195000339313721.97,187003598858785.03,180811850359213.44,175427757988186.22,166354679625949.78,158807957028371.62,152284401036829.25,146520111468752.75,141281190999856.53,128078839744333.1,0.0249738460497954,0.0219846896951769,0.0202425815786569,0.0213084665703031,0.0222533130415469,0.0224560172644723,0.0229120691886446,0.0242248041140304,0.0239016643385661,0.0244523263082529,0.0256785591080444,0.021071664218777264,195000339313721.94,0.021261969226125846,0.02096414998617807,0.020571987377243528,0.020242581578656972,0.01987603073466926,0.02102884730479948
15,459985153498527.2,459985153498527.2,444273632991096.9,434374597242091.0,426378166339279.6,419521867488496.0,407543915920488.06,397204468138103.1,388017211118376.0,379614902145328.5,371819054782442.6,351673225359931.06,0.0198754275358603,0.0193653951170698,0.0208644584378655,0.0217755236502866,0.0211739468924112,0.0217895924124469,0.0233795839228496,0.0224988770143728,0.023689651496578,0.0247704894145439,0.0262192264440094,0.02086314282470396,459985153498527.2,0.021173946892411255,0.021775523650286677,0.020715102480881736,0.019365395117069806,0.018362851226457422,
16,504969806504792.25,504969806504792.25,487168037732004.6,476825713905450.6,468407781547177.4,461143905615866.4,448771324350647.9,438246418869106.2,428947136745095.75,420574482155161.0,412907675523026.7,393009393525081.4,0.0094025356963793,0.0097925118826666,0.0105144483724366,0.0107411250608522,0.0107973997486163,0.0112760668534057,0.0119053048585198,0.0125147772620977,0.0130784673886085,0.0136100128510415,0.0149834872328498,0.01035876836570071,504969806504792.25,0.010404394545593054,0.00976607229424764,0.00979251188266661,0.009142541637978757,,
