layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,20586.305,19258.834,21997.41,4.579431,3.0675697,6.8780694,27208.0,0.013993395045369783,5.9,-1.0,65315.064082950405,0.0,20586.305,0.008227320119627842
3,5586.0537,5083.0166,6169.916,12.162226,6.8231587,25.537256,108832.0,0.13297999999999977,1.4,-1.2,22777.292067498456,0.0,5586.0537,0.004115201248105526
4,1803.6277,1653.4663,1972.1715,9.509389,6.386564,18.200993,333298.0,0.07775999999999977,1.4,-1.2,7354.342922677114,0.0,1803.6277,0.0023519198649528247
5,518.53485,474.7251,568.6128,10.223197,6.527225,26.45209,1149538.0,0.04298999999999975,1.4,-1.2,2114.340527547864,0.0,518.53485,0.0012665428950382307
6,123.44854,112.81135,135.50153,10.628438,6.9884152,22.204712,4251250.0,0.013469313611412903,1.1,-1.2,442.25234531909416,0.0,123.44854,0.000658638529926002
7,26.475042,23.729494,30.003483,18.552206,9.779295,60.4411,17005000.0,0.012729853451409034,1.0,-1.2,80.92947642008463,50.0,24.278843,0.00032932907101302186
8,5.5666294,4.8253117,6.9118633,45.449364,13.917338,216.89389,68020000.0,0.01050313822343825,0.3,-0.9,0.12243750101851711,50.0,4.913289,0.00016466698639267335
9,1.0223536,0.85707086,1.4287201,105.088615,15.796925,464.36914,272080000.0,0.007386213172714581,0.1,1.1,1.2985827534746327e-15,50.0,0.86508065,8.233410583957582e-05
