layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,20586.12,20586.12,19327.277,18633.059,18071.635,17581.818,16734.537,16019.993,15399.413,14845.077,14336.416,13035.737,0.0140794788152375,0.0141919104689522,0.014278534932558,0.014352060141874,0.0144189601943668,0.016706247742331,0.0168308112877864,0.0171532195146245,0.0173727798675969,0.0192709269567725,0.0252302808636202,0.013941257578019894,17581.818,0.014126009499108583,0.014054541007426313,0.01421354692130622,0.014079478815237523,,,,
3,5586.0425,5586.0425,5321.488,5194.312,5091.315,5001.9272,4847.825,4717.371,4601.9976,4497.111,4401.298,4152.5444,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.1330799999999998,0.13307999999999975,5001.9272,0.13307999999999975,0.13307999999999975,0.13307999999999975,0.13307999999999975,,,,
4,1803.6252,1803.6252,1735.3333,1696.4164,1664.5211,1636.6982,1588.4967,1546.7697,1509.8136,1476.3389,1445.3727,1364.6954,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.0777999999999998,0.07779999999999981,,0.07779999999999981,0.07779999999999981,0.07779999999999981,0.07779999999999981,,,,
5,518.5317,518.5317,499.05286,487.94818,478.67917,470.54117,456.46747,444.31622,433.5011,423.71567,414.7201,391.182,0.0430613261369589,0.0430605786190235,0.04306114168036,0.0430607672675557,0.0430604294611647,0.0430605577577699,0.043060564426808,0.0430602957182243,0.043060204388354,0.0430600611426038,0.0430598685696778,0.04309244388848693,387.65945,0.04309256227279257,0.04309268212711498,0.04305979370924973,0.04305986856967786,0.043059907189475555,0.04306005061138912,0.04306024213807169,0.04306043680554589
6,123.44841,123.44841,118.56324,115.73597,113.42043,111.400955,107.93657,104.980225,102.35375,99.9736,97.78872,92.085335,0.0135473639580872,0.0140386007627441,0.0135805337157945,0.0135042128713689,0.0138838013088962,0.013839620312722,0.0135941894820659,0.0138215470235847,0.0139715307992873,0.0140595480074174,0.0140578756981921,0.013034824032254144,123.44841,0.012298067373353816,0.012324137053019713,0.012072615774992135,0.012381580671230186,0.012054754877155904,0.011546460676330972,0.010978678032022404,
7,26.474886,26.474886,25.031025,24.27836,23.67559,23.159367,22.285318,21.546915,20.89956,20.31877,19.789452,18.425821,0.0127488304474915,0.0132469692760749,0.0128351545032338,0.0127691257276198,0.012964128826197,0.0126804945733105,0.0128158362729258,0.0126844450768053,0.0127592257229554,0.0126244695736059,0.0127289325574713,0.011892964744337542,19.540949,0.012064476373163546,0.012292808467205457,0.011547966664637976,0.011614351517805654,0.011973211255224214,0.011984572903874668,0.011995890210672933,0.012397882129890125
8,5.566022,5.566022,5.1135254,4.9127445,4.756459,4.6252413,4.408093,4.2288737,4.074505,3.9380305,3.8153346,3.5056272,0.0151805468180764,0.0123936947777778,0.0123935672227725,0.0123934623945249,0.0137889634493828,0.0132788872450371,0.012392191981205,0.0125478149802175,0.0138990277353591,0.0155435332711225,0.0170384951138816,0.012391443653863021,4.408093,0.012391225212073254,0.012391301109316522,0.012392117290598303,0.012392191981205003,0.012392270080444523,0.012391006007406058,0.012391108841767084,0.012393381187249752
9,1.0218027,1.0218027,0.9051776,0.8645444,0.8339752,0.80877584,0.7678166,0.7346373,0.7064321,0.681747,0.6597257,0.60480857,0.0253356768016989,0.0253339633455286,0.0253338231143097,0.0253352146677537,0.025335140690327,0.025334525103851,0.0253344028346129,0.0253342921911866,0.0253341897742593,0.0253295864116933,0.0253297555814858,0.025329524760448918,0.7064321,0.025329496854945566,0.02532950143626722,0.025329505029830113,0.025329507700730503,0.02532946662081792,0.025329465594761902,0.02532946377734202,0.0253294613614653
