layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50
2,9030.142,9030.142,7243.063,6259.1797,5570.3687,5043.493,4239.863,3640.5461,3165.808,2771.7747,2439.6116,1687.8586,0.0201487692960844,0.0210092519295168,0.0266215457785824,0.0337159100913694,0.0409821355442446,0.0556264908381043,0.069595862103128,0.0815891847605545,0.0932200475123493,0.1037543777133448,0.1343350500696846,0.04940140277554628,0.040493919707152326,0.03130793959478462,0.024477667098953715,0.019805085878863926,9030.142,,
3,2435.9912,2435.9912,2219.699,2088.8438,1984.0472,1896.563,1747.9667,1622.8595,1516.8015,1424.9323,1345.1565,1150.3207,0.0067982775644476,0.0089937659087514,0.0107630132883953,0.0126729037096607,0.0143389354837456,0.0179515426299448,0.0217031305841719,0.0254626979931841,0.0289395077659373,0.0320522655597043,0.0415847016342452,0.016071533982500052,0.013965706846423953,0.011387295637598438,0.008606917261644309,0.006008940982697941,2435.9912,,
4,738.67975,738.67975,709.77234,689.79144,672.9043,658.0404,632.6214,610.9962,591.78,574.2819,558.1872,515.92755,0.0064980473644218,0.0063695921874125,0.0065536052476716,0.0067709880241962,0.0067408709263966,0.0068370780299964,0.0071724396990555,0.0080231145747196,0.0088810349829025,0.0096962723579968,0.0121018376530903,0.006249477670969117,0.0061047775713874985,0.006140608000974879,0.006227712719513667,0.005964811309683848,709.77234,0.0062802810450204305,
5,198.20007,198.20007,192.26874,187.96745,184.32938,181.10275,175.40813,170.33192,165.75577,161.57945,157.71744,147.57532,0.0121291895974825,0.0121185753768034,0.0121125340562125,0.0121370880501577,0.012219027079947,0.0122072741013518,0.0121963051485615,0.0121859885712503,0.0121761940320845,0.0121667931095796,0.0121403743985558,0.012110089886265829,0.012110416605824625,0.012110852077515222,0.01211150427540686,0.011999999999999955,187.96745,0.011999999999999955,0.011999999999999955
6,49.50636,49.50636,47.976208,46.824604,45.829987,44.935833,43.35114,41.957977,40.708935,39.570595,38.52212,35.783867,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.0324599999999998,0.03245999999999982,0.03245999999999982,0.03245999999999982,0.03245999999999982,0.03245999999999982,,,
7,11.688205,11.688205,11.305162,11.011557,10.755934,10.525291,10.116488,9.758213,9.437524,9.14525,8.876126,8.176299,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.0676599999999997,0.06765999999999972,0.06765999999999972,0.06765999999999972,0.06765999999999972,0.06765999999999972,,,
8,2.688385,2.688385,2.5919654,2.5197067,2.4571269,2.4009395,2.3017724,2.2153323,2.1382565,2.0683284,2.0041578,1.8378687,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,0.1122599999999998,,,
9,0.6605228,0.6605228,0.63462853,0.61541367,0.598954,0.584297,0.55870724,0.53661644,0.5170406,0.4993945,0.4833002,0.4419531,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.1603599999999997,0.16035999999999978,0.16035999999999978,0.16035999999999978,0.16035999999999978,0.16035999999999978,,,
10,0.19276091,0.19276091,0.18503201,0.17923193,0.17430356,0.16995396,0.16245012,0.1560684,0.15048324,0.14549986,0.14099365,0.1295731,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.2106399999999998,0.21063999999999983,0.21063999999999983,0.21063999999999983,0.21063999999999983,0.21063999999999983,,,
