layer,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,27208.0,2.4,-1.0,0.0146665201581814,0.0,2.4,-1.0,52411.34832252356,0.0146665201581814,0.0,8607
3,108832.0,1.4,-1.2,0.1319399999999997,0.0,1.4,-1.2,18101.488034446375,0.1319399999999997,0.0,106
4,333298.0,1.4,-1.2,0.0750099999999998,0.0,1.4,-1.2,5606.989150025182,0.0750099999999998,0.0,325
5,1149538.0,6.0,-1.3,0.0396699999999998,0.0,6.0,-1.3,2458.9969387490046,0.0396699999999998,0.0,1122
6,4251250.0,1.3,-1.2,0.0135219951168569,50.0,1.3,-1.2,319.3260542383747,0.0135219951168569,50.0,10507
7,17005000.0,1.1,-1.2,0.013225730678897,25.0,1.1,-1.2,61.646930990220376,0.013225730678897,25.0,10507
8,68020000.0,0.3,-0.9,0.0106007915636701,0.0,0.3,-0.9,0.0955322950914367,0.0106007915636701,0.0,16606
9,272080000.0,0.1,1.2,0.0064508855175569,25.0,0.1,1.2,6.738922312793928e-16,0.0064508855175569,25.0,44883
