band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,7225280.0,0.3,-0.9,0.0048097380494088,100.0,0.35,-1.0,6.54168994436927,0.0022132626523175825,75.0,381019
3,7225280.0,0.5,-1.1,0.0037861828838489,200.0,0.4,-1.05,5.848411380243463,0.0022360146345744604,100.0,381019
4,7225280.0,0.4,-1.1,0.0057737822473822,300.0,0.37,-1.1,2.756690151355346,0.004318869510758938,200.0,95253
5,28901120.0,0.2,-0.9,0.0053882364504587,100.0,0.12,-0.5,1.0863660774350965e-08,0.0032459527764570617,25.0,169342
6,14450560.0,0.2,-0.8,0.0049459720615014,200.0,0.15,-0.6,1.1265072989532078e-06,0.004359105995127899,100.0,95253
7,14450560.0,0.1,0.0,0.0041843452170776,50.0,0.12,-0.3,2.334654701487976e-10,0.002849334764244201,50.0,225790
8,14450560.0,0.1,0.1,0.003278640495898,100.0,0.08,0.5,5.868366414434239e-20,0.003022125005201593,75.0,203436
9,14676350.0,0.2,-0.9,0.0080099999996078,200.0,0.32,-1.1,0.006803390955743851,0.00800999999885188,275.0,28664
