layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,best_augmented_var
2,18678.723,18678.723,17565.822,16957.363,16471.984,16041.399,15295.385,14656.141,14094.217,13593.181,13134.926,11956.498,0.0127480418322642,0.0127349880666506,0.0127309969470209,0.0134838936577811,0.0153259847427882,0.019180036081254848,0.01753083395569721,0.015780684638035725,0.013929042991197793,0.012730996947021012,0.01319684680302785,0.014014434590787384,
3,5005.067,5005.067,4770.616,4658.637,4570.6743,4493.9844,4361.8784,4248.3086,4147.1416,4055.4966,3971.1729,3752.007,0.1323999999999998,0.1323999999999998,0.1323999999999998,,,0.13239999999999974,0.13239999999999974,0.13239999999999974,0.13239999999999974,0.13239999999999974,,,4493.9844
4,1581.1704,1581.1704,1521.7029,1487.6619,1460.0183,1436.2465,1395.2141,1359.5892,1327.8501,1298.9106,1272.2305,1202.5851,0.0770699999999998,0.0770699999999998,0.0770699999999998,,,0.07706999999999975,0.07706999999999975,0.07706999999999975,0.07706999999999975,0.07706999999999975,,,1436.2465
5,447.84973,447.84973,430.67282,421.0893,413.16934,406.2576,394.32312,384.0228,374.8316,366.50262,358.85974,338.83206,0.0420999999999998,0.0420999999999998,0.0420999999999998,,,0.04209999999999986,0.04209999999999986,0.04209999999999986,0.04209999999999986,0.04209999999999986,,,
6,107.28208,107.28208,102.99364,100.544815,98.537506,96.79901,93.83081,91.29474,89.04701,87.01009,85.14024,80.25742,0.0139617219777692,0.0141928428532618,0.0145183950700539,,,0.014088562814388417,0.01315712092952026,0.012906647320128917,0.012659407986814863,0.01258762736286334,,,107.28208
7,23.56364,23.56364,22.28209,21.620451,21.091352,20.639252,19.873951,19.226952,18.660006,18.151539,17.688038,16.492636,0.0133693754461385,0.0129989543437318,0.0131732950559306,0.0133850662967374,,0.011884100810251763,0.011725437997503585,0.012010188328296784,0.01159039794994765,0.012410000652387398,0.012207113468033937,,21.620451
8,5.004115,5.004115,4.623251,4.4459376,4.3078346,4.1918106,3.9995525,3.84083,3.7038853,3.5827134,3.4736652,3.197922,0.0126037290980055,0.0099469138436397,0.0120486736341754,0.0137672726699626,,0.011931440092182943,0.01127616326553671,0.011366601107021493,0.010784720001113746,0.009946913843639743,0.0100121189507002,,
9,0.92616224,0.92616224,0.8224742,0.7864261,0.7592628,0.73685277,0.7003785,0.6707932,0.6456136,0.62355775,0.60386,0.55463177,0.0092846285125274,0.0071108046969536,0.0069029725403642,0.0082675283750178,0.0087354651189523,0.009057544197852194,0.008685433668038992,0.007996797514693912,0.00729006678209683,0.0069029725403642606,0.0071108046969536876,0.007653357694290874,
