band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,1177774300.0,1177774300.0,1149718100.0,1129414800.0,1111565400.0,1095232600.0,1065668400.0,1039042100.0,1014627300.0,991908860.0,970553100.0,912823940.0,0.0331606316966267,0.0333121399875147,0.0323954377333863,0.0328102482827992,0.0333545460783343,0.0343627961282481,0.0352966998300666,0.0349227856459557,0.0348287868037542,0.0356296629618445,0.0368539110587311,0.032055471086152476,1177774300.0,0.03235363427550864,0.031836382340760694,0.032339935212984394,0.03236780367451897,0.03171104371641564,0.031579670828362216,,
5,2880509200.0,2880509200.0,2844121000.0,2813727500.0,2786255400.0,2760732200.0,2713779500.0,2670843400.0,2630926300.0,2593444600.0,2557988600.0,2461038000.0,0.0272189563809768,0.0271297220026585,0.0268984756793537,0.0276123644510539,0.0282789727362922,0.0277472237604564,0.0288717255996682,0.0286950240115319,0.0293717415103296,0.0295973620677472,0.0303527871220078,0.027747223760456408,2813727500.0,0.02778902780245436,0.027600436147668314,0.026930827740918845,0.026680361867576274,0.026850803483569385,0.026698351293871395,,
8,1827356300.0,1827356300.0,1802211500.0,1780453400.0,1760713100.0,1742526700.0,1709589000.0,1679980800.0,1652821100.0,1627573200.0,1603862000.0,1539612500.0,0.0196165897613573,0.0206513596603198,0.0208070854971252,0.0205596997722137,0.0213472267922082,0.0213482438643222,0.0224447520615358,0.0221746795559858,0.0231779917146082,0.0230722144149966,0.0243235300603759,0.020209040332050954,1827356300.0,0.020559699772213738,0.020494661301241113,0.01967174239050498,0.01944661152361704,,,,
11,1390923600.0,1390923600.0,1376875000.0,1364519800.0,1353003400.0,1342072300.0,1321519900.0,1302300300.0,1284120000.0,1266798600.0,1250205200.0,1203955000.0,0.0296690489156035,0.0302815947880329,0.030164221205859,0.029806003804242,0.0295788357024006,0.0305036459636194,0.0313853869120609,0.031794710509968,0.0312166965141088,0.0318914984191054,0.0328727784729306,0.030694915058227634,1376875000.0,0.030948089313436428,0.030503645963619486,0.030048059622970205,0.02957883570240065,0.02909967752848197,0.028823442938000765,0.028283361003377916,0.028647331166881784
14,292119680.0,292119680.0,284536160.0,278533660.0,273232300.0,268397120.0,259711000.0,251973740.0,244942940.0,238472850.0,232461680.0,216551580.0,0.0192820825859585,0.0182556222171689,0.0179148443170505,0.0189657609964063,0.0199405875641153,0.0217458963852169,0.0216575888396205,0.020951680015714,0.022410544534838,0.02380488699501,0.024377088466147,0.01929264053644264,292119680.0,0.019172611142173612,0.01861879551851396,0.017643361581944905,0.017338395217740943,0.017388483665202736,0.01667197286029276,,
18,54150656.0,54150656.0,52338788.0,51169776.0,50199990.0,49352390.0,47893716.0,46645412.0,45542732.0,44548050.0,43637184.0,41264096.0,0.0149949051459708,0.0166346304394013,0.0159433506594902,0.0167428323623273,0.0176802500082963,0.0179923006502854,0.0187204292308168,0.0200305171288063,0.0194789139359751,0.0206053814227021,0.0221288455218074,0.015633450786653513,54150656.0,0.01474802149771852,0.01479448088550811,0.013563209991225456,0.013362801092509216,,,,
21,23956060.0,23956060.0,22716258.0,21948830.0,21330052.0,20801738.0,19919444.0,19190692.0,18565284.0,18013468.0,17515718.0,16246266.0,0.0111610149248436,0.0123736226167672,0.0141096621738888,0.015599177096196,0.015100040640016,0.015043455742336,0.0168486253862908,0.0185038055730992,0.0176371355923763,0.018267318303644,0.0206741028631592,0.011743679053044229,23956060.0,0.01059756490203162,0.011017053204026017,0.0094067694509829,0.008894604654946403,,,,
24,18260452.0,18260452.0,17169760.0,16359667.0,15672725.0,15067948.0,14030691.0,13155991.0,12398347.0,11730008.0,11132799.0,9658326.0,0.0096608758723041,0.0097988724762684,0.0096607343766903,0.0105838761823341,0.0114632553552143,0.0131568457705552,0.0147793233650412,0.0163678462407145,0.0155510867856371,0.0129156159768897,0.0150538643572883,0.008325668755887194,16359667.0,0.008206508914796965,0.008413432928352282,0.008502320207311953,0.0077661693556248385,0.007903157767300772,0.008086332118909502,,
27,8273984.0,8273984.0,7668714.0,7220857.0,6844647.5,6516590.5,5960229.0,5497548.0,5101794.0,4757081.0,4452586.0,3714665.2,0.0161323775376458,0.015928023115634,0.0154175713858031,0.0148108461534641,0.0155249147409712,0.0153266739972969,0.0157583591276609,0.0168518998284455,0.0166345247471896,0.0163621856766134,0.0141687155014075,0.012554514248732218,4055516.5,0.012277435639524437,0.01231811212769196,0.012359333446477327,0.012401600634066812,0.012444273683379303,0.01248744138568092,0.012186908646813321,0.012232329240732476
31,240011.61,240011.61,211645.3,195275.67,182150.05,171086.05,153130.58,138904.36,127189.51,117295.94,108786.86,88968.97,0.0385522835211736,0.0383569057775291,0.0382339292759265,0.0381373793082778,0.0380493277780397,0.037898181918974,0.0377684246416927,0.0381349894350616,0.0380239375069082,0.0379237188842924,0.0376684738620474,0.03386918273855033,79009.81,0.03386918273855033,0.03386918273855033,0.03386918273855033,0.03386918273855033,0.03386918273855033,0.03386918273855033,0.03386918273855033,0.03386918273855033
