filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
11,9.606609,9.606609,4.572536,3.623269,3.0296507,0.0246791191897985,0.0091429712684019,0.0045558849506498,0.0034965803687864,0.005443838722058336,0.00495826524572213,0.004490312607671864,0.003969975323226304,0.0034455928591021756,0.002938668403708933,0.002415053351059848,0.002992487465723559,0.003751592916235419,3.2466807
12,3.2386072,3.2386072,1.5622691,1.220499,0.95698404,0.0290764844917953,0.0145321340275013,0.0082383172033254,0.0028441432119177,0.00446387148462374,0.0040095528509011165,0.003574917383747673,0.003175302059542367,0.0028044747386528623,0.003962918722020314,0.004905112864159622,0.0057566892192145724,0.007680822515427663,0.95698404
13,0.6287056,0.6287056,0.33229715,0.2864933,0.24573217,0.0197012913446379,0.0078476048811968,0.0053443921077376,0.0048229601842907,0.0066489624139915715,0.006194279046814036,0.00583960638067571,0.005346802783534166,0.004809655161962412,0.004214318925390759,0.003828876322696073,0.004341929392853328,0.003952399466697176,0.26205513
14,36.486637,36.486637,28.177057,26.038227,23.603893,0.0082568309555846,0.0014514892883913,0.0015877084328151,0.0030291851687946,0.0026985137626347327,0.00203093401829447,0.0015877084328151693,0.00119150426583281,0.0013509554028307003,0.003021627994006598,0.007660618650531581,,,26.964857
15,39.038853,39.038853,17.57403,15.786083,14.111277,0.0215648889560998,0.0025973018119607,0.0019388957500224,0.0028907928382588,0.004108204971920881,0.0033418789239165747,0.00257655556065417,0.002008526863085225,0.001938895750022429,0.0016991143035380851,0.0024721506299077295,0.004863892873194886,0.019069545035297675,16.503426
16,48.493725,48.493725,16.019567,13.513224,11.621897,0.0299472669153131,0.0060605510362529,0.0024784981902773,0.0026457600121589,0.002677480011693101,0.0022833446319942504,0.002046361326912515,0.0018332029116466808,0.001593773030082235,0.0034447045971159745,0.005552323771841894,0.012973147667975138,0.026038005102284822,13.513224
17,21.717463,21.717463,6.9414563,5.7872305,5.05142,0.0303240423721201,0.0056930900765643,0.0019047248672517,0.0033700885660791,0.003941299272940069,0.003353831739706048,0.0025957118200991246,0.0020092985584359013,0.0016280689250152136,0.002052327357780978,0.004720441475867865,0.010106516663718437,0.02572856336403606,5.7872305
18,4.027817,4.027817,1.9672694,1.7501376,1.5376682,0.0219828636540423,0.006283948256451,0.004159525375075,0.004147405786374,0.006007986487139478,0.005473902724750235,0.005104705855316874,0.004603804298147052,0.00407926975245132,0.0035935273997141914,0.003097024810765056,0.0027406403763134413,0.003919786017966942,1.6819917
19,1.076275,1.076275,0.49258777,0.4149428,0.34272835,0.0287102697337332,0.0130376942037154,0.0095820795056859,0.006181056819461,0.005804121186839317,0.0054082351040629535,0.0055206923888951875,0.005554660016008656,0.005811866583667502,0.006457874883722181,0.0073841331148533085,0.008683285649981914,0.00947761516261747,0.31235462
20,0.28135923,0.28135923,0.104716614,0.09032301,0.077406354,0.0317107756890506,0.0128632869543101,0.0102423859094826,0.0079514944659811,0.006426682217656632,0.006099578425746044,0.006566803221158296,0.006425656359533405,0.006849560368376029,0.007861593839828651,0.007825527840627067,0.008876578621429765,0.009797640735200397,0.07154889
21,101.62851,101.62851,48.977257,40.1568,32.771423,0.026870350758322,0.0113112795632575,0.0059626042556595,0.0027269195718757,0.003996169161212038,0.00359451875068284,0.003259704806961583,0.0029542954322911985,0.0026759001460288224,0.002424016342223792,0.0026809648655146123,0.0042191328154856655,0.0053671811298237615,34.050556
22,33.638905,33.638905,17.974392,16.151272,14.413549,0.0187892705108401,0.0034398627378715,0.0014474828052921,0.002962226930796,0.0033912321692784117,0.002762409107698205,0.0021900544826578897,0.001774316517262342,0.0014474828052921662,0.0014362574971240744,0.0032546336875440424,0.0056676340012845605,0.017497036871190752,16.893223
23,50.23436,50.23436,13.234172,11.344837,9.894793,0.0327397930385073,0.0035810712603223,0.0012761176584265,0.0029270285202286,0.004419961088275137,0.003642970819791369,0.0027482283928882134,0.0019059434956768054,0.001276117658426501,0.0011707977472567022,0.0032038201397399935,0.007084235187621246,0.027526445574502185,12.0704565
24,7.6293087,7.6293087,6.516046,6.057009,5.4521937,0.0072494324756835,0.0038243450963477,0.002324342563442,0.00374142960429,0.004106606637198688,0.0036463224963659106,0.0032296662786762687,0.0027532335351362694,0.002282037648547222,0.0020823752862068057,0.0032575835630265226,0.004221610186155633,0.006033506744191897,6.2648187
25,2.8048594,2.8048594,2.1932862,2.0294263,1.8319983,0.0093985227069356,0.0047934973300653,0.0033145862252985,0.0051359947369759,0.004964365845449889,0.004500376659549724,0.004094788155880824,0.003562466220838889,0.0031269608835685636,0.0031720754618195512,0.004415915924701697,0.005069838238948993,0.008444899539193348,2.0294263
26,1.6920822,1.6920822,0.65733826,0.5368033,0.45947406,0.0268672572419846,0.0083822557228547,0.0049062921244755,0.0054212928222242,0.0051359900885609155,0.0045580123035889875,0.003949054229780376,0.0041746148792746185,0.004906292124475575,0.006100547596419759,0.008382255722854781,0.011297792635934112,0.022039025442552332,0.48892242
27,0.19155832,0.19155832,0.08981327,0.08206381,0.07293956,0.0228978658352307,0.0094108494689736,0.0078227583755066,0.0059459131897406,0.006537584760235249,0.006238408556793806,0.005904857307298839,0.005421417407171614,0.005366289716809913,0.005728432242243897,0.006714207251443116,0.007501905434750045,0.007822758375506611,0.07293956
28,64.19461,64.19461,34.87731,31.223244,27.575766,0.0176207682724425,0.0028843554741888,0.0021382188933354,0.0028047652093511,0.003586967365804994,0.003096449085510933,0.002552246597035235,0.0024699094222354057,0.002082481594294805,0.002013297708712225,0.00288435547418886,0.005119124209295833,0.016301567734402708,32.75432
29,34.89332,34.89332,17.448177,15.212208,13.306923,0.0224717957248308,0.0053762462085421,0.001437717880221,0.0026386782304771,0.002870977722225554,0.0022892459618777394,0.001937276942404642,0.001661204919142678,0.0014377178802210677,0.002618713930972301,0.00464131662729228,0.008308048364332223,0.01988419951901948,
30,29.146175,29.146175,13.702305,11.995611,10.472125,0.0208360913427781,0.0048591104006373,0.0021754783537923,0.0034067178778758,0.0036469105172158844,0.003137276538188294,0.002654836745235095,0.002123924087260807,0.0016296357388503324,0.002755192480663124,0.004615945305906005,0.007604339933194981,0.018774677000452544,11.995611
31,7.5720377,7.5720377,6.4987307,6.034707,5.4333816,0.0065863067253641,0.0035914777778253,0.0025708923063505,0.0040861889495625,0.004538955434525909,0.004057018278976414,0.0036270400650268986,0.003081750422466698,0.002522705925234958,0.0020479918106340866,0.00302256970952941,0.0034648112430185063,0.005357390615505886,6.2458143
32,3.5108461,3.5108461,1.9660704,1.6608477,1.3826671,0.0250546869730569,0.0131017638791549,0.0087195905760455,0.0050723765269382,0.005150184029436566,0.0047226618666856846,0.004315581022167609,0.004479164746237663,0.00484102059313285,0.005317679300827022,0.006573089555590134,0.007897174424250974,0.008620028700493512,1.2998627
33,1.0570555,1.0570555,0.5418331,0.43289763,0.35211,0.0263945725565908,0.0151073367382556,0.0114090040278866,0.0068389639877269,0.006508482586004671,0.0061231749143944025,0.005832824194259567,0.00576937471605532,0.006838963987726987,0.007905296136264228,0.008462498636796933,0.009235898909372237,0.00998214193828384,0.3402142
34,0.111937195,0.111937195,0.05356659,0.048759688,0.042935256,0.0262779032524903,0.0141820593583059,0.0134267224383522,0.0110818486517518,0.009280338008265443,0.008889785364760039,0.009121273467632252,0.009826714309764006,0.009686316581067889,0.01068356955652694,0.01093330428904149,0.01160773438649998,0.012921160656813535,0.039886214
35,89.84374,89.84374,36.989754,31.458347,27.043097,0.0272719672970849,0.0081013738734192,0.0038727856507906,0.0029493574108973,0.004293268720180321,0.00396677796582837,0.003616852810774729,0.0032563284056617015,0.0029247393221925044,0.0029375078284291645,0.003199167940565961,0.00413573515925636,0.005020782113361211,27.043097
36,44.407967,44.407967,18.489384,15.454541,13.339587,0.0260092839392827,0.0064640030818564,0.0020552634371946,0.0027056872896641,0.00304134177992834,0.0023984690910428333,0.002195620291365219,0.001827448482081051,0.002055263437194643,0.003339868210210137,0.006047420263349701,0.01053828928682321,0.023894637381975614,14.698003
37,43.91499,43.91499,13.728501,11.940483,10.411578,0.0311276428212758,0.0068828035877785,0.0039590229266496,0.0035994154597955,0.005073712391882496,0.004703182721652479,0.004323381373460222,0.0039299733943395365,0.003569633684780693,0.003209771140447737,0.002851389607041825,0.0031338616567607724,0.0037783284985826726,11.029684
38,43.7685,43.7685,7.7764325,6.6423783,5.626345,0.0402174686844075,0.0091201272230537,0.0063031784040071,0.0033853345793137,0.004804236192547329,0.004443360342447926,0.004054841625571817,0.0037159024114713814,0.003346702519369117,0.0030241314004036957,0.0035153321033866702,0.004842692496918877,0.00511032973589598,5.8190823
39,4.964073,4.964073,3.1869617,2.6828086,2.140267,0.0232811675744017,0.0145271727927599,0.0117727437110708,0.0065451730082695,0.004636647252372117,0.004929672459749068,0.005428545854471473,0.005884293336868851,0.006545173008269511,0.007441818083157636,0.00800767273426839,0.008457386958427071,0.010401102080975708,1.851744
40,1.3922533,1.3922533,0.5249027,0.44492626,0.372311,0.0304290868141417,0.0138274993455859,0.0094805366382916,0.0061774380087221,0.006289931504688262,0.005916330293389227,0.0057114063038837815,0.005649954881467301,0.006177438008722169,0.007122987054837604,0.007244092965973503,0.007696906355617594,0.008417134664725823,0.36048028
41,0.16450445,0.16450445,0.064126335,0.057842165,0.050704,0.0300020329830216,0.0128003619174148,0.0120774185821498,0.0092948180860225,0.00805639831155791,0.007806643987828821,0.008019714470687611,0.008459736529296435,0.008564829574204014,0.00953747827550988,0.009069853258141969,0.010114725230348065,0.011298026392782518,0.047069527
