filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
0,105.02209,105.02209,49.09932,38.22013,30.302052,0.0312264725149524,0.0140692754611823,0.0084739212640398,0.0026990619022554,0.00380968809287896,0.0035022254038837566,0.003218303120232746,0.002957228584903037,0.0026990619022554396,0.0031435301023866186,0.004151677579208979,0.005621044277732357,0.007455369636191228,
1,38.57423,38.57423,20.515024,17.732866,15.469657,0.0195504191042219,0.005116802112394,0.0015653847159696,0.0027332310276083,0.0031319728657263485,0.002465330093558704,0.002042837524449337,0.0019056362834132257,0.001504427760643079,0.0025572583500300117,0.004442088673038691,0.007807987896470317,0.017825165108436125,17.732866
2,30.087484,30.087484,13.151334,10.952781,9.683129,0.0236977584227086,0.0041098606639545,0.0018328198307472,0.0029500068750497,0.004849637829357212,0.004066839091554718,0.003548140679615064,0.002453909752875627,0.0017886347206400588,0.0016104211732369533,0.0033213871953863064,0.009376226066123233,0.02068476655379664,11.645987
3,24.735935,24.735935,8.467772,6.2727256,5.206313,0.0337732833935413,0.0119033473580166,0.0037826826817038,0.0025982945549073,0.004642408563529536,0.003940173529374369,0.0033368773009874175,0.0029084133538667123,0.0025982945549073433,0.002348080209821322,0.0021009077911441354,0.0024573171922604997,0.0035590596359337395,5.611294
4,7.208369,7.208369,2.7925894,2.1624482,1.809404,0.0303447966278853,0.0110678383768777,0.0062240188130162,0.0037531313596047,0.00553432954568794,0.005096836164645676,0.004650504425235288,0.004211740149770139,0.0037090319851434145,0.0032208182849998643,0.0033394117863375095,0.004168069334408553,0.005075121405352143,1.8656396
5,1.0653625,1.0653625,0.5325101,0.45778918,0.3930207,0.0231531520991831,0.009092399915525,0.0060300165683244,0.0036491343015713,0.005240821089129932,0.004839408220177343,0.004450949748716515,0.004037575527600586,0.003611686588490426,0.0032104009208142603,0.0036324601955116664,0.004163929288591939,0.0058051212794222595,0.4053063
6,0.619021,0.619021,0.31739166,0.28180093,0.24535078,0.0213501250420182,0.0090616833567526,0.0059562425059256,0.0045803426087419,0.0062098127242854705,0.005806583691708389,0.005324791186075824,0.004947616658100586,0.004492561869322512,0.004231202206812057,0.005259418285112838,0.005462765866596164,0.005233339866635323,0.2525914
7,114.91566,114.91566,49.678226,42.15077,35.70558,0.0278879985470164,0.0093819185851651,0.0046389952837322,0.0028619512892254,0.004487994951379748,0.004052896937151121,0.003603704903205206,0.003193279817184893,0.0028619512892254203,0.0025120973776598604,0.002172460073338267,0.002924364722115602,0.0043994118984410635,38.227554
8,62.611774,62.611774,31.262253,25.571604,20.639376,0.0266175467720057,0.0107543409310377,0.0058129979989582,0.0025309154716277,0.00403937622791934,0.0034492001848347945,0.002997147459098959,0.0027339372276656837,0.0025309154716277593,0.002338125490494847,0.002129667412419011,0.0038782310029083777,0.005036487392896916,22.55533
9,22.525793,22.525793,14.469049,13.029206,11.456246,0.0165148155331337,0.0053868217007682,0.0024719224839302,0.0029674770323886,0.0030208595986972453,0.0026438723859233404,0.0023184982552022252,0.001987482605318447,0.0024719224839302445,0.003246553156048909,0.005009777167624754,0.006900143377354756,0.01462717760817342,12.536136
10,34.97532,34.97532,13.043616,9.144784,6.9792433,0.033026183594322,0.0143093477404444,0.0051150826519056,0.002466231100911,0.005527228493713572,0.004836272836951094,0.0040863450478172,0.003350201684734433,0.0024662311009110427,0.0020590855446906975,0.001830288591374372,0.002677838140948574,0.004626179272788411,7.7123375
