index,wave_number,aspect_ratio,frequency
1,2,0.5,0.001
2,2,0.5,0.002
3,2,0.5,0.003
4,2,0.5,0.004
5,2,0.5,0.005
6,2,0.5,0.009
7,2,0.5,0.014
8,2,0.5,0.022
9,2,0.5,0.034
10,2,0.5,0.054
11,2,0.5,0.084
12,2,0.5,0.132
13,2,0.5,0.205
14,2,0.5,0.32
15,2,0.5,0.5
16,2,1,0.001
17,2,1,0.002
18,2,1,0.003
19,2,1,0.004
20,2,1,0.005
21,2,1,0.009
22,2,1,0.014
23,2,1,0.022
24,2,1,0.034
25,2,1,0.054
26,2,1,0.084
27,2,1,0.132
28,2,1,0.205
29,2,1,0.32
30,2,1,0.5
31,3,0.5,0.001
32,3,0.5,0.002
33,3,0.5,0.003
34,3,0.5,0.004
35,3,0.5,0.005
36,3,0.5,0.009
37,3,0.5,0.014
38,3,0.5,0.022
39,3,0.5,0.034
40,3,0.5,0.054
41,3,0.5,0.084
42,3,0.5,0.132
43,3,0.5,0.205
44,3,0.5,0.32
45,3,0.5,0.5
46,3,1,0.001
47,3,1,0.002
48,3,1,0.003
49,3,1,0.004
50,3,1,0.005
51,3,1,0.009
52,3,1,0.014
53,3,1,0.022
54,3,1,0.034
55,3,1,0.054
56,3,1,0.084
57,3,1,0.132
58,3,1,0.205
59,3,1,0.32
60,3,1,0.5
61,4,0.5,0.001
62,4,0.5,0.002
63,4,0.5,0.003
64,4,0.5,0.004
65,4,0.5,0.005
66,4,0.5,0.009
67,4,0.5,0.014
68,4,0.5,0.022
69,4,0.5,0.034
70,4,0.5,0.054
71,4,0.5,0.084
72,4,0.5,0.132
73,4,0.5,0.205
74,4,0.5,0.32
75,4,0.5,0.5
76,4,1,0.001
77,4,1,0.002
78,4,1,0.003
79,4,1,0.004
80,4,1,0.005
81,4,1,0.009
82,4,1,0.014
83,4,1,0.022
84,4,1,0.034
85,4,1,0.054
86,4,1,0.084
87,4,1,0.132
88,4,1,0.205
89,4,1,0.32
90,4,1,0.5
