band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,232.90454,162.11453,339.1701,41.432636,3.8111916,67.74964,1936.0
7,411.60992,362.87738,468.11087,12.073417,6.8569956,20.417501,5808.0
11,25.455986,13.670766,45.623543,121.32997,18.839497,191.87726,1936.0
16,26.201517,19.135315,35.715782,56.64782,18.11463,87.31862,3872.0
20,97.35567,77.18977,124.084015,15.014645,3.2387779,24.531052,1936.0
23,9.735077,7.354701,12.54041,39.059242,26.552275,51.53159,3872.0
26,12.941311,9.822509,16.96417,54.67561,22.441498,81.43293,4840.0
29,152.03807,134.32904,171.3986,15.353937,11.14488,19.546694,7744.0
32,4.6955585,3.6371517,6.0389977,45.400753,20.940344,68.9964,4840.0
35,7.1557374,5.607568,9.320236,57.182716,13.195077,99.45977,5808.0
38,69.772705,60.47646,80.73282,19.48745,11.611683,28.392937,6776.0
41,97.09404,84.69685,110.857445,24.575432,17.568161,32.627636,9680.0
44,1.9368098,1.5603001,2.4155622,26.372587,10.58912,43.02039,3872.0
47,1.7432816,1.4507148,2.1093082,29.025627,12.628968,50.816208,5808.0
50,1.3662819,1.1308482,1.6708695,32.299706,11.631307,56.695156,5808.0
53,0.7821364,0.66272783,0.92478436,14.4364605,5.9437513,21.820505,3872.0
56,0.55372274,0.47528943,0.64314735,8.02688,4.711393,11.836911,2904.0
59,0.42981556,0.3813053,0.48441482,6.4300575,3.9294448,8.747514,3872.0
62,0.37438095,0.32671028,0.42737356,8.66083,5.3595943,12.158939,3872.0
