filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
26,"(3.0, 1.0, 0.306)",378.0453,234.21837,628.02026,41.498684,12.359602,164.8259,65536000.0,"(3.0, 1.0, 0.306)",0.0050978532346684,0.2,-0.8,0.0770618704212453,50.0,344.2458801269531,0.0001677585889693,0.0042563403206886,0.2,-0.81,0.0856203809267167,25.0,102514,5.58581,0.0750837,0.0,4.89467,0.0501681,0.0,3.73552,0.0491654,0.0,0.0
27,"(3.0, 1.0, 0.45)",170.64552,96.54619,309.00766,50.812786,13.77339,234.17853,65536000.0,"(3.0, 1.0, 0.45)",0.008807342468845,0.2,-0.9,0.0570316678001766,50.0,136.20692443847656,0.0001677585889693,0.0065997534489789,0.2,-0.88,0.0485171494073443,75.0,40500,3.14301,0.0841522,0.0,2.75859,0.0589923,0.0,2.1166,0.0574047,0.0,0.0
28,"(4.0, 0.5, 0.044)",44368.473,35484.73,57855.49,6.1984997,2.9570506,17.601723,65536000.0,"(4.0, 0.5, 0.044)",0.0073783946229879,0.7,-1.0,52956.08956786218,0.0,44368.47265625,0.0001677585889693,0.0039351055052448,0.9,-1.06,89982.1355236206,0.0,121500,122.586,0.0616423,0.0,104.721,0.0362239,0.0,83.8469,0.040044,0.0,0.0
29,"(4.0, 0.5, 0.065)",15727.403,11851.442,20459.543,9.174206,4.365182,34.63236,65536000.0,"(4.0, 0.5, 0.065)",0.0073876053190579,0.7,-1.1,24512.43251184648,0.0,15727.4033203125,0.0001677585889693,0.0060248418996438,0.6,-1.07,16285.53830339178,0.0,51256,61.8282,0.071238,0.0,53.0153,0.0456463,0.0,41.7877,0.0480017,0.0,0.0
30,"(4.0, 0.5, 0.096)",5532.0737,4053.0696,7290.9604,12.628299,5.7675776,42.785892,65536000.0,"(4.0, 0.5, 0.096)",0.0101397349447959,0.5,-1.1,3841.717868381077,0.0,5532.07373046875,0.0001677585889693,0.0087825347648483,0.4,-1.03,1263.422088642164,0.0,24000,30.6438,0.0794292,0.0,26.441,0.0537342,0.0,20.6319,0.054749,0.0,0.0
31,"(4.0, 0.5, 0.141)",2144.1028,1490.8142,3144.4675,16.705568,7.1042776,64.96422,65536000.0,"(4.0, 0.5, 0.141)",0.0110211302714217,0.5,-1.1,1204.0046691894534,200.0,1876.5714111328125,0.0001677585889693,0.0089499104647863,0.4,-1.05,462.0919564216152,100.0,24000,17.3633,0.0792741,0.0,15.1709,0.0533331,0.0,11.7547,0.0528423,0.0,0.0
32,"(4.0, 0.5, 0.208)",836.75854,559.1907,1239.915,24.691063,9.02965,109.62764,65536000.0,"(4.0, 0.5, 0.208)",0.0088162404140769,0.3,-1.0,28.26455115332567,50.0,836.758544921875,0.0001677585889693,0.0064728084245352,0.24,-0.9,2.859221252065094,0.0,45562,9.60475,0.076491,0.0,8.45025,0.0512914,0.0,6.4557,0.0499167,0.0,0.0
33,"(4.0, 0.5, 0.306)",344.8192,223.53467,575.18097,30.857086,10.182063,170.76544,65536000.0,"(4.0, 0.5, 0.306)",0.0053857794701058,0.2,-0.8,0.0816532714970214,0.0,344.8192138671875,0.0001677585889693,0.0042862750395449,0.23,-0.9,0.7475226886136837,0.0,96000,5.64315,0.079712,0.0,4.89883,0.0547726,0.0,3.7588,0.0545799,0.0,0.0
34,"(4.0, 0.5, 0.45)",138.96523,84.56438,221.75099,34.556896,13.164586,177.37627,65536000.0,"(4.0, 0.5, 0.45)",0.0134056313897358,0.2,-0.9,0.0401136368040054,200.0,113.86150360107422,0.0001677585889693,0.0113437724673759,0.2,-0.92,0.0504681200278601,100.0,14412,2.648,0.0911112,0.0,2.33901,0.066053,0.0,1.7922,0.0636238,0.0,0.0
35,"(4.0, 1.0, 0.044)",49227.17,37042.25,64137.438,10.679563,5.1848,26.76137,65536000.0,"(4.0, 1.0, 0.044)",0.0030571833793734,0.6,-1.0,37701.48661621224,100.0,49227.171875,0.0001677585889693,0.0027612300926358,0.5,-0.96,21913.80514378561,0.0,256000,114.673,0.0609688,0.0,98.3155,0.03541,0.0,77.8981,0.0383716,0.0,0.0
36,"(4.0, 1.0, 0.065)",18242.844,13405.164,27752.904,16.709593,6.6533904,68.95216,65536000.0,"(4.0, 1.0, 0.065)",0.0058157818123602,0.4,-1.0,3738.50375109063,0.0,16783.474609375,0.0001677585889693,0.0040847762174508,0.4,-0.97,3101.8022754105223,50.0,108000,58.3583,0.0697982,0.0,50.2034,0.0441492,0.0,39.4261,0.0460907,0.0,0.0
37,"(4.0, 1.0, 0.096)",6475.4277,4393.49,9397.356,20.228577,7.7205524,84.47235,65536000.0,"(4.0, 1.0, 0.096)",0.0067146200732297,0.3,-0.9,147.25542743291314,50.0,6125.83935546875,0.0001677585889693,0.0060652359682092,0.3,-0.92,165.03117057015456,25.0,48000,30.4287,0.0757289,0.0,26.3457,0.0498159,0.0,20.5746,0.0506683,0.0,0.0
38,"(4.0, 1.0, 0.141)",2418.4358,1571.5974,3615.196,27.456026,10.46529,120.29275,65536000.0,"(4.0, 1.0, 0.141)",0.0077814896938723,0.2,-0.7,0.321661631266276,50.0,2418.435791015625,0.0001677585889693,0.0056476295736392,0.2,-0.75,0.4513738179014624,0.0,60750,16.0608,0.0781033,0.0,14.0721,0.0520322,0.0,10.9123,0.0512554,0.0,0.0
39,"(4.0, 1.0, 0.208)",964.7728,579.5291,1770.6132,48.065624,12.390966,229.6456,65536000.0,"(4.0, 1.0, 0.208)",0.0052968140803018,0.1,0.0,1.3555880913229508e-10,0.0,964.7728271484376,0.0001677585889693,0.0039712181914671,0.13,-0.4,6.265340875620219e-06,0.0,121500,9.0487,0.0748111,0.0,7.96429,0.0494807,0.0,6.09835,0.0481429,0.0,0.0
40,"(4.0, 1.0, 0.306)",374.26288,207.30313,769.36,61.159447,14.507723,301.47974,65536000.0,"(4.0, 1.0, 0.306)",0.0039440185392498,0.2,-0.8,0.0741460290288415,50.0,374.2628784179688,0.0001677585889693,0.0027898416215053,0.15,-0.6,0.0002166455310948,0.0,243000,5.25651,0.0767515,0.0,4.59031,0.0516128,0.0,3.52104,0.0509182,0.0,0.0
41,"(4.0, 1.0, 0.45)",161.1464,89.84698,351.18423,72.57379,17.403723,301.5477,65536000.0,"(4.0, 1.0, 0.45)",0.0098898361531594,0.1,-0.4,2.4035823403824515e-10,0.0,161.14639282226562,0.0001677585889693,0.0077888121813722,0.12,-0.6,3.63801538826483e-07,0.0,32000,2.54766,0.0890675,0.0,2.25292,0.0641379,0.0,1.71859,0.061816,0.0,0.0
