layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05
2,41630600.0,32868190.0,51328120.0,2.138299,1.1152978,3.1940563,552.0,0.47,5.0,100000.0,0.0379954936910033,0.057493623389886644
3,9582549.0,8523056.0,10691596.0,2.3085032,1.7114146,2.941692,2208.0,0.36,0.4,62498.45880116407,0.036567622540025435,0.028825650651789256
4,2620593.2,2454104.0,2793937.5,3.5825748,2.998981,4.2153172,8832.0,0.37,-0.3,60616.0459115855,0.02049792541443307,0.014432117566008684
5,632852.5,590827.56,677376.1,4.9228888,4.136769,5.8027725,35328.0,0.44,-0.6,71145.42603429151,0.012424435517581989,0.007220829282358362
6,148150.66,137943.47,158806.83,5.5132103,4.636955,6.524043,141312.0,0.6,-0.88,94166.82948191125,0.006894259001604897,0.0036116006728778077
7,34381.84,31826.17,37068.41,6.838269,5.6649857,8.286585,565248.0,0.6,-0.96,26344.685806648104,0.003787564035900415,0.0018060960187899248
8,7769.693,7147.827,8436.306,8.233916,6.748581,10.160205,2260992.0,0.46,-0.9,2147.4063195789236,0.004395605397324698,0.0009031218266986263
9,1745.8506,1593.2634,1907.9559,10.1294,8.154142,12.89136,9043968.0,0.3,-0.69,21.22871729587824,0.0063565011719594056,0.0004515793547577507
10,401.78632,362.74625,444.6665,13.650982,10.719649,17.80441,36175872.0,0.11,0.7,1.1820215675692635e-10,0.012899999999992195,0.00022579428611624376
