,group,dataset,subset,transform,orientation,channel,dataset_type,obs_var,var_lower,var_upper,total_samples,initial_r,initial_eta,best_r,best_eta,best_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_best,n_pval_0.05,obs_kurt,kurt_lower,kurt_upper,intersect_roi,hull_area,hull_r_lower,hull_r_upper,hull_beta_lower,hull_beta_upper,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,github_plot,total_samples,beat_all_priors,best_prior,failure_category,failure_type
12,2,emag,single_hawaii,fourier,,red,geoscience,232.90454,162.11453,339.1701,1936.0,0.1,3.7,0.1,3.7,7.117349956090086e-16,0.015908930032478,0.0307784205701797,0.015908930032478,7350.0,41.432636,3.8111916,67.74964,1.0,182.129479530214,0.08,20.0,0.034999999999999996,155.0,10.196045666999543,0.0284971545407409,0.0845391679437965,9.010775556337483,0.0099752268930767,0.9895715485600496,7.6873347330535555,0.0124692697291411,0.9204112740084772,0.7050034303827808,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_2.jpg,1936.0,0,Laplace,,
13,7,emag,single_hawaii,fourier,,red,geoscience,411.60992,362.87738,468.11087,5808.0,1.2,-1.0,0.76,-1.0,570.098935824176,0.0135926055292863,0.0177914629924118,0.0122870306526201,12402.0,12.073417,6.8569956,20.417501,0.0,10.084793191358294,0.4,20.0,0.019999999999999993,2.0,11.523343541781928,0.0621038221474428,6.456343561578906e-20,10.015665242464909,0.0353896879488279,9.355074775025732e-07,8.100796185227312,0.0399357255167565,1.742655404754161e-08,0.3417110776231565,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_7.jpg,5808.0,1,GenGamma,,
14,11,emag,single_hawaii,fourier,,red,geoscience,25.455986,13.670766,45.623543,1936.0,1.2,-0.3,1.2,-0.3,6.693166868573319,0.0179406450964556,0.0307784205701797,0.0179406450964556,5512.0,121.32997,18.839497,191.87726,1.0,149.13582383430656,0.1,20.0,0.034999999999999996,155.0,2.256200755524737,0.0306321056571086,0.0517756776313883,2.0172545254199887,0.0171070461805796,0.616301174891366,1.6650989402897722,0.0133802108970705,0.8741038691000628,0.5553378540236225,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_11.jpg,1936.0,0,Student-T,,
15,16,emag,single_hawaii,fourier,,red,geoscience,26.201517,19.135315,35.715782,3872.0,0.4,0.1,0.43,0.0,0.4617428036823022,0.014500901756731,0.0217819429053323,0.0144951259320197,8712.0,56.64782,18.11463,87.31862,1.0,17.812196524933444,0.1,20.0,0.034999999999999996,125.0,2.7108195347420634,0.0387784167801239,1.702030822697475e-05,2.3910926556656302,0.0172749273933219,0.1958668429464136,1.9668564773000603,0.0114126183106233,0.6898142914901568,0.3863655802851614,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_16.jpg,3872.0,0,Student-T,,
16,20,emag,single_hawaii,fourier,,red,geoscience,97.35567,77.18977,124.084015,1936.0,0.1,5.2,0.1,5.2,2.810671631022208e-17,0.012320555184778,0.0307784205701797,0.012320555184778,12402.0,15.014645,3.2387779,24.531052,1.0,191.74464858161664,0.08,20.0,0.034999999999999996,155.0,7.325563853853078,0.0346984167731829,0.0184532235462995,6.456844135630166,0.0127925715367531,0.9051831968418096,5.2928981442729635,0.0171403562403726,0.6138395182712284,0.9269420592775838,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_20.jpg,1936.0,1,GenGamma,,
17,23,emag,single_hawaii,fourier,,red,geoscience,9.735077,7.354701,12.54041,3872.0,0.7,-0.5,0.69,-0.5,2.017253003692499,0.0111026385530168,0.0217819429053323,0.0105138228155742,16537.0,39.059242,26.552275,51.53159,1.0,89.30268170575629,0.1,20.0,0.03,84.0,1.5606217298173648,0.0410035892185999,4.2941081426315564e-06,1.367687500792614,0.0141763001796519,0.4140663634752254,1.1341667095836256,0.0154154282829084,0.3130929473766073,0.7812777843434184,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_23.jpg,3872.0,1,GenGamma,,
18,26,emag,single_hawaii,fourier,,red,geoscience,12.941311,9.822509,16.96417,4840.0,0.1,1.0,0.1,1.0,2.7196895736321643e-14,0.0084140910978051,0.0194865131479374,0.0084140910978051,27564.0,54.67561,22.441498,81.43293,1.0,0.4377426164372961,0.08,1.7,0.29411764705882354,36.24999999999999,1.5873404261547364,0.0582437321411452,1.0298384681939564e-14,1.3895647380668323,0.0308411398491493,0.0001962097469461,1.1186470384799998,0.0328279247615567,5.756264271507717e-05,0.8800848488950469,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_26.jpg,4840.0,1,GenGamma,,
19,29,emag,single_hawaii,fourier,,red,geoscience,152.03807,134.32904,171.3986,7744.0,0.4,-1.1,0.5,-1.17,138.77151394551927,0.0246795462485781,0.0154112454995595,0.0230319919406053,3486.0,15.353937,11.14488,19.546694,0.0,0.0,,,,,4.4414350350708,0.1019966116012986,1.3627504871554007e-70,3.8343002904305816,0.0754970239921107,7.810085961570216e-39,3.007705310335262,0.0768513269932452,3.168730112149677e-40,0.0005319807444823,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_29.jpg,7744.0,1,GenGamma,,
20,32,emag,single_hawaii,fourier,,red,geoscience,4.6955585,3.6371517,6.0389977,4840.0,0.1,1.3,0.09,1.6,8.863243964333598e-18,0.0077542465635935,0.0194865131479374,0.0073919997687157,34884.0,45.400753,20.940344,68.9964,1.0,6.822932609598073,0.08,20.0,0.025,50.99999999999999,1.0509118354628528,0.0514239443614031,1.4555444159393018e-11,0.9221034260296456,0.0244228350537966,0.0061119185214764,0.7562410646627716,0.026540882492409,0.0021461592587882,0.9523000839379688,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_32.jpg,4840.0,1,GenGamma,,
21,35,emag,single_hawaii,fourier,,red,geoscience,7.1557374,5.607568,9.320236,5808.0,0.1,1.1,0.09,1.4,2.581865697911627e-17,0.0111956194170485,0.0177914629924118,0.0107736685232354,16537.0,57.182716,13.195077,99.45977,1.0,0.08860445853094416,0.08,0.8,0.7499999999999999,37.5,1.225263697452432,0.0609461494966117,3.3895569373368133e-19,1.0744267985591889,0.0333439652755214,4.800985674844608e-06,0.8638926808836732,0.0338682448213752,3.1866076589570055e-06,0.5068337827456746,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/emag/single_hawaii/fourier/red/plots/compare_cdf_pdf_layer_35.jpg,5808.0,1,GenGamma,,
