,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,beat_all_priors,pass,failure_category,failure_type,which_ones,github_plot
0,65536000.0,coco,indoor,gabor,,gray,0,0.0057998760743858,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_0.jpg
1,65536000.0,coco,indoor,gabor,,gray,1,0.0050527996396158,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_1.jpg
2,65536000.0,coco,indoor,gabor,,gray,2,0.0064756295478761,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_2.jpg
3,65536000.0,coco,indoor,gabor,,gray,3,0.0078418021327756,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_3.jpg
4,65536000.0,coco,indoor,gabor,,gray,4,0.0061657938165215,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_4.jpg
5,65536000.0,coco,indoor,gabor,,gray,5,0.0067663010518712,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_5.jpg
6,65536000.0,coco,indoor,gabor,,gray,6,0.0098299607766192,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_6.jpg
7,65536000.0,coco,indoor,gabor,,gray,7,0.002664022902809,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_7.jpg
8,65536000.0,coco,indoor,gabor,,gray,8,0.0026454009463328,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_8.jpg
9,65536000.0,coco,indoor,gabor,,gray,9,0.0042919784084033,0.0001677585889693,1,False,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/coco/indoor/gabor/gray/plots/compare_cdf_pdf_layer_9.jpg
