scale,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
0.3162,0.7904758373939704,0.6829669566358358,0.922651560200412,1.1805926672617622,0.3317850862947662,2.6995398803422987,100000.0
0.4833,1.2190515697767184,1.0497231104262186,1.3891083479579758,1.1700107579013785,0.3419237468967103,2.4291734935022977,100000.0
0.7071,1.7669194072202061,1.5350659570119072,2.0321869427064914,1.1544260427222532,0.3746948050321669,2.244439570328183,100000.0
0.7386,1.8313599958468745,1.607561015689542,2.0891321278406805,1.1745979820973993,0.32928259201877563,3.498762427465318,100000.0
1.0,2.510904216932301,2.163975560506997,2.88362857533112,1.1893164301939887,0.3332975981265428,2.5630864195546237,100000.0
1.129,2.8169096868140797,2.419636665137886,3.240292478767627,1.134521784059066,0.3473288999464007,3.525764352619858,100000.0
1.725,4.293771080536949,3.6821354660384453,4.9224354557123995,1.2478026661278019,0.3292094826758206,2.5132659137427,100000.0
2.637,6.598141345167847,5.703404787172231,7.531284895786829,1.2042217095276095,0.34395532344087054,3.3118558466358126,100000.0
4.03,10.133139060128244,8.797776803236413,11.5385630663656,1.2880810757762573,0.35189993459097035,5.224418771348591,100000.0
6.158,15.464858066817593,13.285058207980102,17.790632746158646,1.1301435415401677,0.3484676976848094,3.757000267189488,100000.0
9.412,23.246506762913988,19.86000221939534,26.594510410276985,1.1524434099798508,0.32483012114250254,2.5206462707788293,100000.0
14.38,35.84305844960962,31.199047214831335,41.64983065299306,1.1269880086958457,0.33347390214126305,2.4264551815317352,100000.0
21.98,54.99550266762287,47.08430036744417,63.0133184302225,1.2030450267813482,0.3177207443306564,2.708551946473364,100000.0
33.6,82.9204885477583,70.73556953721587,94.121589982643,1.1880538773550438,0.38554561788298025,2.650974461346254,100000.0
51.35,127.79253025005568,109.33989365305813,147.47799136272698,1.1681845233704342,0.35066401155963517,3.661705263341977,100000.0
78.48,196.16661305554177,168.0599403955681,227.52666189773473,1.1186628789241286,0.2880036459931798,2.742142154895373,100000.0
119.9,300.21116275798755,259.9864210313965,346.4653880086482,1.1645137048021477,0.2934729149192156,2.53428062105465,100000.0
183.3,455.0660671981932,394.94790615381146,535.1808190108665,1.1838415083310316,0.36197482060334396,2.736602475689735,100000.0
280.1,693.1920775323208,597.0679801437728,793.7142567561889,1.0987005809004398,0.355469357724793,2.332704055398101,100000.0
428.1,1065.2160864156333,914.749578370047,1232.9233172303898,1.138999248135696,0.3218945824827351,2.4555634903224823,100000.0
654.3,1623.127531560223,1394.6041210800988,1872.0701449138771,1.126099359933474,0.3109717195915367,3.272932641575922,100000.0
1000.0,2519.1673438299276,2183.6808825863577,2891.181094261552,1.2171838238600712,0.39025736153603874,3.9516252217560504,100000.0
