scale,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
0.3162,0.7904758373939704,0.6829669566358358,0.922651560200412,1.1805926672617622,0.3317850862947662,2.6995398803422987,100000.0,2.4,0.3,0.0032301925206690285,0.004293014618329405
0.4833,1.2190515697767184,1.0497231104262186,1.3891083479579758,1.1700107579013783,0.3419237468967103,2.4291734935022977,100000.0,1.46,0.6,0.0019174351102427961,0.004293014618329405
0.7071,1.766919407220206,1.5350659570119072,2.032186942706492,1.1544260427222532,0.3746948050321669,2.244439570328183,100000.0,1.16,0.8,0.0019660367194309636,0.004293014618329405
0.7386,1.8313599958468745,1.607561015689542,2.0891321278406805,1.1745979820973993,0.3292825920187756,3.498762427465318,100000.0,1.14,0.8,0.002404617893609004,0.004293014618329405
1.0,2.510904216932301,2.163975560506997,2.88362857533112,1.1893164301939887,0.3332975981265428,2.563086419554624,100000.0,1.02,1.1,0.0024201861502772815,0.004293014618329405
1.129,2.81690968681408,2.419636665137886,3.240292478767627,1.134521784059066,0.3473288999464007,3.525764352619858,100000.0,0.98,1.2,0.0029954105569256484,0.004293014618329405
1.725,4.293771080536949,3.682135466038445,4.9224354557124,1.247802666127802,0.3292094826758206,2.5132659137427,100000.0,0.84,1.3,0.0026374873315628267,0.004293014618329405
2.637,6.598141345167847,5.703404787172231,7.531284895786829,1.2042217095276095,0.3439553234408705,3.311855846635813,100000.0,0.75,1.5,0.0021274729925532254,0.004293014618329405
4.03,10.133139060128244,8.797776803236413,11.5385630663656,1.2880810757762573,0.3518999345909703,5.224418771348591,100000.0,0.65,1.4,0.00562023869906636,0.004293014618329405
6.158,15.464858066817593,13.285058207980102,17.790632746158646,1.1301435415401675,0.3484676976848094,3.757000267189488,100000.0,0.65,2.2,0.0017141459706451756,0.004293014618329405
9.412,23.246506762913988,19.86000221939534,26.594510410276985,1.1524434099798508,0.3248301211425025,2.5206462707788293,100000.0,0.58,2.0,0.0035033180688593957,0.004293014618329405
14.38,35.84305844960962,31.19904721483133,41.64983065299306,1.1269880086958457,0.333473902141263,2.4264551815317352,100000.0,0.55,2.3,0.0033788041694188253,0.004293014618329405
21.98,54.99550266762287,47.08430036744417,63.0133184302225,1.2030450267813482,0.3177207443306564,2.708551946473364,100000.0,0.52,2.5,0.0021185531729502882,0.004293014618329405
33.6,82.9204885477583,70.73556953721587,94.121589982643,1.1880538773550438,0.3855456178829802,2.650974461346254,100000.0,0.5,2.9,0.004272076275069703,0.004293014618329405
51.35,127.79253025005568,109.33989365305813,147.47799136272698,1.1681845233704342,0.3506640115596351,3.661705263341977,100000.0,0.47,2.9,0.0025873997641956414,0.004293014618329405
78.48,196.16661305554177,168.0599403955681,227.52666189773475,1.1186628789241286,0.2880036459931798,2.742142154895373,100000.0,0.44,2.8,0.0038992095688862027,0.004293014618329405
119.9,300.21116275798755,259.9864210313965,346.4653880086482,1.1645137048021477,0.2934729149192156,2.53428062105465,100000.0,0.41,2.6,0.00505096301285235,0.004293014618329405
183.3,455.0660671981932,394.94790615381146,535.1808190108665,1.1838415083310316,0.3619748206033439,2.736602475689735,100000.0,0.39,2.6,0.0055932824057271235,0.004293014618329405
280.1,693.1920775323208,597.0679801437728,793.7142567561889,1.0987005809004398,0.355469357724793,2.332704055398101,100000.0,0.38,2.9,0.006167204852166153,0.004293014618329405
428.1,1065.2160864156333,914.749578370047,1232.9233172303898,1.138999248135696,0.3218945824827351,2.4555634903224823,100000.0,0.36,2.8,0.0060311112144425215,0.004293014618329405
654.3,1623.127531560223,1394.6041210800988,1872.070144913877,1.126099359933474,0.3109717195915367,3.272932641575922,100000.0,0.34,2.6,0.008125716717975844,0.004293014618329405
1000.0,2519.167343829928,2183.6808825863577,2891.181094261552,1.2171838238600712,0.3902573615360387,3.9516252217560495,100000.0,0.33,2.7,0.007898860744284086,0.004293014618329405
