filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",39245.285,31006.715,48005.785,4.676759,2.608479,13.187292,262144000.0,"(2.0, 0.5, 0.044)",0.003413184060826,0.8,-0.9,48091.82792347745,0.0,39245.28515625,8.387993035035688e-05,0.002455386666098458,0.9,-0.92,59505.01123395615,0.0,324000
1,"(2.0, 0.5, 0.065)",16579.19,13166.643,20803.008,5.27503,2.8818128,13.977053,262144000.0,"(2.0, 0.5, 0.065)",0.0033948634392279,0.7,-0.9,15847.5447120166,0.0,16579.189453125,8.387993035035688e-05,0.002936757894015818,0.73,-0.9,17237.86738866205,0.0,216000
2,"(2.0, 0.5, 0.096)",6968.4014,5543.357,8700.06,6.095789,3.0028665,19.585115,262144000.0,"(2.0, 0.5, 0.096)",0.0041495971810189,0.7,-0.9,6385.220742485192,50.0,6968.4013671875,8.387993035035688e-05,0.002620435261161111,0.67,-0.9,6062.13098002672,0.0,256000
3,"(2.0, 0.5, 0.141)",2952.4192,2300.615,3731.2144,6.708761,3.4308815,18.653788,262144000.0,"(2.0, 0.5, 0.141)",0.0043322229069839,0.6,-0.9,1962.29382474128,0.0,2952.419189453125,8.387993035035688e-05,0.0037580838933660293,0.6,-0.91,2007.5818519537168,0.0,128000
4,"(2.0, 0.5, 0.208)",1229.9335,937.2194,1541.8877,8.003238,4.211707,24.878012,262144000.0,"(2.0, 0.5, 0.208)",0.0060235693271764,0.6,-0.9,750.6917538726603,100.0,1229.9334716796875,8.387993035035688e-05,0.004155138869914365,0.45,-0.8,239.2714032316534,0.0,108000
5,"(2.0, 0.5, 0.306)",452.4206,342.8745,586.57184,9.342139,4.2263303,33.297684,262144000.0,"(2.0, 0.5, 0.306)",0.0048152045869631,0.3,-0.5,3.2308053161769923,0.0,452.42059326171875,8.387993035035688e-05,0.0035850782642915524,0.4,-0.76,45.17071962974348,0.0,144000
6,"(2.0, 0.5, 0.45)",276.71317,208.01027,370.22266,9.660567,4.7737246,34.553093,262144000.0,"(2.0, 0.5, 0.45)",0.0036715283838788,0.3,-0.5,1.9760514414425996,0.0,276.7131652832031,8.387993035035688e-05,0.002769232533164301,0.34,-0.6,6.79040297924748,0.0,243000
7,"(2.0, 1.0, 0.044)",53970.625,43450.82,67869.33,5.8993616,3.084779,16.113642,262144000.0,"(2.0, 1.0, 0.044)",0.0027880577739013,0.7,-0.8,40845.399187831346,50.0,53970.625,8.387993035035688e-05,0.0014243749941370565,0.65,-0.8,35863.149044871345,0.0,864000
8,"(2.0, 1.0, 0.065)",22259.05,17401.709,28885.777,6.901822,3.1864069,29.359457,262144000.0,"(2.0, 1.0, 0.065)",0.0020644680256363,0.6,-0.8,11974.325192224202,0.0,22259.05078125,8.387993035035688e-05,0.0014624471687344695,0.6,-0.81,12215.079755446253,0.0,864000
9,"(2.0, 1.0, 0.096)",9502.156,7498.7383,12138.363,7.317565,3.4681005,29.839426,262144000.0,"(2.0, 1.0, 0.096)",0.0031146152361255,0.7,-0.9,8646.581600806223,50.0,9502.15625,8.387993035035688e-05,0.0016793296034985916,0.55,-0.8,3934.3060528503447,0.0,648000
10,"(2.0, 1.0, 0.141)",3963.2007,3063.3455,5090.001,7.8169575,3.5533602,26.669594,262144000.0,"(2.0, 1.0, 0.141)",0.0028859563345201,0.7,-0.9,3592.8997073592764,50.0,3963.20068359375,8.387993035035688e-05,0.0016237848146523487,0.53,-0.8,1451.5827366637445,0.0,729000
11,"(2.0, 1.0, 0.208)",1619.248,1204.1598,2140.3523,9.698256,4.3232713,40.272106,262144000.0,"(2.0, 1.0, 0.208)",0.0040339863835472,0.6,-0.9,977.5392645271058,100.0,1619.248046875,8.387993035035688e-05,0.0023742373986238574,0.4,-0.72,146.17250004411164,0.0,324000
12,"(2.0, 1.0, 0.306)",660.498,484.9301,896.3277,11.524332,4.8398185,55.618614,262144000.0,"(2.0, 1.0, 0.306)",0.0034396173814212,0.3,-0.5,4.716718106465833,0.0,660.4979858398438,8.387993035035688e-05,0.0025827943175706913,0.37,-0.7,36.34999561497477,0.0,288000
13,"(2.0, 1.0, 0.45)",318.8295,238.68187,432.54227,14.915209,5.7296576,72.80457,262144000.0,"(2.0, 1.0, 0.45)",0.0025464625937898,0.2,-0.1,0.005750892826317,0.0,318.8294982910156,8.387993035035688e-05,0.0016467291263184691,0.25,-0.4,0.2833350913866775,0.0,648000
14,"(3.0, 0.5, 0.044)",39246.88,31514.248,49476.91,5.8618803,3.2010446,19.807339,262144000.0,"(3.0, 0.5, 0.044)",0.0047470124628951,0.7,-0.9,36015.527084091744,50.0,39246.87890625,8.387993035035688e-05,0.0031042856312183398,0.7,-0.92,39107.18271377493,0.0,192000
15,"(3.0, 0.5, 0.065)",16343.364,12688.287,21025.93,7.1685724,3.5979724,20.26508,262144000.0,"(3.0, 0.5, 0.065)",0.0035053651688321,0.6,-0.9,10862.442187467024,0.0,16343.3642578125,8.387993035035688e-05,0.0029131569311465766,0.59,-0.9,10380.900764275108,0.0,216000
16,"(3.0, 0.5, 0.096)",6585.608,5197.8853,8329.337,7.6705523,3.7175505,31.154324,262144000.0,"(3.0, 0.5, 0.096)",0.0055187087542947,0.6,-0.9,4166.228495934037,50.0,6585.60791015625,8.387993035035688e-05,0.003190197431676811,0.55,-0.9,3414.450895473456,0.0,192000
17,"(3.0, 0.5, 0.141)",2765.9795,2110.4917,3612.9736,9.21299,4.566276,38.013428,262144000.0,"(3.0, 0.5, 0.141)",0.0048909207658883,0.5,-0.9,1047.7195046164773,0.0,2672.446533203125,8.387993035035688e-05,0.0042982268221107844,0.51,-0.9,1084.713700629746,25.0,96000
18,"(3.0, 0.5, 0.208)",1208.4543,890.02637,1658.2463,10.850145,5.232855,41.073315,262144000.0,"(3.0, 0.5, 0.208)",0.007274206342269,0.3,-0.7,15.151756560133286,0.0,1208.454345703125,8.387993035035688e-05,0.005290915451237055,0.35,-0.8,62.29746747638602,0.0,64000
19,"(3.0, 0.5, 0.306)",449.56696,336.92648,637.16644,14.872971,6.1052485,75.72235,262144000.0,"(3.0, 0.5, 0.306)",0.00395379782578,0.2,-0.2,0.0108764691352249,0.0,449.56696,8.387993035035688e-05,0.00395379782578,0.2,-0.2,0.0108764691352249,0.0,121500
20,"(3.0, 0.5, 0.45)",214.00264,153.26472,315.3718,16.318907,6.9413486,81.22375,262144000.0,"(3.0, 0.5, 0.45)",0.0029159798239327,0.2,-0.2,0.0051774114567385,0.0,214.0026397705078,8.387993035035688e-05,0.0023111728610296645,0.2,-0.21,0.005337013916072749,0.0,364500
