band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25
12,99689617172784.06,99689617172784.06,73060093238164.72,62099979602144.64,54670035772556.84,49096916866391.01,41111669226613.89,35554269155878.38,31300185893295.09,27856815626636.465,25049477322600.1,19086932558195.15,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.0145495179766057,0.013842166049882414,49096916866391.01,0.013842166049882414,0.013842166049882414,0.013842166049882414,0.013842166049882414,
13,215458794299978.1,215458794299978.1,202994695166352.3,195800033497348.44,189971375223872.44,184899716682614.2,176269519198388.1,168976845502562.56,162599257125542.06,156873452967660.7,151656285824094.28,138216209260863.52,0.0233358172217917,0.0217260253995659,0.0228446250821178,0.0237687239065703,0.024245038812196,0.0236883158172732,0.0249945536379372,0.0256142696660092,0.0252192325171988,0.0262688991958417,0.0273389121709144,0.021434999139242183,215458794299978.12,0.022656373705785472,0.021960831722546002,0.021831106938365534,0.021464298477302197,0.0206735117149488
15,514050157731089.6,514050157731089.6,494787274362469.3,482515115838673.6,472643960177172.9,464134909608448.9,450050887835583.75,438090269948944.1,427494460582638.9,418011978602201.1,409477733871114.56,387485867862620.3,0.0207643227775191,0.0223482715396408,0.0230107341800757,0.0223186651549042,0.0231318881712451,0.0245733222933592,0.0239233016593245,0.0256142299074008,0.0256131149325199,0.0257528521260722,0.0271212471211488,0.02313188817124512,514050157731089.6,0.022318665154904216,0.02301073418007571,0.022173400153657485,0.020295224704332204,
16,496681875141706.7,496681875141706.7,480903190129234.3,471962902809114.7,464682227217449.0,458350736020973.2,447447253313526.4,438068167337948.9,429770870896200.25,422244696976168.8,415307467902618.4,397057604019141.5,0.010965114049038,0.0112608417663648,0.0117089044895404,0.0120007583497933,0.0118582980383365,0.0127060669039814,0.0130159086148904,0.0132266825717642,0.0136842371672743,0.0142823404401049,0.015430910635642,0.011765752545184194,496681875141706.7,0.011381005992043502,0.01121482656177153,0.010996850177032225,0.010443431039841355,
