layer,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,3180.0,0.1,8.7,0.0172258062483643,0.0,0.1,8.7,9.068987317149309e-18,0.0172258062483643,0.0,6034
3,12720.0,0.3,1.6,0.0039938996655869,0.0,0.33,1.3,0.602013489248855,0.0038307312477783295,0.0,122248
4,50880.0,0.6,-0.1,0.0057083553563367,75.0,0.74,-0.3,65.79433405698131,0.005462146732726103,75.0,64395
5,203520.0,0.4,-0.2,0.002085665353838,0.0,0.5,-0.43,5.3356116609535285,0.0017118516225122504,0.0,651999
6,814080.0,0.4,-0.5,0.0040299999999984,25.0,0.45,-0.6,0.8621942002382615,0.004029999999998091,25.0,114480
7,3256320.0,0.2,0.0,0.0095899999999978,0.0,0.23,-0.1,0.00016983453866216533,0.009589999999997767,100.0,19080
8,13025280.0,0.3,-0.4,0.029579999999995,0.0,0.56,-0.8,0.08547308152424966,0.02957999999999361,75.0,2011
